"w","period","period_label","ratio_mean","ratio_median","ratio_q05","ratio_q25","ratio_q75","ratio_q95","n_valid"
3.16227766016838e-08,"pre_whaling","Pre-Whaling (1920-1929)",3.7825888107146e+52,0.997820914483959,0.985105495791001,0.994302189496915,1.00374091480847,1.04637806237143,2111
4.53623270600988e-08,"pre_whaling","Pre-Whaling (1920-1929)",2.61051436518982e+52,0.998018149416053,0.984090842804684,0.994159434954089,1.00422154586295,1.04756662817498,2111
6.50714749759769e-08,"pre_whaling","Pre-Whaling (1920-1929)",1.76228909853504e+52,0.998058953694195,0.982153058160999,0.993932954556837,1.00527382969051,1.04802329887734,2111
9.33439073780173e-08,"pre_whaling","Pre-Whaling (1920-1929)",1.16252066946417e+52,0.998020100883836,0.980031509927771,0.993579705894571,1.00589985523545,1.05027049515677,2111
1.33900223528244e-07,"pre_whaling","Pre-Whaling (1920-1929)",7.50111456928083e+51,0.997778046577231,0.977173237801622,0.993078736484372,1.00630946941014,1.05215065457,2111
1.92077558830971e-07,"pre_whaling","Pre-Whaling (1920-1929)",4.74656961799928e+51,0.997377377256319,0.973605684025326,0.992456666510441,1.0059553522351,1.05369922017423,2111
2.75531941876727e-07,"pre_whaling","Pre-Whaling (1920-1929)",4538650.15247007,0.996855801566305,0.96912419143051,0.991397269040924,1.00591600461477,1.05510327870524,2111
3.95245813495413e-07,"pre_whaling","Pre-Whaling (1920-1929)",5154595.24322752,0.996372283678568,0.965318565210247,0.990144117586392,1.00540114213232,1.05546345664813,2111
5.66973295442978e-07,"pre_whaling","Pre-Whaling (1920-1929)",5674279.93752102,0.99585407412847,0.961558441237753,0.988982029651536,1.00492764929125,1.05337578647334,2111
8.13313403379543e-07,"pre_whaling","Pre-Whaling (1920-1929)",106.929915436744,0.995181727898368,0.957760501729626,0.987791135002108,1.00426088302261,1.0553914053387,2111
1.16668403509199e-06,"pre_whaling","Pre-Whaling (1920-1929)",103.116391909726,0.994459763089695,0.954469463001428,0.986509079835253,1.00378324106907,1.05524632546357,2111
1.67358810525261e-06,"pre_whaling","Pre-Whaling (1920-1929)",97.7025270662932,0.993840429442083,0.951109512052593,0.985122174796752,1.00340488870266,1.05622931690903,2111
2.40073324207457e-06,"pre_whaling","Pre-Whaling (1920-1929)",90.9444761816411,0.99336763217818,0.948800371832532,0.983866299735097,1.00318631090026,1.05679532514845,2111
3.44381038650601e-06,"pre_whaling","Pre-Whaling (1920-1929)",83.1693365715134,0.993129106430586,0.947479547705722,0.983078406396887,1.00331947585819,1.05764936341828,2111
4.94008654120945e-06,"pre_whaling","Pre-Whaling (1920-1929)",74.764125008625,0.993064099584211,0.945954201138175,0.982332062660514,1.00365710198723,1.05762055518728,2111
7.08646885155566e-06,"pre_whaling","Pre-Whaling (1920-1929)",13.3379168584729,0.993153526987187,0.945431629218407,0.982136607924843,1.00427367965096,1.05492665289951,2111
1.01654172179288e-05,"pre_whaling","Pre-Whaling (1920-1929)",11.8147788339634,0.993473065803573,0.945220314314158,0.982154580106789,1.0048449615737,1.05415748786642,2111
1.45821154906901e-05,"pre_whaling","Pre-Whaling (1920-1929)",10.3770160409382,0.994038704275202,0.947507069179387,0.982658776356616,1.00594991664218,1.05456864891762,2111
2.0917792907584e-05,"pre_whaling","Pre-Whaling (1920-1929)",9.0779727250042,0.995126263798655,0.948779307164105,0.983575389562023,1.00682283446201,1.05550633669141,2111
3.00062127750894e-05,"pre_whaling","Pre-Whaling (1920-1929)",8.3266336561767,0.996460041036404,0.95306384290847,0.985077552817818,1.00783632242664,1.05652928661475,2111
4.30433941612213e-05,"pre_whaling","Pre-Whaling (1920-1929)",7.9858385103408,0.99808620606316,0.958172682199796,0.98747063921803,1.00911582119179,1.05868542787425,2111
6.17450057694841e-05,"pre_whaling","Pre-Whaling (1920-1929)",6.79480074169112,1.00050449992111,0.962846932937466,0.990548125919055,1.01112865067512,1.06180307612779,2111
8.85721447336123e-05,"pre_whaling","Pre-Whaling (1920-1929)",5.6966709499425,1.00289350443164,0.968284802833232,0.994231381974435,1.01308162479379,1.06653433023295,2111
0.000127055212400501,"pre_whaling","Pre-Whaling (1920-1929)",4.76023234291176,1.00514872189402,0.973541842252829,0.997959404903053,1.0156402441577,1.07036905598503,2111
0.000182258508549024,"pre_whaling","Pre-Whaling (1920-1929)",3.97194473739991,1.00775766301955,0.977900237464979,1.00112962896462,1.01768485397249,1.07495909846941,2111
0.000261446683775594,"pre_whaling","Pre-Whaling (1920-1929)",3.31649476601436,1.00996364107407,0.980215012201371,1.00367164292069,1.02204443063516,1.07788702134629,2111
0.000375040753934783,"pre_whaling","Pre-Whaling (1920-1929)",2.776997291586,1.0117467047654,0.980430937199071,1.00522811428936,1.02795621367962,1.08231067315113,2111
0.000537989486348578,"pre_whaling","Pre-Whaling (1920-1929)",2.33480308189082,1.01411786027787,0.978753634375037,1.00534178710446,1.03238073398276,1.08873567377933,2111
0.000771736629646219,"pre_whaling","Pre-Whaling (1920-1929)",1.97146383633977,1.01545252132825,0.976242872977539,1.00398094288565,1.03597814771277,1.08965806247035,2111
0.00110704287100476,"pre_whaling","Pre-Whaling (1920-1929)",1.67141709212816,1.01686090637357,0.968143346510027,1.00176352158559,1.03760740343355,1.08779864732421,2111
0.00158803388508885,"pre_whaling","Pre-Whaling (1920-1929)",1.42216597578747,1.01604407875168,0.953115921416789,0.998212850749264,1.03578223283951,1.07168782396017,2111
0.00227800719036431,"pre_whaling","Pre-Whaling (1920-1929)",1.22228717858974,1.01275544923339,0.941669837259975,0.992809434873695,1.02703596798411,1.05866100735659,2111
0.00326776198422312,"pre_whaling","Pre-Whaling (1920-1929)",1.07233798792726,1.00476482970706,0.940401839511426,0.98835739371118,1.0125019661164,1.04091430489561,2111
0.0046875481476536,"pre_whaling","Pre-Whaling (1920-1929)",1.00158995115616,0.997010086137907,0.974889877110215,0.988597007719397,1.00601372745507,1.03187033685185,2111
0.00672420688613729,"pre_whaling","Pre-Whaling (1920-1929)",0.996591057028643,0.993538250049281,0.967259985634291,0.984986019949382,1.00323905001505,1.02491510791052,2111
0.00964575868307804,"pre_whaling","Pre-Whaling (1920-1929)",0.992462258128885,0.991280193444359,0.957953664803786,0.981889898045135,1.00102910167685,1.02000733665717,2111
0.0138366742944791,"pre_whaling","Pre-Whaling (1920-1929)",0.988870393406768,0.989290279387295,0.95011829038144,0.979732112079887,0.999462354796185,1.01640436303619,2111
0.0198484703818451,"pre_whaling","Pre-Whaling (1920-1929)",0.984398455243724,0.986771289294343,0.940538152485983,0.977038714084439,0.997366934034912,1.01315832544563,2111
0.0284722880740333,"pre_whaling","Pre-Whaling (1920-1929)",0.981262658183634,0.984958710241313,0.931709314432412,0.975318512634094,0.995849182633303,1.01234858171898,2111
0.0408430056611436,"pre_whaling","Pre-Whaling (1920-1929)",0.97948275067084,0.984401396237303,0.926992747961428,0.974116406721208,0.995126585823876,1.01194991892304,2111
0.0585885864563713,"pre_whaling","Pre-Whaling (1920-1929)",0.979268268739969,0.984956239429537,0.924717752197123,0.973707738809204,0.995845009408798,1.01119036090294,2111
0.0840443157253079,"pre_whaling","Pre-Whaling (1920-1929)",0.980904015134053,0.986981737557776,0.925928592581902,0.974647973539033,0.998098179427611,1.01303529121216,2111
0.12056011986217,"pre_whaling","Pre-Whaling (1920-1929)",0.984713359172785,0.990755667256282,0.934440989021053,0.976795362495917,1.00121488250484,1.01714482941211,2111
0.172941410442158,"pre_whaling","Pre-Whaling (1920-1929)",0.991207026347996,0.996457045204422,0.946217695089096,0.981894757059382,1.00664774648071,1.02396199119299,2111
0.248081467403285,"pre_whaling","Pre-Whaling (1920-1929)",1.00154479657952,1.00496078212135,0.967699753369246,0.991736733753492,1.01461681341361,1.03320989490538,2111
0.355868581802455,"pre_whaling","Pre-Whaling (1920-1929)",1.01871866287032,1.01774375842124,0.991487746501275,1.0049305804409,1.02764061619362,1.06891872499467,2111
0.510487336437021,"pre_whaling","Pre-Whaling (1920-1929)",1.04034595090514,1.03378446426946,1.01197534752906,1.02358687570513,1.04875447668351,1.1219995931349,2111
0.732285270429473,"pre_whaling","Pre-Whaling (1920-1929)",1.06284612163347,1.04012656499923,1.01261415249633,1.02823979355939,1.0671032209046,1.20926275199451,2111
1.05045057734576,"pre_whaling","Pre-Whaling (1920-1929)",1.09748388511229,1.04540005598997,1.00256677134046,1.02643313128625,1.09752230806619,1.34962758743605,2111
1.50685321691489,"pre_whaling","Pre-Whaling (1920-1929)",1.32482806617519,1.01681268807089,0.960646021959841,1.00025522813249,1.07101567689048,1.9574622927692,2111
2.16155492347296,"pre_whaling","Pre-Whaling (1920-1929)",1.33338366170002,1.02502284165408,0.900904657537233,1.00472092690341,1.08833418987413,2.02516058244994,2111
3.10071321794452,"pre_whaling","Pre-Whaling (1920-1929)",1.34707998094065,1.0356341251519,0.817731508344343,1.01166254533091,1.11773587833526,2.08116572082945,2111
4.44791957656499,"pre_whaling","Pre-Whaling (1920-1929)",1.34234248150578,1.05352221155612,0.709222899794665,1.02357002318191,1.16460435415308,2.26349919123478,2111
6.38046383815689,"pre_whaling","Pre-Whaling (1920-1929)",1.00967158253587,1.01065090489311,0.938380201241091,1.00183023689748,1.02514872379178,1.08978571034196,2111
9.15266521555844,"pre_whaling","Pre-Whaling (1920-1929)",1.01396591665496,1.0156377631978,0.920101980068705,1.00477303809901,1.03351975734602,1.11335029997806,2111
13.1293402287023,"pre_whaling","Pre-Whaling (1920-1929)",1.0194596640915,1.02210773437039,0.8880632142544,1.00887187514067,1.04376722706764,1.14764382975338,2111
18.8338118767848,"pre_whaling","Pre-Whaling (1920-1929)",1.02638702494172,1.03011450460738,0.817400678056664,1.01412465148022,1.05587235064168,1.20045120373865,2111
27.0167779668531,"pre_whaling","Pre-Whaling (1920-1929)",0.864034508538927,0.928135340257544,0.45313594481214,0.818290157889126,0.984734855629651,1.02104491090732,2111
38.7551015421336,"pre_whaling","Pre-Whaling (1920-1929)",1.05195260053501,1.04118587764676,0.969859787007638,1.0253091039543,1.06848257329567,1.19864057900218,2111
55.5935240458296,"pre_whaling","Pre-Whaling (1920-1929)",1.03869973624837,1.03814102492378,0.919870518199046,1.02334535019328,1.06175104074931,1.15544238202073,2111
79.747950407875,"pre_whaling","Pre-Whaling (1920-1929)",1.01946518926409,1.03278312897605,0.847034793304891,1.02016540633398,1.04805191127436,1.1166003472653,2111
114.397057992117,"pre_whaling","Pre-Whaling (1920-1929)",0.992430384253947,1.02485976403088,0.74550121244833,1.00687747525399,1.03418704091427,1.06165578231265,2111
164.100604596346,"pre_whaling","Pre-Whaling (1920-1929)",0.953756076800362,1.01064169452384,0.62460420067884,0.957991508725695,1.02121367639019,1.0363653538698,2111
235.399484056154,"pre_whaling","Pre-Whaling (1920-1929)",0.886156209413262,0.965195168736737,0.453339460748369,0.848130801724867,0.998085190417105,1.02633209736655,2111
337.676495648558,"pre_whaling","Pre-Whaling (1920-1929)",0.88737731041556,0.961578029325972,0.480258338092168,0.850608915053772,0.995691298756571,1.0199140288556,2111
484.391102940098,"pre_whaling","Pre-Whaling (1920-1929)",0.859348230044894,0.936961642989984,0.417184032923024,0.8042437474309,0.984435031742076,1.01308944100671,2111
694.850674036028,"pre_whaling","Pre-Whaling (1920-1929)",0.84464662086916,0.909284802201854,0.42482199254928,0.793474263388217,0.968188820322466,1.0044909008863,2111
996.751295136877,"pre_whaling","Pre-Whaling (1920-1929)",0.952716106968275,0.996464052762118,0.688381926767522,0.958335932542627,1.00667839368855,1.02818643017358,2111
