"period","period_label","median_ratio_overall","mean_ratio_overall","pct_above_1","pct_below_1","max_ratio","min_ratio"
"peak_krill","Peak Krill Fishing (1974-1984)",1.00349013753132,0.998476295185503,63,37,1.10603987877576,0.671711179238959
"post_peak_krill","Post-Peak Krill Fishing (1985-1995)",1.00576133423729,1.00341497557909,69,31,1.04110943039402,0.78602728160163
"pre_krill","Pre-Krill Fishing (1964-1973)",0.999667118474459,1.02716062472098,49,51,3.44775213273015,0.711049494642945
"pre_whaling","Pre-Whaling (1920-1929)",0.998019125149945,1.39184739489478,46,54,36.0586250718853,0.899474579739797
