"period","start_year","end_year","n_years","median_mean","median_sd","mean_mean","mean_sd","median_min","median_max","mean_min","mean_max","metric"
"Pre-whaling",1841,1880,40,9345.91961761785,173.21079131204,1013209.97565209,20641.4986944917,9003.58273077322,9780.44864753396,973494.422983138,1060807.83089599,"Krill"
"Early whaling",1900,1920,21,9032.07771410015,142.902320305353,1032299.44912742,31485.4950224078,8860.87397145127,9330.8717777847,974706.285277989,1095540.7676549,"Krill"
"Peak whaling",1930,1965,36,8878.82312519394,149.68938928894,1200486.64176327,36675.7628792377,8597.06232185476,9230.65878652302,1113509.39647037,1258981.34271173,"Krill"
"Post-whaling",1970,1976,7,8636.70339063785,88.0575618576116,1239158.25338427,11347.2006604797,8475.68387492091,8732.42330362419,1219753.85692667,1252501.28325163,"Krill"
"Krill fishing",1977,1995,19,8846.79171432698,147.409592056319,1283973.27725823,24407.1619410504,8586.63472563228,9081.49113799763,1237981.92944099,1317134.2108544,"Krill"
"Modern",2001,2010,10,8909.65858192282,169.816715169432,1315004.74289646,14916.4023084944,8706.99931266248,9171.93856671771,1297753.67285979,1340249.26280505,"Krill"
