"period","start_year","end_year","n_years","mean_median","mean_mean","min_q05","max_q95","relative_to_baseline","percent_of_baseline"
"pre_whaling",1841,1880,40,11780520230.1725,1018013649929.44,1255774729.56923,5248289148321.14,1,100
"early_whaling",1900,1920,21,11179474779.0199,1036560149369.07,1189531999.55805,5642059067582.18,0.948979719111792,94.8979719111792
"peak_whaling",1930,1965,36,9448071269.87645,1182836609233.41,860055655.366804,5497193587981.2,0.802007983117577,80.2007983117577
"post_whaling",1970,1976,7,6452554723.45033,900982700817.89,363845454.677486,4785061368373.9,0.547730880926967,54.7730880926967
"krill_fishing",1977,1995,19,2939124122.2353,353208226127.209,148729124.327011,1236433488411.46,0.249490180807768,24.9490180807768
"modern",2001,2010,10,3376734629.26393,301538586683.316,185344991.994399,190570301668.35,0.286637140235571,28.6637140235571
