"predator","scenario","median_g_yr","q25_g_yr","q75_g_yr","mean_g_yr","median_kt","q25_kt","q75_kt","median_mt","predator_label","func_group"
"shelf and coastal fishes","Exploited",2834333635861.51,1629612900626.07,4977515537970.7,3368313783541.24,2834.33363586151,1629.61290062607,4977.5155379707,2.83433363586151,"Shelf & coastal fishes","Fishes"
"mesopelagic fishes","Exploited",1138212391623.7,394563758280.869,2095470015412.11,1393251537048.7,1138.2123916237,394.563758280869,2095.47001541211,1.1382123916237,"Mesopelagic fishes","Fishes"
"bathypelagic fishes","Exploited",1047805934496.07,466312189825.948,1897360046565.56,1339627689255.36,1047.80593449607,466.312189825948,1897.36004656556,1.04780593449607,"Bathypelagic fishes","Fishes"
"other macrozooplankton","Exploited",98905863764.6435,74398421158.6113,129315729734.085,102967428218.726,98.9058637646435,74.3984211586113,129.315729734085,0.0989058637646435,"Other macrozooplankton","Zooplankton"
"squids","Exploited",51808437256.0142,27687774506.7548,101478490691.298,73848657562.1922,51.8084372560142,27.6877745067548,101.478490691298,0.0518084372560142,"Squids","Squids"
"toothfishes","Exploited",36474714796.7225,16872424705.2276,79057582200.8949,50221754488.6679,36.4747147967225,16.8724247052276,79.0575822008949,0.0364747147967225,"Toothfishes","Fishes"
"flying birds","Exploited",16709830078.6236,8154540776.68888,27043588691.6772,19251798784.0857,16.7098300786236,8.15454077668888,27.0435886916772,0.0167098300786236,"Flying birds","Seabirds"
"small divers","Exploited",10117886397.3591,3713864484.44352,21134295698.7004,15180386254.392,10.1178863973591,3.71386448444352,21.1342956987004,0.0101178863973591,"Small divers","Seabirds"
"medium divers","Exploited",2974484829.97563,1367017520.53065,5861184678.10475,4927949535.86127,2.97448482997563,1.36701752053065,5.86118467810475,0.00297448482997563,"Medium divers","Pinnipeds"
"minke whales","Exploited",2226648104.41786,1168968825.51974,4406551208.2358,7659447997.31579,2.22664810441786,1.16896882551974,4.4065512082358,0.00222664810441786,"Minke whales","Cetaceans"
"large divers","Exploited",210640026.110799,101662959.837325,491106968.51719,793159098.446594,0.210640026110799,0.101662959837325,0.49110696851719,0.000210640026110799,"Large divers","Pinnipeds"
"baleen whales","Exploited",185379695.269742,111174329.313427,287751882.572535,193930055.474918,0.185379695269742,0.111174329313427,0.287751882572535,0.000185379695269742,"Large baleen whales","Cetaceans"
"mesozooplankton","Exploited",110397893.476297,67040387.4539866,197420145.446909,136884358.124851,0.110397893476297,0.0670403874539866,0.19742014544691,0.000110397893476297,"Mesozooplankton","Zooplankton"
"leopard seals","Exploited",61970930.6750142,33097999.6660377,114532727.866231,80348593.1260284,0.0619709306750142,0.0330979996660377,0.114532727866231,6.19709306750142e-05,"Leopard seals","Pinnipeds"
"sperm whales","Exploited",20398236.5537642,7621407.83956982,141156829.165391,874571364.032317,0.0203982365537642,0.00762140783956982,0.141156829165391,2.03982365537642e-05,"Sperm whales","Cetaceans"
"antarctic krill","Exploited",6171450.69705369,2550702.84420505,13955127.4456133,9189931.52148601,0.00617145069705369,0.00255070284420505,0.0139551274456133,6.17145069705369e-06,"Antarctic krill","Krill"
"other krill","Exploited",159731.868502473,36656.7870586558,730962.405307207,842162.969492258,0.000159731868502473,3.66567870586558e-05,0.000730962405307207,1.59731868502473e-07,"Other krill","Zooplankton"
"salps","Exploited",26117.2997450338,12569.6826127496,52073.9528916751,42530.6376100859,2.61172997450338e-05,1.25696826127496e-05,5.20739528916751e-05,2.61172997450338e-08,"Salps","Zooplankton"
"orca","Exploited",2461.16806919612,1318.05863364221,5769.60097993922,4382.32769510693,2.46116806919612e-06,1.31805863364221e-06,5.76960097993922e-06,2.46116806919612e-09,"Orca","Cetaceans"
"shelf and coastal fishes","Unexploited",2826213234596.99,1709665379027.67,4980345851419.26,3379067963406.07,2826.21323459699,1709.66537902767,4980.34585141926,2.82621323459699,"Shelf & coastal fishes","Fishes"
"mesopelagic fishes","Unexploited",1068329890092.94,413391509695.637,1920222365643.9,1288434436934.7,1068.32989009294,413.391509695637,1920.2223656439,1.06832989009294,"Mesopelagic fishes","Fishes"
"bathypelagic fishes","Unexploited",954998605313.997,468245662179.069,1789026775413.2,1231019632965.94,954.998605313997,468.245662179069,1789.0267754132,0.954998605313997,"Bathypelagic fishes","Fishes"
"other macrozooplankton","Unexploited",112270852370.306,87011978604.9917,132049098756.069,112549747436.412,112.270852370306,87.0119786049917,132.049098756069,0.112270852370306,"Other macrozooplankton","Zooplankton"
"squids","Unexploited",56778363143.7672,32702954926.3797,104499671606.482,80699151448.0623,56.7783631437672,32.7029549263797,104.499671606482,0.0567783631437672,"Squids","Squids"
"toothfishes","Unexploited",38088543395.5582,17084814684.8552,70583423816.2058,48582262505.272,38.0885433955582,17.0848146848552,70.5834238162058,0.0380885433955582,"Toothfishes","Fishes"
"flying birds","Unexploited",18432863945.0275,9438036738.37536,30166512522.6646,21347590772.6047,18.4328639450275,9.43803673837536,30.1665125226646,0.0184328639450275,"Flying birds","Seabirds"
"small divers","Unexploited",11616140881.1302,4586594851.20013,24566035749.7034,16976026392.576,11.6161408811302,4.58659485120013,24.5660357497034,0.0116161408811302,"Small divers","Seabirds"
"minke whales","Unexploited",6648682231.68256,3505168611.03589,13976435675.8547,73972217778.2723,6.64868223168256,3.50516861103589,13.9764356758547,0.00664868223168256,"Minke whales","Cetaceans"
"medium divers","Unexploited",3976219826.83731,2153043947.29463,7241357010.02496,6009019610.45005,3.97621982683731,2.15304394729463,7.24135701002496,0.00397621982683731,"Medium divers","Pinnipeds"
"sperm whales","Unexploited",640907359.838977,130255615.473415,5457773248.08627,7120597505.70056,0.640907359838977,0.130255615473415,5.45777324808627,0.000640907359838977,"Sperm whales","Cetaceans"
"large divers","Unexploited",277003791.994552,122398365.166507,549523301.904856,971318384.344008,0.277003791994552,0.122398365166507,0.549523301904856,0.000277003791994552,"Large divers","Pinnipeds"
"baleen whales","Unexploited",198723152.616847,128345101.847048,289161497.568042,208402832.253915,0.198723152616847,0.128345101847048,0.289161497568042,0.000198723152616847,"Large baleen whales","Cetaceans"
"mesozooplankton","Unexploited",114346035.303497,76995427.4015096,199594716.387584,144735102.00767,0.114346035303497,0.0769954274015096,0.199594716387584,0.000114346035303497,"Mesozooplankton","Zooplankton"
"leopard seals","Unexploited",70168743.8415669,41177622.8156322,109908843.192534,85093354.2351189,0.0701687438415669,0.0411776228156322,0.109908843192534,7.01687438415669e-05,"Leopard seals","Pinnipeds"
"antarctic krill","Unexploited",7427125.31092672,3446357.21111685,14278451.2293961,10161656.0119785,0.00742712531092672,0.00344635721111685,0.0142784512293961,7.42712531092672e-06,"Antarctic krill","Krill"
"other krill","Unexploited",187074.36083309,48296.1447122234,752419.123644552,930742.774699682,0.00018707436083309,4.82961447122234e-05,0.000752419123644552,1.8707436083309e-07,"Other krill","Zooplankton"
"salps","Unexploited",26644.3182033723,13110.9937747938,48571.674212439,39987.9502756026,2.66443182033723e-05,1.31109937747938e-05,4.8571674212439e-05,2.66443182033723e-08,"Salps","Zooplankton"
"orca","Unexploited",4230.85879184908,1725.17975018575,8599.0664997428,5982.69312599397,4.23085879184908e-06,1.72517975018575e-06,8.5990664997428e-06,4.23085879184908e-09,"Orca","Cetaceans"
