"period","start_year","end_year","n_years","median_mean","median_sd","mean_mean","mean_sd","median_min","median_max","mean_min","mean_max","metric"
"Pre-whaling",1841,1880,40,565311.209468186,10856.3131600086,1737632.24418722,30700.5057912481,541399.813441925,593444.667395348,1675033.4050423,1807216.09802628,"LTL"
"Early whaling",1900,1920,21,533587.667234629,8219.44090590555,1732479.86548086,34332.3193131292,516941.63903168,553820.669926942,1666334.16949096,1803392.23437421,"LTL"
"Peak whaling",1930,1965,36,512548.652508096,9505.67200766294,1883641.12839781,36275.4455469154,492054.693323371,532369.543962526,1803525.83352309,1948989.85233593,"LTL"
"Post-whaling",1970,1976,7,497703.592889442,4877.24829708281,1910300.5236856,12927.3014581722,489347.695483864,504194.66076628,1889706.86457662,1932214.79763729,"LTL"
"Krill fishing",1977,1995,19,494636.756743333,8065.74029474647,1950915.86382191,31623.5697995605,481452.60370183,508631.507332624,1890237.50573962,1994588.56070645,"LTL"
"Modern",2001,2010,10,485579.633018981,6967.27911652302,1969472.35195112,22062.7891578362,476751.187337307,495801.961376523,1947974.78348266,2008298.04609914,"LTL"
