"year","prey","n_sims","median","mean","sd","q05","q25","q75","q95"
1841,"External",2111,0,0,0,0,0,0,0
1841,"Resource",2111,0.727001116372491,0.737090851906524,0.0957574819137173,0.591965279868234,0.662612795211393,0.804584381986101,0.902339335006302
1841,"antarctic krill",2111,0.0385800832447638,0.0694635234815156,0.0794912972013304,0.00172864832289502,0.0118127116402269,0.0972161812519189,0.250961314581089
1841,"baleen whales",2111,0,0,0,0,0,0,0
1841,"bathypelagic fishes",2111,0.0631676075594513,0.0651932624153687,0.0433167325352388,0.0017003990535723,0.0333229930664372,0.0954082438481129,0.138760400130611
1841,"flying birds",2111,0,0,0,0,0,0,0
1841,"large divers",2111,0,0,0,0,0,0,0
1841,"leopard seals",2111,4.41613011161493e-20,6.03185960584632e-20,6.561795899192e-20,3.30302016683185e-22,8.41162476744104e-21,9.00316792565301e-20,1.82209189832599e-19
1841,"medium divers",2111,0,0,0,0,0,0,0
1841,"mesopelagic fishes",2111,0.0474740915352503,0.0508787336932969,0.0363835375827157,0.0021400490998393,0.0178002173376456,0.0756668932029082,0.114888733794348
1841,"mesozooplankton",2111,2.54895015275666e-16,3.10117768855141e-16,2.49312010968236e-16,3.07183456776674e-17,1.19062014060844e-16,4.39777436562443e-16,7.9674285169083e-16
1841,"minke whales",2111,0,0,0,0,0,0,0
1841,"orca",2111,1.53699238474797e-19,2.43895605601334e-19,5.0556449670205e-19,3.68802438427792e-21,4.65539100952634e-20,3.2678663412571e-19,7.46630191709731e-19
1841,"other krill",2111,0.000358542737473912,0.00170788321519835,0.00382652020639724,3.42087860114283e-06,6.67636287891348e-05,0.0015311472982824,0.00815229530070042
1841,"other macrozooplankton",2111,0.000807673441463691,0.00136155552959757,0.0018490445332694,8.85338502438877e-06,0.000165674204765862,0.00183497280121262,0.00422039040461151
1841,"salps",2111,0.0488739601845555,0.0624451865729573,0.0462979657440896,0.00816239493912825,0.0252908612484917,0.0915126144259643,0.153729736268884
1841,"shelf and coastal fishes",2111,0.0135141430669932,0.0118134052427177,0.00659057178643272,0.000166367386217682,0.00721991776532076,0.0168781476492054,0.0205782381579832
1841,"small divers",2111,0,0,0,0,0,0,0
1841,"sperm whales",2111,0,0,0,0,0,0,0
1841,"squids",2111,8.29599673182265e-06,7.3879383584716e-06,4.14559106979566e-06,8.34149573175464e-08,4.51624837077857e-06,1.07779142466302e-05,1.26808630053449e-05
