"year","predator","prey","median_g_yr","q25_g_yr","q75_g_yr","q05_g_yr","q95_g_yr","scenario"
1841,"mesozooplankton","mesozooplankton",55233383615966.3,28169004540261.5,81093761335803.6,13639650680753.9,117739691149640,"fishing"
1841,"mesozooplankton","other krill",12628134822.6945,7658454771.72244,17492174695.7124,3394042519.51828,28388466058.4981,"fishing"
1841,"mesozooplankton","other macrozooplankton",30653505922.7594,12706512754.4019,65274120234.9625,5249063531.48526,185147699583.53,"fishing"
1841,"mesozooplankton","antarctic krill",123229530.58954,79120600.1391318,204038451.812957,28462963.4748555,342018812.679594,"fishing"
1841,"mesozooplankton","salps",255361.031283992,151458.786875664,775445.236498438,62902.3570023324,1468627.33363639,"fishing"
1841,"mesozooplankton","mesopelagic fishes",1385.53417438791,685.651752971374,4445.62369623158,136.662612375535,13017.5295368429,"fishing"
1841,"mesozooplankton","bathypelagic fishes",2377.58785107376,1392.31432755158,6474.97512988996,324.625984099962,23991.1689265725,"fishing"
1841,"mesozooplankton","shelf and coastal fishes",0.00382045091163899,0.00262583087920689,0.00510362512314783,0.00113418594770292,0.0081844785067748,"fishing"
1841,"mesozooplankton","flying birds",1.81545586832918e-06,1.18177576341943e-06,2.50422795142448e-06,5.43186980363064e-07,3.73074670109076e-06,"fishing"
1841,"mesozooplankton","small divers",0.0107468123963168,0.00461241661543099,0.0383216618200107,0.00112893503891772,0.140393004066134,"fishing"
1841,"mesozooplankton","squids",0.00032545953725797,0.000184583697376316,0.000438667968143555,9.19606592720701e-05,0.000777956714143692,"fishing"
1841,"mesozooplankton","toothfishes",0.00548531698439949,0.00262207048289181,0.00872022445158721,0.000553391831521402,0.0153271112129189,"fishing"
1841,"mesozooplankton","leopard seals",0.000173939344779661,0.000126907647102647,0.000202847458086963,8.91526268949371e-05,0.000243100678783977,"fishing"
1841,"mesozooplankton","medium divers",1.97214236498675,1.27020122274272,2.74338300455823,0.688979358111921,4.45401165845655,"fishing"
1841,"mesozooplankton","large divers",0.945252403434609,0.554097128173776,1.82861695117003,0.263028643883504,34.7905238283015,"fishing"
1841,"mesozooplankton","minke whales",10.9571484040672,5.93246578016855,29.1828902390911,2.6107967819793,1555.08692506761,"fishing"
1841,"mesozooplankton","orca",48.4207778700654,38.7973183025841,54.4768450360447,31.1471296378477,86.1326214938252,"fishing"
1841,"mesozooplankton","sperm whales",34247.1106207447,4148.81497867354,144299.629231966,2383.75459922863,1096017.25471483,"fishing"
1841,"mesozooplankton","baleen whales",4536715.46361587,1552653.07027462,17710951.9864059,522147.271983508,46102975.2486796,"fishing"
1841,"mesozooplankton","Resource",516682037020464,365919549782952,672707473071268,235541214020077,914943123720716,"fishing"
1841,"mesozooplankton","External",0,0,0,0,0,"fishing"
1841,"other krill","mesozooplankton",840556512056.357,243330154195.893,2539283646151.14,66958452557.5128,6945772688384.61,"fishing"
