"period","start_year","end_year","n_years","mean_median","mean_mean","min_q05","max_q95","relative_to_baseline","percent_of_baseline"
"pre_whaling",1841,1880,40,9345919617.61852,1013209975652.09,1165351981.42336,5244404641374.11,1,100
"early_whaling",1900,1920,21,9032077714.10059,1032299449127.42,1107587058.64466,5641909887503.42,0.966419366273353,96.6419366273353
"peak_whaling",1930,1965,36,8521144738.46947,1181118803366.73,855348225.384265,5497022158214.12,0.911750270396696,91.1750270396696
"post_whaling",1970,1976,7,6224727192.51826,900308299739.911,363370166.888172,4785018598856.75,0.666036885314493,66.6036885314493
"krill_fishing",1977,1995,19,2819740364.64825,352567137374.517,144845220.265295,1236426624014.7,0.301708176403807,30.1708176403807
"modern",2001,2010,10,3275085138.37946,300901794927.011,182771117.99872,177633913895.928,0.350429414373029,35.0429414373029
