"group","scenario","n_sims","median_Mt","mean_Mt","q25_Mt","q75_Mt","q05_Mt","q95_Mt"
"fish","Exploited",2111,7.16004409628135,9.47948644439649,3.57923805633891,12.4239116270238,0.364143204624114,18.3096903767335
"fish","Unexploited",2111,6.64753678576746,8.99390936856537,3.6707298443265,11.7049508252009,0.736541876700328,17.5165786442812
"seals","Exploited",2111,0.019694380797989,0.028771796339301,0.00883316177377878,0.0401528073708696,0.00081686821067098,0.0777331593420222
"seals","Unexploited",2111,0.0209652871850364,0.0300473725097453,0.0103098116495634,0.0411583664372187,0.00188273987020595,0.0787865965013528
"whales","Exploited",2111,0.00337992620278752,0.301538586683316,0.00159141234520774,0.00766544854351573,0.000200874221984648,0.173503422420811
"whales","Unexploited",2111,0.0105535789380446,1.31852776170287,0.00471563487541894,0.0317076471803907,0.00115601417783655,5.17314733004964
