"period","start_year","end_year","n_years","median_mean","median_sd","mean_mean","mean_sd","median_min","median_max","mean_min","mean_max","metric"
"Pre-whaling",1841,1880,40,9345.91961761852,173.210791311373,1013209.97565209,20641.4986944918,9003.58273077362,9780.44864753409,973494.422983138,1060807.83089599,"Krill"
"Early whaling",1900,1920,21,9032.07771410059,142.902320304832,1032299.44912742,31485.4950224077,8860.87397145127,9330.87177778372,974706.285277989,1095540.7676549,"Krill"
"Peak whaling",1930,1965,36,8521.14473846947,258.656788754854,1181118.80336673,27378.0289529345,8131.25660805632,9055.28654371159,1113488.52759553,1227714.32177603,"Krill"
"Post-whaling",1970,1976,7,6224.72719251826,1962.82448391437,900308.299739912,274093.864129366,3773.72632218239,8169.21507982184,565647.177637059,1173647.64125316,"Krill"
"Krill fishing",1977,1995,19,2819.74036464825,401.42065637765,352567.137374517,61344.5270733412,2224.27709199638,3615.63833959902,318561.274418131,537763.554561867,"Krill"
"Modern",2001,2010,10,3275.08513837946,220.34684172799,300901.794927011,7577.46187272467,2951.33727784752,3665.012204231,289165.267722283,310863.451492779,"Krill"
