"metric","median_modern","median_prewhaling","median_percent","median_change","mean_modern","mean_prewhaling","mean_percent","mean_change","scenario"
"LTL",200688.136217869,565311.209468186,35.5004699812455,-364623.073250317,674195.256895647,1737632.24418722,38.7996516035534,-1063436.98729157,"Fishing"
"LTL",485579.633018981,565311.209468186,85.8959852354223,-79731.5764492056,1969472.35195112,1737632.24418722,113.342300048785,231840.107763897,"Climate-only"
"Krill",3275.08513837946,9345.91961761852,35.0429414373029,-6070.83447923906,300901.794927011,1013209.97565209,29.6978713354411,-712308.180725077,"Fishing"
"Krill",8909.65858192282,9345.91961761785,95.3320694640617,-436.261035695026,1315004.74289646,1013209.97565209,129.786004332433,301794.767244377,"Climate-only"
