"year","n_sims","median","mean","sd","q05","q25","q75","q95","median_density","mean_density","median_tonnes","mean_tonnes"
1888,2111,6059548856836.78,7410989885070.01,5092337564577.34,721139893527.879,3447671499645.35,11321023598742.3,16608094106777.9,4.11000498313265,5.0266457251545,6059548.85683678,7410989.88507001
1889,2111,6098137403352.36,7366021321114.87,5030381644064.74,718750585772.063,3437461054291.13,11223229286593.8,16447150683499,4.1361784033357,4.99614493601878,6098137.40335236,7366021.32111487
1890,2111,6218870427542.1,7474057189755.33,5076229689056.62,738003237419.264,3525701575724.57,11365118754380.9,16646557111187.5,4.2180678876475,5.06942233157413,6218870.4275421,7474057.18975533
1891,2111,6185428627714.69,7421158327596.81,5027062401927.89,738154545272.868,3509134414226.57,11262517329481.9,16523048524232,4.19538534688698,5.03354266590755,6185428.62771469,7421158.32759681
1892,2111,6233226500726.09,7412777738527.13,4974661845576.27,752446281097.506,3549404924455.08,11226270157730.3,16378914419063.9,4.22780516903897,5.02785837097872,6233226.50072609,7412777.73852713
1893,2111,6345315303495.72,7483998952678.4,4972401030687.74,783613863894.857,3646269305371.13,11307245184449.7,16428831877773.8,4.30383154473471,5.07616552254763,6345315.30349572,7483998.9526784
1894,2111,6362853651672.83,7516985553289.67,5003070784563.98,791877676285.095,3660856877461.39,11345392871617.7,16572982305088.2,4.3157272650444,5.09853931572796,6362853.65167283,7516985.55328967
1895,2111,6310291871892.86,7520429934811.63,5035684507092.55,789745544744.614,3641196292314.57,11364942948836.5,16632225659938.4,4.28007623195235,5.1008755334157,6310291.87189286,7520429.93481163
1896,2111,6297508198989.46,7505049497478.04,5037133899253.17,785123693751.032,3621209618312.09,11355785328999.9,16619053120813.7,4.27140546114465,5.09044345743491,6297508.19898946,7505049.49747804
1897,2111,6272831002994.08,7573344958835.44,5130080318039.07,777807138256.037,3612972057925.45,11498333515420.8,16896218030585.6,4.25466768067501,5.13676616117672,6272831.00299408,7573344.95883544
1898,2111,6291776295032.58,7635808483882.72,5209687006130.84,773714431714.02,3595794272064.95,11625256999881.2,17124709280307.2,4.26751768758556,5.17913324250137,6291776.29503258,7635808.48388272
1899,2111,6151875620297.72,7526248366896.93,5190917672447.95,741084632254.078,3484142594945.12,11484178458899,16974257723672.7,4.17262737745048,5.10482199633391,6151875.62029772,7526248.36689693
1900,2111,6041181762369.66,7308789193019.95,5025454072477.49,714834039465.265,3371902072877.92,11111550255511.2,16405867275526.1,4.09754714979076,4.95732614979842,6041181.76236966,7308789.19301995
1901,2111,6164706746796.68,7433790453577.34,5097298863308.15,719183547088.574,3450080297812.93,11312855921642.1,16645633066523.6,4.18133033456757,5.04211064711443,6164706.74679668,7433790.45357734
1902,2111,6156736272618.01,7381577672063.33,5008112888758.13,727330822566.962,3461919912062.65,11176060965863.5,16414157974647.5,4.17592420791256,5.00669632877559,6156736.27261801,7381577.67206333
1903,2111,6318256507955.71,7430634736720.51,4968045795771.08,759799177425.488,3559339211206.03,11208159900210.4,16317689267895,4.28547839879357,5.03997022176044,6318256.50795571,7430634.73672051
1904,2111,6412536404167.63,7530053445800.5,5012021094168.68,780605186700.42,3659490717223.09,11325361465541.4,16561534355130.4,4.34942554277988,5.10740286392395,6412536.40416763,7530053.4458005
1905,2111,6526262509558.58,7728766004641.36,5194259039846.62,792777895267.283,3736946329511.71,11624324796640.3,17148553238259.1,4.42656245031413,5.24218346002815,6526262.50955858,7728766.00464136
1906,2111,6303046223759.05,7542352636520.54,5117211463419.17,763592728443.482,3592083426708.88,11417197170106.1,16753373865549.1,4.27516173243439,5.1157450254185,6303046.22375905,7542352.63652053
1907,2111,6232760784846.82,7541579647092.79,5193966608327.03,743240603865.548,3539108771792.93,11465192960289.4,16845374723736.4,4.22748928833073,5.11522073054523,6232760.78484682,7541579.64709279
1908,2111,6165626041146.93,7478762573416.05,5164157461449.33,728336393037.694,3469689330725.37,11362022827780.6,16699304124572.2,4.18195386355458,5.07261384809623,6165626.04114693,7478762.57341605
1909,2111,6184239634507.45,7437018385441.6,5123197225674.92,724548103487.403,3464157388458.37,11277305573994.2,16500615159457.5,4.19457888948856,5.0443000536793,6184239.63450745,7437018.3854416
1910,2111,6319463953849.37,7550359063967.34,5197161046226.96,737269508800.003,3552130805663.44,11396376005393.3,16777061374397.4,4.28629737207971,5.12117553806571,6319463.95384937,7550359.06396734
1911,2111,6298602893916.04,7501874870973.98,5186315028499.89,733840758262.062,3519254914566.11,11302768843715.5,16565732277159.1,4.27214795892947,5.08829020625078,6298602.89391604,7501874.87097398
1912,2111,6364704071553.62,7499535655327.67,5189122239085.92,744919626662.073,3564544079626.81,11258671659557.7,16417000778787.4,4.3169823477429,5.08670358846947,6364704.07155362,7499535.65532767
1913,2111,6449072823429.77,7578709190127.18,5260515041973.81,769820891677.173,3656663465142.35,11356724653834.3,16509821718832.5,4.37420706839854,5.14040455371395,6449072.82342977,7578709.19012718
1914,2111,6448668169980.21,7619442473090.81,5379119870146.4,779398054906.765,3675022389645.31,11385808909596.5,16664748156551.1,4.37393260445189,5.16803268246003,6448668.16998021,7619442.47309081
1915,2111,6406677952685.63,7630546897535.97,5514566421344.56,789992909847.554,3652584427612.77,11404797717366.8,16734792475290.8,4.34545193593994,5.17556447086255,6406677.95268563,7630546.89753597
1916,2111,6346828108477.55,7623124065759.97,5632677177382.46,800935231015.762,3632902860138.25,11404021126043.7,16738083202032.7,4.30485763366653,5.17052979314824,6346828.10847755,7623124.06575997
1917,2111,6359226254010.32,7699321305877.72,5831008662424.58,798734168428.452,3629102402211.68,11538982810446.7,17109393278985.9,4.31326691315667,5.22221202956285,6359226.25401032,7699321.30587772
1918,2111,6393949064889.21,7769339447372.84,6006487839731.98,783071095412.707,3634366073793.93,11681943992930.8,17354545445436.5,4.33681832417956,5.26970317407767,6393949.06488921,7769339.44737284
1919,2111,6237340613297.05,7664322917199.76,6068644561711.5,741008817452.249,3524747745967.22,11548457420394.3,17280231347952.8,4.23059564462838,5.19847370262359,6237340.61329705,7664322.91719976
1920,2111,6083504674852.82,7449916820902.76,5988106631304.43,707307433108.468,3393555784293.23,11223764979602.2,16549713063611,4.12625347518167,5.0530486643882,6083504.67485282,7449916.82090276
1921,2111,6235281777375.06,7581265210785.7,6107600262258.45,713789391943.81,3472712933050.32,11382620559564.4,16889544636445.5,4.22919919976115,5.14213822364412,6235281.77737506,7581265.2107857
1922,2111,6273313383552.54,7534223578413.96,6081976002779.41,712564394374.849,3472982100771.19,11267517260924.5,16560510886473.3,4.25499486452085,5.11023133617932,6273313.38355254,7534223.57841396
1923,2111,6424220714689.36,7590794298132.36,6111942302377.35,745787373789.746,3575472582384.51,11262502561476.8,16452115973477.3,4.35735065001201,5.14860150950992,6424220.71468936,7590794.29813236
1924,2111,6507888121252.74,7698519889985.95,6211987416758.89,777873404087.771,3666827479103.29,11390782349457.4,16686061774850.7,4.41409966978653,5.22166845389632,6507888.12125274,7698519.88998595
1925,2111,6594671704611.19,7905983363615.93,6421203069993.02,800712871443.5,3757558354879.06,11717932555754,17345088078160.1,4.47296229611141,5.36238452543606,6594671.70461119,7905983.36361593
1926,2111,6366311620264.64,7724040056592.6,6398379542830.45,770640653022.964,3610024903123.56,11452012384770.9,17057860051690.7,4.3180726984223,5.23897799531628,6366311.62026464,7724040.0565926
1927,2111,6289832627601.23,7728885084691.35,6496343010077.56,749510637643.797,3546489013758.21,11547937238473.1,17235272378152.8,4.26619935795127,5.24226422835107,6289832.62760123,7728885.08469135
1928,2111,6226639407312.51,7672164147194.1,6515219966578.87,729119428879.66,3481286468626.01,11452976204231.6,17114841475916.4,4.22333734686379,5.20379216693702,6226639.40731251,7672164.1471941
1929,2111,6257624786613.35,7638307787713.74,6551054955076.56,715913151238.628,3470969028055.69,11360027764084.2,16836523514567.4,4.24435377338984,5.18082844315782,6257624.78661335,7638307.78771374
1930,2111,6396424645786.52,7762568477917.51,6710412185115.19,725321840975.692,3556559769982.09,11497869172039.7,17057442119311.4,4.33849743430219,5.26511063445805,6396424.64578652,7762568.47791751
1931,2111,6377794623860.42,7726686274168.56,6819890567834.75,719797923691.916,3532881839039.95,11391625972706.4,16846188611823,4.32586126537919,5.24077284303194,6377794.62386042,7726686.27416856
1932,2111,6468114935770.79,7753349314680.07,6978978045298.47,734210850027.123,3571455430932.26,11386114993942.8,16662451475797.8,4.38712274553227,5.25885756055083,6468114.93577079,7753349.31468007
1933,2111,6590323542996.64,7880228682802.37,7219087762480.35,767103128635.259,3693308747712.44,11522043388010.5,16803820430575.4,4.47001307227883,5.344915920267,6590323.54299664,7880228.68280237
1934,2111,6616000314221.86,7975938393276.4,7479523892220.65,792006344158.802,3730678264629.04,11615264952838,16965656804087,4.48742883377852,5.40983286314116,6616000.31422186,7975938.3932764
1935,2111,6624827773370.98,8044517479931.02,7725129499530.51,816416322439.51,3747186192704.88,11708981980005.9,17104957359848.7,4.49341622689119,5.45634794116898,6624827.77337098,8044517.47993102
1936,2111,6673265239266.22,8088500875960.12,7931821917299.28,803902332596.942,3739809862651.02,11777550918759,17150639328967.2,4.52626986515753,5.48618052130418,6673265.23926622,8088500.87596012
1937,2111,6688469644151.55,8206701029349.3,8163892698968.64,797842267122.267,3767778831083.99,11986899221963.9,17488133531567.6,4.53658254376128,5.56635203752002,6688469.64415155,8206701.0293493
1938,2111,6732667265541.16,8311699897644.1,8368437215758.56,783126254655.87,3783636306733.96,12078275975237.4,17761989686566.6,4.5665604263472,5.63756952946713,6732667.26554116,8311699.8976441
1939,2111,6554681653617.47,8221345566080.34,8466370636698,745171830758.644,3675055103040.83,11977262020724.9,17660296491264.4,4.4458382786733,5.57628497483305,6554681.65361747,8221345.56608034
1940,2111,6398475651596.78,8010916924765.56,8488265362769.81,716514040946.25,3529952649437.18,11693700768359.4,17112303412405.2,4.33988856824627,5.43355772156208,6398475.65159678,8010916.92476556
1941,2111,6507546640875.03,8165613867428.53,8724209051038.97,723320675974.427,3586617218369.61,11900768983132.8,17354333954745.1,4.41386805418491,5.53848388359852,6507546.64087503,8165613.86742853
1942,2111,6559659732516.12,8130827512047.39,8892828895680.46,724508805688.679,3592302797633.85,11771057516809.3,17071224255528.3,4.44921475595952,5.51488937230084,6559659.73251612,8130827.51204739
1943,2111,6657765193947.37,8200186217962.62,9170753646447.23,747675589698.835,3661430341865.28,11762900277714.5,16918613598418.5,4.51575666277162,5.56193324201295,6657765.19394737,8200186.21796262
1944,2111,6748927624172.14,8317953086423.88,9511795120673.98,775389508750.393,3715384868878.16,11871565431760,17064682997872.9,4.57758932578836,5.64181087443399,6748927.62417214,8317953.08642388
1945,2111,6806517257100.77,8536369260440.88,9905406828260.43,777207149873.826,3810735472041.4,12136762208744.2,17683078977864.6,4.61665059650432,5.78995582463004,6806517.25710077,8536369.26044088
1946,2111,6608819377052.75,8342809778810.34,10067341878995.3,751787565115.195,3661119721211.99,11923211388457.6,17257335549721.3,4.48255822571084,5.65867040176617,6608819.37705275,8342809.77881034
1947,2111,6569734696386.28,8338363129506.67,10249700362701.3,709550556572.285,3582449080818.57,11923899629918.3,17452393956777,4.45604829302467,5.65565437677353,6569734.69638628,8338363.12950667
1948,2111,6518388293830.96,8273795441328.85,10324463241755,683607383739.822,3520453155009.99,11827780182737.9,17269493053342,4.42122161279579,5.61186010653495,6518388.29383095,8273795.44132885
1949,2111,6508818622784.74,8236946165611.17,10384332434144.2,680039298958.933,3500733156614.7,11764355421196.2,17113039242030.5,4.41473080025906,5.5868663800377,6508818.62278474,8236946.16561117
1950,2111,6640841502334.05,8367272866361.11,10509297008218.8,692371673506.206,3576759003046.55,11953047832637.1,17291526646263.3,4.50427784503995,5.67526295908552,6640841.50233405,8367272.86636111
1951,2111,6589542367644.58,8322456558271.53,10560946281367.4,688062189137.047,3565994698364,11859699439743.5,17102699776230.1,4.46948322514573,5.64486544040458,6589542.36764458,8322456.55827153
1952,2111,6593867553782.51,8328033870399.51,10656346234758.2,683963382840.602,3603567552972.5,11830243238597.3,16932864197349.6,4.47241686542157,5.64864835909705,6593867.55378251,8328033.87039951
1953,2111,6733606137783.89,8421324609316.29,10822557130428.4,684043740614.736,3689154323818.02,11890398981465.4,17012305109824.6,4.56719723441449,5.7119245882169,6733606.13778389,8421324.60931629
1954,2111,6754851642053.36,8469191037138.51,10979516021911,659099418998.655,3709691260047.68,11948512164707.7,17178830703602.6,4.58160740429342,5.74439090898138,6754851.64205336,8469191.03713851
1955,2111,6725104291016.61,8482418034022.01,11104594834664.3,627287044686.473,3683602971496.39,11961750571571.2,17309463199795.1,4.56143069413155,5.75336237276316,6725104.29101661,8482418.03402201
1956,2111,6711144697430.13,8474892741765.21,11185428701756.3,617235969973.215,3660236366045.21,11939024616806.3,17328037939083.7,4.55196233261513,5.7482581992668,6711144.69743013,8474892.74176521
1957,2111,6746559546948.59,8549868809895.17,11252754178908.3,611548740986.515,3658598717337.17,12043410423968.6,17594978454583,4.57598313208992,5.79911215240923,6746559.54694859,8549868.80989517
1958,2111,6798747091371.46,8621148307552.09,11277753085017.5,611125738511.875,3659247114827.96,12205077573581.8,17853711571017.6,4.6113803328887,5.84745883588131,6798747.09137146,8621148.30755209
1959,2111,6669362473099,8501602598193.76,11177929032748.9,583028327150.043,3540412121063.35,12096908233725.2,17731451081342.8,4.52362273931133,5.7663746705774,6669362.473099,8501602.59819376
1960,2111,6479550184241.76,8265360452351.5,11018686709337,557908949959.193,3413131357208.37,11748138525017.2,17149112249926.1,4.39487892166179,5.6061389138276,6479550.18424176,8265360.4523515
1961,2111,6637211643786.79,8398416403806.14,11061567594335.6,570265650742.001,3483927541714.67,11953295091755.6,17415865571228.6,4.50181582401004,5.69638665939979,6637211.64378679,8398416.40380614
1962,2111,6584951611330.01,8348548285909.92,11058051594819.3,571893620348.154,3492137411992.93,11837978427658.8,17138893636520.8,4.46636945681495,5.66256265403317,6584951.61133001,8348548.28590992
1963,2111,6711279249853.01,8411192615742.87,11174379718282.4,597222281453.764,3580512259219.75,11857622713175,17025092136284.8,4.55205359537109,5.70505236966405,6711279.24985301,8411192.61574287
1964,2111,6796647154452.04,8526012897471.57,11338741212842.1,613224654505.993,3663897297047.39,11979925273360.9,17239025778600.8,4.60995601048336,5.78293142324033,6796647.15445204,8526012.89747157
1965,2111,6934088621138.63,8745589441671.63,11537160963384.8,615996206829.987,3759520208275.04,12254514797502.8,17766781208934.2,4.70317831569402,5.93186341672085,6934088.62113863,8745589.44167163
1966,2111,6734666551483.98,8549546805518.04,11505006529741.1,578465845254.163,3614592488761.68,12013385266168.9,17441989419275,4.56791648030136,5.79889374677774,6734666.55148398,8549546.80551804
1967,2111,6674770858597.12,8540576980401.16,11483687242873.2,548926185549.317,3545361326759.02,11985191898247.7,17602841015690,4.52729108028409,5.79280979122276,6674770.85859712,8540576.98040115
1968,2111,6621143659420.6,8468170448224.35,11373788017628.6,523208429816.573,3500073139998.02,11918081557112.3,17443813545353.4,4.49091740609574,5.74369867501775,6621143.6594206,8468170.44822435
1969,2111,6621972928145.1,8418225045502.47,11277493005936.6,507178206325.22,3483997277422.42,11892556593719.8,17274184715749,4.49147987347913,5.70982224973902,6621972.9281451,8418225.04550247
1970,2111,6760066540152.39,8536843932350.24,11277515778772.5,511934242725.702,3554158181371.24,12047459846599.3,17458622289574.1,4.58514450873468,5.7902777799371,6760066.54015239,8536843.93235024
1971,2111,6720677216662.47,8483229998578.17,11237475340922.6,511757217897.708,3534576841292.52,11940420775074.3,17310015828423.4,4.55842794622307,5.7539131032632,6720677.21666247,8483229.99857816
1972,2111,6738304583956.48,8484642747335.83,11276500090966.2,516903717354.347,3562840831768.2,11909191076035.9,17148487060436.4,4.5703840454525,5.75487132714605,6738304.58395648,8484642.74733583
1973,2111,6826480599948.92,8585861891806.15,11421054582744.4,527161147015.54,3655007072919.31,11982580762542.6,17236794514483.7,4.63019111586052,5.82352514907077,6826480.59994891,8585861.89180615
1974,2111,6928193817869.32,8657516958130.67,11590031802155.2,525411960576.699,3678552655837.24,12028087937785.1,17372385570778.3,4.69918005255861,5.8721265691795,6928193.81786931,8657516.95813067
1975,2111,6943120647415.45,8699033507979.19,11762193179638.1,516826659376.741,3653613719161.58,12058549929514.5,17448232735457.2,4.70930446037616,5.90028596368085,6943120.64741545,8699033.50797919
1976,2111,6936020537793.16,8676981850008.57,11901981411287.4,506684694990.681,3599615387573.57,12021670397039.8,17450488286947.4,4.70448867513903,5.8853290046255,6936020.53779315,8676981.85000857
1977,2111,6941577955100.82,8699975861042.01,12025431650067.8,494987899275.217,3530151519033.49,12059837205284.4,17708035643540.7,4.70825809978887,5.90092513268098,6941577.95510082,8699975.86104201
1978,2111,6851805912520.72,8655800346383.27,12080862531089.8,481419836601.676,3396773242202.05,12074209537267.2,17875259120556.5,4.64736849380213,5.87096224440836,6851805.91252072,8655800.34638327
1979,2111,6401639402676.58,8319239661107.86,11930052790753.4,417241239521.189,3134647453424.13,11679985429526.9,17588974492216.2,4.34203444296576,5.64268351833657,6401639.40267658,8319239.66110786
1980,2111,5619617282642.53,7797615226069.41,11608775698032.8,367411060952.087,2810010200967.03,11020059164044.3,16897804509028.8,3.81161297328266,5.28888176213604,5619617.28264253,7797615.22606941
1981,2111,5985746719887.22,8059355521101.82,11739741015486.4,368786008017.654,2930515385228.05,11374647500310.2,17179172087192.9,4.05994727128067,5.46641212657168,5985746.71988722,8059355.52110182
1982,2111,6320693887470.66,8187185855051.05,11845100234430.4,358869891819.222,2946454271378.5,11523909650407.8,17285909351540.7,4.2871315980975,5.55311549706008,6320693.88747066,8187185.85505105
1983,2111,6400481737538.36,8225918034992.45,11986636653428.6,347751639294.777,2919775161608.69,11582707743441.5,17279134495658.9,4.34124923442973,5.57938633938312,6400481.73753836,8225918.03499245
1984,2111,6580732316682.85,8316005786529.94,12218307430986,343329535514.2,2975584068253.58,11647968685584.4,17225822020815.2,4.46350763946933,5.64049008101243,6580732.31668285,8316005.78652994
1985,2111,6794942728377.79,8601992186546.89,12565504645992,345437102496.091,3078937851786.04,12064697948037.6,17784174033532.7,4.60879995087825,5.83446583018914,6794942.72837779,8601992.18654689
1986,2111,6840219916645.45,8702718109129.65,12828493297114.9,334425238821.969,3121910444416.28,12161840046976.5,17897413094857.6,4.63951007036055,5.90278511492908,6840219.91664545,8702718.10912965
1987,2111,6884523387234.84,8796180007301.51,13074629851321.1,320982853830.205,3110844566471.61,12305151338506.4,18181172371575.7,4.66955974719203,5.96617743608942,6884523.38723484,8796180.00730151
1988,2111,6929248179863.65,8874164574401.78,13293671279077.1,310671554296.505,3145158935203.35,12358402218084.6,18273873067908.9,4.69989519376023,6.01907196123677,6929248.17986364,8874164.57440178
1989,2111,6881034036704.06,8815776344772.58,13465660844498.6,301994514364.267,3151391367816.65,12239400360416.9,17985557273911.4,4.66719302841341,5.97946902702467,6881034.03670406,8815776.34477258
