"scenario","n_sims","median_Mt","mean_Mt","q25_Mt","q75_Mt","q05_Mt","q95_Mt","group"
"Exploited",2111,7.24484229896833,9.80979682741911,3.5933717022199,12.5745505810299,0.369162078950225,18.664769733579,"ALL (whales + fish + seals)"
"Unexploited",2111,7.12743054107098,10.342484502778,3.71242639368821,12.5113116652903,0.759429940847991,20.5659488115719,"ALL (whales + fish + seals)"
