"period","start_year","end_year","n_years","median_mean","median_sd","mean_mean","mean_sd","median_min","median_max","mean_min","mean_max","metric"
"Pre-whaling",1841,1880,40,565311.209468186,10856.3131600079,1737632.24418722,30700.5057912481,541399.813441931,593444.667395348,1675033.4050423,1807216.09802628,"LTL"
"Early whaling",1900,1920,21,533587.667234629,8219.44090590596,1732479.86548086,34332.3193131292,516941.639031677,553820.669926944,1666334.16949096,1803392.23437421,"LTL"
"Peak whaling",1930,1965,36,341500.580449466,65059.2683801951,1674454.05229747,51429.8067020056,271039.956601326,525227.934569154,1586399.15436184,1819662.77031828,"LTL"
"Post-whaling",1970,1976,7,253841.961649016,11161.9567845739,1303525.39315789,290104.080016322,236564.021070784,265667.564190483,947840.725169196,1593737.95821504,"LTL"
"Krill fishing",1977,1995,19,211342.02307703,9472.0700001462,733633.320574225,63616.7417154682,201355.497276788,236400.385742243,693524.600744479,923656.464079068,"LTL"
"Modern",2001,2010,10,200688.136217869,3276.58936030166,674195.256895647,9934.80200145673,196160.072581447,205437.726752138,657344.421153094,692338.760624923,"LTL"
