"year","predator","prey","median_g_yr","q25_g_yr","q75_g_yr","q05_g_yr","q95_g_yr","scenario"
1841,"mesozooplankton","mesozooplankton",55233383615966.3,28169004540261.5,81093761335803.6,13639650680753.9,117739691149640,"climate_only"
1841,"mesozooplankton","other krill",12628134822.6945,7658454771.72244,17492174695.7124,3394042519.51828,28388466058.4981,"climate_only"
1841,"mesozooplankton","other macrozooplankton",30653505922.7594,12706512754.4019,65274120234.9625,5249063531.48526,185147699583.53,"climate_only"
1841,"mesozooplankton","antarctic krill",123229530.58954,79120600.1391318,204038451.812957,28462963.4748555,342018812.679594,"climate_only"
1841,"mesozooplankton","salps",255361.031283992,151458.786875664,775445.236498438,62902.3570023324,1468627.33363639,"climate_only"
1841,"mesozooplankton","mesopelagic fishes",1385.53417438791,685.651752971374,4445.62369623158,136.662612375535,13017.5295368429,"climate_only"
1841,"mesozooplankton","bathypelagic fishes",2377.58785107376,1392.31432755158,6474.97512988996,324.625984099962,23991.1689265725,"climate_only"
1841,"mesozooplankton","shelf and coastal fishes",0.00382045091163899,0.00262583087920689,0.00510362512314783,0.00113418594770292,0.0081844785067748,"climate_only"
1841,"mesozooplankton","flying birds",1.81545586832918e-06,1.18177576341943e-06,2.50422795142448e-06,5.43186980363064e-07,3.73074670109076e-06,"climate_only"
1841,"mesozooplankton","small divers",0.0107468123963168,0.00461241661543099,0.0383216618200107,0.00112893503891772,0.140393004066134,"climate_only"
1841,"mesozooplankton","squids",0.00032545953725797,0.000184583697376316,0.000438667968143555,9.19606592720701e-05,0.000777956714143692,"climate_only"
1841,"mesozooplankton","toothfishes",0.00548531698439949,0.00262207048289181,0.00872022445158721,0.000553391831521402,0.0153271112129189,"climate_only"
1841,"mesozooplankton","leopard seals",0.000173939344779661,0.000126907647102647,0.000202847458086963,8.91526268949371e-05,0.000243100678783977,"climate_only"
1841,"mesozooplankton","medium divers",1.97214236498675,1.27020122274272,2.74338300455823,0.688979358111921,4.45401165845655,"climate_only"
1841,"mesozooplankton","large divers",0.945252403434609,0.554097128173776,1.82861695117003,0.263028643883504,34.7905238283015,"climate_only"
1841,"mesozooplankton","minke whales",10.9571484040672,5.93246578016855,29.1828902390911,2.6107967819793,1555.08692506761,"climate_only"
1841,"mesozooplankton","orca",48.4207778700654,38.7973183025841,54.4768450360447,31.1471296378477,86.1326214938252,"climate_only"
1841,"mesozooplankton","sperm whales",34247.1106207447,4148.81497867354,144299.629231966,2383.75459922863,1096017.25471483,"climate_only"
1841,"mesozooplankton","baleen whales",4536715.46361587,1552653.07027462,17710951.9864059,522147.271983508,46102975.2486796,"climate_only"
1841,"mesozooplankton","Resource",516682037020464,365919549782952,672707473071268,235541214020077,914943123720716,"climate_only"
1841,"mesozooplankton","External",0,0,0,0,0,"climate_only"
1841,"other krill","mesozooplankton",840556512056.357,243330154195.893,2539283646151.14,66958452557.5128,6945772688384.61,"climate_only"
1841,"other krill","other krill",37256293.2540233,10010750.1392259,109338162.296167,1613129.86356901,516133918.886305,"climate_only"
1841,"other krill","other macrozooplankton",38589549.4497912,6299587.53108533,156615692.893449,593195.422624622,743569364.214974,"climate_only"
1841,"other krill","antarctic krill",180299.081661844,54556.272907086,733027.842979547,10714.2493178717,4941860.22848661,"climate_only"
1841,"other krill","salps",100.006804182178,31.2683487972579,419.733338081236,5.58295383455881,1731.31459156529,"climate_only"
1841,"other krill","mesopelagic fishes",0.119884304909688,0.0240426078253319,0.416514227957,0.00571342726625944,2.84895160195311,"climate_only"
1841,"other krill","bathypelagic fishes",0.206788592951079,0.0530027343896119,1.08785508233619,0.0112258985398087,4.13123609143434,"climate_only"
1841,"other krill","shelf and coastal fishes",1.6347694199425,0.870797319775319,2.21272859283744,0.369452994359852,2.72148314439082,"climate_only"
1841,"other krill","flying birds",0.00435208210905465,0.00351128677703436,0.00492702920177175,0.00112480657947434,0.00526782926055387,"climate_only"
1841,"other krill","small divers",0.151726285306217,0.0953784952818511,0.173045518088172,0.0307475681334557,0.195371522283578,"climate_only"
1841,"other krill","squids",42.3707396631885,30.3832376465695,56.7543826211911,15.1764294061174,80.3299043203942,"climate_only"
1841,"other krill","toothfishes",15465.445967878,7122.06997493189,34702.6634670515,744.112159370189,54035.1710556032,"climate_only"
1841,"other krill","leopard seals",218.551009314304,128.952431210982,288.595324289323,82.2989991652547,356.41716992993,"climate_only"
1841,"other krill","medium divers",302858.497582184,171162.337310038,486771.640667825,81239.5894379631,770319.598003391,"climate_only"
1841,"other krill","large divers",37452.3789915664,17476.0018086536,77939.3470633586,7628.01526398037,1333197.47641473,"climate_only"
1841,"other krill","minke whales",62117.1977730725,29514.785740165,170236.96352189,11011.8535718181,8912678.34129779,"climate_only"
1841,"other krill","orca",157735.109648355,123066.132580732,193723.127201383,51442.6617532235,276776.543180055,"climate_only"
1841,"other krill","sperm whales",12260232.4265951,1165733.41750364,43542987.3986722,434610.128698294,405175645.112397,"climate_only"
1841,"other krill","baleen whales",393682565.64294,169983630.546878,1454328780.7326,24227015.8139206,4615826820.97344,"climate_only"
1841,"other krill","Resource",127224648302074,39734455936584.2,333860024897302,13222778024713.6,1166878879409396,"climate_only"
1841,"other krill","External",0,0,0,0,0,"climate_only"
1841,"other macrozooplankton","mesozooplankton",65269418260627.3,50420541810369,87774457769240.3,22567263555859,131435927593235,"climate_only"
1841,"other macrozooplankton","other krill",3962071484146.08,2113179154171.78,8030326591550.81,655063245196.894,13698857153265.8,"climate_only"
1841,"other macrozooplankton","other macrozooplankton",9513664791981.73,5189971101384.48,14798980600081.4,2703195712438.03,26666492418030.5,"climate_only"
1841,"other macrozooplankton","antarctic krill",111794785079.16,90135277538.8933,134387539036.607,24037641602.448,219722009575.368,"climate_only"
1841,"other macrozooplankton","salps",434701481.778082,317006152.500969,577399584.424949,206733159.991695,737646798.432094,"climate_only"
1841,"other macrozooplankton","mesopelagic fishes",73566740.6783989,52667497.6862454,97683144.5281561,24175900.2313041,178055728.254166,"climate_only"
1841,"other macrozooplankton","bathypelagic fishes",83713180.8703416,51366268.2775696,114972304.245495,33441866.7165475,192440395.123152,"climate_only"
1841,"other macrozooplankton","shelf and coastal fishes",3530642.77147574,2594601.42568611,5294270.02813817,1073978.16316483,8959112.42201383,"climate_only"
1841,"other macrozooplankton","flying birds",2.00971252165156e-07,1.32307833960237e-07,2.78131436107727e-07,6.73009895450872e-08,4.78829936691379e-07,"climate_only"
1841,"other macrozooplankton","small divers",184.434822797596,97.6811840044139,279.148099978828,45.8621265980146,1228.5581581116,"climate_only"
1841,"other macrozooplankton","squids",1294.69547399932,899.24026715855,2016.65996234465,453.087710515035,3075.03631582319,"climate_only"
1841,"other macrozooplankton","toothfishes",23420.9971057166,15697.3859164002,38610.0324596254,8776.82365479094,48292.2330845741,"climate_only"
1841,"other macrozooplankton","leopard seals",4.92605892853958e-07,3.61142381263107e-07,6.13169445367095e-07,1.99114667365346e-07,1.11710294844496e-06,"climate_only"
1841,"other macrozooplankton","medium divers",0.000399092415153458,0.000240172205852937,0.000678269654128059,0.00012511332142864,0.00126568170678737,"climate_only"
1841,"other macrozooplankton","large divers",1.46769851338862e-05,7.95328220152267e-06,3.21238748345095e-05,3.7594361668396e-06,0.000436434857467576,"climate_only"
1841,"other macrozooplankton","minke whales",1.1074067576326e-06,6.09833424952555e-07,2.81500470148074e-06,2.70423678127223e-07,0.000163229973434573,"climate_only"
1841,"other macrozooplankton","orca",1.39594053314857e-06,9.73212099469453e-07,2.10339523579159e-06,4.74722499984331e-07,3.50745514112929e-06,"climate_only"
1841,"other macrozooplankton","sperm whales",8.62527240436575e-05,1.32054132422266e-05,0.000577722036167765,4.07248763947435e-06,0.00487661136654087,"climate_only"
1841,"other macrozooplankton","baleen whales",0.00312070995346351,0.00068354052503982,0.00833858412355855,0.000131069149850935,0.0379424214682773,"climate_only"
1841,"other macrozooplankton","Resource",65495459110844.6,49456307350163.2,84298447272634.5,29171560311487.8,130471939540071,"climate_only"
1841,"other macrozooplankton","External",0,0,0,0,0,"climate_only"
1841,"antarctic krill","mesozooplankton",4515130974887.38,2462991087138.42,10280975123070.4,744822757807.409,21070274110807.6,"climate_only"
1841,"antarctic krill","other krill",701613817.473322,366402731.868307,1441022491.94029,69741452.6132419,4152732502.30095,"climate_only"
1841,"antarctic krill","other macrozooplankton",1618384999.63949,509286688.951552,4274486696.55381,94782850.4999563,17158804383.1382,"climate_only"
1841,"antarctic krill","antarctic krill",7313603.18853823,3453434.51471924,14618806.5119143,573121.404539387,28516188.1037321,"climate_only"
1841,"antarctic krill","salps",11916.8267105324,4604.35750288534,31362.5270575957,1542.90818605351,75501.7859347595,"climate_only"
1841,"antarctic krill","mesopelagic fishes",78.9089117956666,24.5059674221038,166.987830639959,9.08776119617607,664.264466415508,"climate_only"
