"predator","prey","median_g_yr","q25_g_yr","q75_g_yr","q05_g_yr","q95_g_yr","mean_g_yr","median_tonnes","q25_tonnes","q75_tonnes","scenario"
"medium divers","mesozooplankton",252.125508804803,113.374212667971,864.419072218268,33.4153003815468,2200.076346718,622.150978920009,0.000252125508804803,0.000113374212667971,0.000864419072218268,"Exploited"
"large divers","mesozooplankton",14.7676297411161,6.18092891695946,51.6630709428314,1.86321328346112,136.63441489553,38.8336324512262,1.47676297411161e-05,6.18092891695946e-06,5.16630709428314e-05,"Exploited"
"minke whales","mesozooplankton",5.13518704046096e-07,2.94043918454429e-07,1.05548622882266e-06,1.31384048997635e-07,3.70192016421597e-05,3.00500832113818e-05,5.13518704046096e-13,2.94043918454429e-13,1.05548622882266e-12,"Exploited"
"orca","mesozooplankton",1.93120678705313e-05,9.81458020715469e-06,3.66125670165592e-05,2.70695217140249e-06,8.84315346679223e-05,2.926052358541e-05,1.93120678705313e-11,9.81458020715469e-12,3.66125670165592e-11,"Exploited"
"sperm whales","mesozooplankton",0.418977066498404,0.155315876021256,1.45908667679961,0.041051437777153,6.00144355716794,2.86895244503919,4.18977066498404e-07,1.55315876021256e-07,1.45908667679961e-06,"Exploited"
"baleen whales","mesozooplankton",0.000588621882685902,0.000155669009590304,0.00168868860799618,1.18389762671939e-05,0.0167633849300805,0.00320561965356358,5.88621882685902e-10,1.55669009590304e-10,1.68868860799618e-09,"Exploited"
"mesozooplankton","other krill",13542380352.8728,8130301977.57374,20974669445.2314,3688124754.8592,35006752076.7035,15723350658.2416,13542.3803528728,8130.30197757374,20974.6694452314,"Exploited"
"other krill","other krill",37152048.4327265,14207339.1051675,145252485.466465,2123309.75568746,474483135.309282,107798103.400725,37.1520484327265,14.2073391051675,145.252485466465,"Exploited"
"other macrozooplankton","other krill",3408906242331.89,2243525122752.81,7523657500132.13,396978964418.902,13405092502489,5043855956438.6,3408906.24233189,2243525.12275281,7523657.50013213,"Exploited"
"antarctic krill","other krill",835591386.710617,350492518.877719,2158985416.63072,19414224.0980308,4967978657.8266,1485015691.41864,835.591386710617,350.492518877719,2158.98541663072,"Exploited"
"salps","other krill",5811355.88137017,3527899.99081557,13265259.4768314,634611.274428476,25786377.1040132,9149453.04567287,5.81135588137017,3.52789999081557,13.2652594768314,"Exploited"
"mesopelagic fishes","other krill",1983350098863.64,689664923772.813,5230367901261.91,113349657035.311,16735183947188.9,4244354692567.48,1983350.09886364,689664.923772813,5230367.90126191,"Exploited"
"bathypelagic fishes","other krill",1335948364008.37,506343193630.047,3863209802378.18,138665850998.601,9553928014719.53,2697171988670.7,1335948.36400837,506343.193630047,3863209.80237818,"Exploited"
"shelf and coastal fishes","other krill",998876316244.599,409835487982.188,2943878972217.08,111236942911.29,7079004022500.49,2014918338910.03,998876.316244599,409835.487982188,2943878.97221708,"Exploited"
