"year","n_sims","median","mean","sd","q05","q25","q75","q95","median_density","mean_density","median_tonnes","mean_tonnes"
1841,2111,9401365851.65575,1016862809178.75,4282581428468.21,1220352385.59851,4075238462.74869,41860135327.0519,5094406669399.87,0.000482121325725936,0.0521468107271156,9401.36585165575,1016862.80917875
1842,2111,9337078593.97946,1027249254319.03,4343070092888.28,1223143020.95535,4077546007.78377,41342614147.9548,5065086027680.04,0.000478824543280998,0.0526794489394372,9337.07859397946,1027249.25431902
1843,2111,9541906516.81401,1053852245106.87,4441185696493.12,1276954881.20955,4164079635.94403,41353001327.2717,5124771945779.12,0.000489328539323796,0.0540437048772753,9541.90651681401,1053852.24510687
1844,2111,9598159239.57607,1049069937611.76,4401146834611.84,1297778554.02624,4211602336.05216,41140323526.2154,5086518458671.84,0.000492213294337234,0.0537984583390648,9598.15923957607,1049069.93761176
1845,2111,9780448647.53409,1060807830895.99,4433090710703.18,1332443610.42509,4321366374.39825,41984438654.7229,5210938124196.72,0.000501561469104312,0.05440040158441,9780.44864753409,1060807.83089599
1846,2111,9246178908.25558,1006694748241.52,4242002113592.75,1242169031.24679,4073668125.6678,39534216455.8438,4913428398724.48,0.000474163020936184,0.0516253717046931,9246.17890825558,1006694.74824152
1847,2111,9286089093.96093,1017015008334.89,4333337568554.55,1212269951.89507,4060933957.04217,39694396946.1259,4938765855957.96,0.000476209697126202,0.0521546158120455,9286.08909396093,1017015.00833489
1848,2111,9271900050.80423,1014907704049.66,4324422846275.97,1197634234.17509,4057006318.47689,39654057274.1114,4940228334743.34,0.000475482053887397,0.0520465489256233,9271.90005080423,1014907.70404966
1849,2111,9229864541.67547,1014697139558.45,4327536972836.94,1182918476.72567,4031922484.95741,39223914602.4161,4914488505932.67,0.000473326386752588,0.0520357507465873,9229.86454167547,1014697.13955845
1850,2111,9503313100.61156,1033811324564.34,4374545101712.62,1219989653.1579,4126185023.80049,40140751489.7147,5034135159356.74,0.000487349389774952,0.0530159653622739,9503.31310061156,1033811.32456434
1851,2111,9333901123.32972,1015611232985.9,4295937872495.98,1202436161.91315,4086624536.72793,39323975476.1067,4925959737478.97,0.000478661596068191,0.05208262733261,9333.90112332972,1015611.2329859
1852,2111,9352734886.98985,1024734390251.54,4331933325080.95,1221143543.25557,4137691778.38694,39259748357.9642,4919634754076.77,0.000479627430102044,0.0525504815513612,9352.73488698985,1024734.39025154
1853,2111,9490038165.85908,1035406052731.34,4357258285836.27,1255331465.0813,4181742744.87383,39566410340.7559,4954019778724.2,0.000486668623890209,0.0530977462939148,9490.03816585908,1035406.05273134
1854,2111,9349252418.21572,1018977434390.9,4288013036860.35,1249409013.09286,4151910095.23412,38764239837.242,4866395731361.32,0.000479448841959781,0.0522552530456872,9349.25241821572,1018977.4343909
1855,2111,9252997202.13521,1013908196395.03,4284564838810.74,1243946716.36326,4131042096.4894,38526109671.9079,4821590422422.32,0.000474512677032575,0.051995292122822,9252.99720213521,1013908.19639503
1856,2111,9211894790.77106,1006685698762.31,4269932071624.52,1227111494.43489,4079407123.25275,38094689221.5754,4770610532239.84,0.000472404861065182,0.0516249076288365,9211.89479077106,1006685.69876231
1857,2111,9387186889.40684,1021361682792.08,4339491864091.46,1240194061.51357,4110355703.47373,38672369173.76,4871060412629.92,0.000481394199456761,0.0523775221944659,9387.18688940684,1021361.68279208
1858,2111,9663668581.72906,1041224684234.03,4411426179044.88,1267336074.36368,4217034615.40464,39874391383.2564,5042033708585.1,0.000495572747780977,0.053396137653027,9663.66858172906,1041224.68423403
1859,2111,9500480278.70334,1017813104057.62,4332609934840.65,1212591983.51765,4125149830.37093,39198651398.8753,4932600489674.91,0.000487204116856581,0.0521955437978265,9500.48027870334,1017813.10405762
