"time","median","q05","q25","q75","q95"
0,0,0,0,0,0
365,0,0,0,0,0
730,0,0,0,0,0
1095,0,0,0,0,0
1460,0,0,0,0,0
1825,0,0,0,0,0
2190,0,0,0,0,0
2555,0,0,0,0,0
2920,0,0,0,0,0
3285,0,0,0,0,0
3650,0,0,0,0,0
4015,0,0,0,0,0
4380,0,0,0,0,0
4745,0,0,0,0,0
5110,0,0,0,0,0
5475,0,0,0,0,0
5840,0,0,0,0,0
6205,0,0,0,0,0
6570,0,0,0,0,0
6935,0,0,0,0,0
7300,0,0,0,0,0
7665,0,0,0,0,0
8030,0,0,0,0,0
8395,0,0,0,0,0
8760,0,0,0,0,0
9125,0,0,0,0,0
9490,0,0,0,0,0
9855,0,0,0,0,0
10220,0,0,0,0,0
10585,0,0,0,0,0
10950,0,0,0,0,0
11315,0,0,0,0,0
11680,0,0,0,0,0
12045,0,0,0,0,0
12410,0,0,0,0,0
12775,0,0,0,0,0
13140,0,0,0,0,0
13505,0,0,0,0,0
13870,0,0,0,0,0
14235,0,0,0,0,0
14600,0,0,0,0,0
14965,0,0,0,0,0
15330,0,0,0,0,0
15695,0,0,0,0,0
16060,0,0,0,0,0
16425,0,0,0,0,0
16790,0,0,0,0,0
17155,0,0,0,0,0
17520,0,0,0,0,0
17885,0,0,0,0,0
18250,0,0,0,0,0
18615,0,0,0,0,0
18980,0,0,0,0,0
19345,0,0,0,0,0
19710,0,0,0,0,0
20075,0,0,0,0,0
20440,0,0,0,0,0
20805,0,0,0,0,0
21170,0,0,0,0,0
21535,0,0,0,0,0
21900,0,0,0,0,0
22265,0,0,0,0,0
22630,0,0,0,0,0
22995,0,0,0,0,0
23360,0,0,0,0,0
23725,0,0,0,0,0
24090,0,0,0,0,0
24455,0,0,0,0,0
24820,0,0,0,0,0
25185,0,0,0,0,0
25550,0,0,0,0,0
25915,0,0,0,0,0
26280,0,0,0,0,0
26645,0,0,0,0,0
27010,0,0,0,0,0
27375,0,0,0,0,0
27740,0,0,0,0,0
28105,0,0,0,0,0
28470,0,0,0,0,0
28835,0,0,0,0,0
29200,0,0,0,0,0
29565,0,0,0,0,0
29930,0,0,0,0,0
30295,0,0,0,0,0
30660,0,0,0,0,0
31025,0,0,0,0,0
31390,0,0,0,0,0
31755,0,0,0,0,0
32120,0,0,0,0,0
32485,0.00958805359759057,0.000120680509781857,0.00223075049228363,0.0407869804036603,0.274839891616175
32850,0.0442695227962982,0.000566266319943703,0.0104235754538461,0.180974811326995,1.20384541209648
33215,0.0306073146514482,0.000648946887228701,0.00840690350609933,0.101744784233347,0.604792633055745
33580,0.0632611611707914,0.00272684132244241,0.0202344229024871,0.173572103259552,1.06946871517275
33945,0.0391977131296442,0.00299142454623388,0.0147427440856538,0.111965061151588,0.597719602139713
34310,0.0261063810534618,0.00190533482920433,0.0101473114323118,0.0718183671695983,0.376377068355282
34675,0.0210867958651851,0.00166049648722208,0.0082021670698028,0.0582510032048376,0.299797027380425
35040,0.0200290255139813,0.00148700850168287,0.00736262094864311,0.0552299779650668,0.276587724826834
35405,0.00894754704738701,0.00072735093978401,0.00340050485067715,0.0254584971407943,0.132578695807223
35770,0.020743415961171,0.00258409490533163,0.00920766280739903,0.0700910876396669,0.404815674557843
36135,0.00975727877835953,0.00131851251605323,0.00431851888409073,0.0336894383253041,0.204137286031656
36500,0,0,0,0,0
36865,0,0,0,0,0
37230,0,0,0,0,0
37595,0,0,0,0,0
37960,0,0,0,0,0
38325,0.000817976527814751,6.20875621088194e-05,0.000314005783573428,0.00237498772743269,0.0121012589760533
38690,0.0132665856621471,0.00148787553890985,0.00544183783356532,0.0435137705120278,0.248345136344714
39055,0.0204943457819475,0.00196373946291225,0.00835402205115353,0.0665923742957711,0.34797608816543
39420,0.00124993279120613,0.000168015790647423,0.000589141738104927,0.00503717399952694,0.0310875103905317
39785,0.00548616814499343,0.000413431450248738,0.00205031623103343,0.0161101947829176,0.0797747336756849
40150,0.00702388199049212,0.000626960416324882,0.00289177359757111,0.0233191668802116,0.113931428613455
40515,0.00966750973615104,0.00053391118255764,0.003401439179566,0.0220628300638355,0.131918821128127
40880,0.00755722214458546,0.000390520399014947,0.00252292455521319,0.0173074496174169,0.108461344502235
41245,0.00634392446071728,0.000342040266647284,0.00226319751052603,0.016814163987103,0.09277272690945
41610,0.00410452567880766,0.000233593344603522,0.00153013926980993,0.0105947391861717,0.059601976208597
41975,0.00671613733354391,0.000373904250218787,0.00242150096257774,0.0162763167563349,0.0955200957971552
42340,0.00116260278381186,8.64054619625118e-05,0.00049907233250098,0.00377905783624284,0.019147924513933
42705,0.00502134047007024,0.00028156120041688,0.00181372124017618,0.0123650481398076,0.0721637205292374
43070,0.00630086842911639,0.000355167598411938,0.00239113985601438,0.0146078962241283,0.0869823756032045
43435,0.00382049789513762,0.000195193394775033,0.00135248099906993,0.00869393987831513,0.0564482870511731
43800,0.000604473976211879,3.39003913924135e-05,0.000207903681796253,0.00137712657407674,0.00851431313891974
44165,0.00136905092791763,8.19368766697959e-05,0.000472488484819175,0.00311510279167174,0.0192398311822752
44530,0.00123671475069207,9.60265762961789e-05,0.000548560995258638,0.00403531884486546,0.0189707326888091
44895,0.00143563746139717,0.00019673824405216,0.000659658211451054,0.00631828742253048,0.0958030039600909
45260,0.000427282344642849,6.97657770703107e-05,0.000209588366787869,0.00161766413286106,0.0670779775945795
45625,0.000343898147818078,3.05240200714571e-05,0.000150717466087593,0.000981153829891658,0.00516681871899448
45990,0.00313765728103167,0.000300874822516835,0.00128344522859258,0.0126888541036747,0.0983187382725565
46355,0.000414939925448363,4.06032945033751e-05,0.000180080187497339,0.00124278809290486,0.00709620939882539
46720,0.000226458549982479,2.15366516038148e-05,9.29033535855543e-05,0.00065784333326566,0.00365517443929951
47085,0.000495998819882702,9.34689515416859e-05,0.000237102822921544,0.0020434124527159,0.061743842856315
47450,7.60926965722422e-05,4.78741434548812e-06,3.32236755600475e-05,0.000165178668826571,0.0014110289502664
47815,0.00436704476177157,0.000504987999061921,0.00189166919215911,0.0112292965090503,2.14126713338826
48180,0.00515073728353842,0.000846667090123479,0.00246621730639242,0.0114101968635903,2.5053696438701
48545,0.00371597088928151,0.000702839148567913,0.00208825637266504,0.0152658733706527,0.795668676377108
48910,0.0265988802450916,0.00125188061845572,0.00887952708816473,0.0943853837005749,0.946593132920729
49275,0.0456155738989417,0.00146974175568808,0.0147855190981365,0.157637811320028,1.13672147801801
49640,0.0872489767438137,0.00274195334304472,0.0284325545565602,0.29248542470404,1.86152887847417
