"time","median","q05","q25","q75","q95"
0,58.8436265065815,40.5236835280255,48.798090795949,71.6814818835005,100.262444691387
365,61.8918273401668,43.0698623680766,51.5505639978261,74.6218779185424,103.416261995757
730,62.5384359265076,43.6664024004381,52.2925883338986,75.0420481132697,103.227064277248
1095,61.3082313895502,42.8368945159352,51.2827087089037,73.5765036680947,100.804835461359
1460,58.7281457872408,40.6898589043472,48.9752153586073,71.1245316052853,98.1698980993637
1825,59.5167995079053,41.2521424979298,49.5324997137755,72.059756391465,99.9880081638272
2190,58.1610956151406,39.9421742099863,48.1157370603429,70.9155477215264,98.9658337857632
2555,60.1473082041778,41.3952078614463,49.8132443627164,72.8609404539739,102.379571282651
2920,60.2510292266813,41.2485263508396,49.9446627547379,72.8509893137338,101.613307058873
3285,59.8818931175273,41.319007698378,49.794094878185,72.2719788701133,100.598930302005
3650,60.5001346365027,41.8412852629903,50.2469923999038,72.8275965136507,100.750457140553
4015,61.7414851024416,42.7243669590063,51.4267978689572,74.1095598873716,101.892128042193
4380,61.3787572415451,42.671639681704,51.2216018639638,73.5595235472297,100.705500629845
4745,60.1841422231671,41.9406923989199,50.3283747329389,72.4413269095786,99.1259259597766
5110,60.2830375233712,41.9658396865239,50.3448718059823,72.7907936910937,99.8201068774581
5475,59.8524543582339,41.5161825913901,49.8416200358063,72.3637869763692,99.7257869144419
5840,59.2720504086293,40.998569805604,49.2874174835736,71.8706080332396,99.819586520348
6205,58.7454554621411,40.4756872589495,48.6367056862671,71.333402227293,99.9912426427585
6570,58.1334256376571,39.8834501788969,47.9775709988001,70.840830667963,99.8547224347947
6935,61.2406707295427,41.9767618679909,50.6949789118366,74.1009469856835,103.548503666153
7300,59.6024205074125,40.7782192366407,49.3831905724296,72.5007418189506,101.409599485976
7665,61.7312417127039,42.6852541088285,51.3213401057061,74.3093031168234,103.081954008373
8030,62.3413165792307,43.3282299180126,52.1194367130189,74.7717807107364,102.743422857252
8395,61.2521175174124,42.6426168769137,51.2597042461479,73.3664150493941,100.397830443368
8760,58.5368417254425,40.6051083552754,48.8161896935953,70.8589662847818,97.615727682939
9125,59.4975914622561,41.0583529773764,49.3815928251086,71.9708401026998,99.7075979813258
9490,58.0058349190886,39.839596273672,47.9866435855154,70.7307946638978,98.9064843498824
9855,60.108912617471,41.3106063559521,49.7401865070919,72.8017573309689,101.740407740094
10220,60.1973545240586,41.188931591746,49.8188174859886,72.7948826036293,101.252439421677
10585,59.7879684563891,41.2356071745668,49.6398465496806,72.0240199673268,100.239570447282
10950,60.4677241000422,41.7637179289703,50.154401629062,72.6147504330764,100.484909269803
11315,61.7238038728701,42.6518664710101,51.2930013116194,73.9365715264096,101.451774863702
11680,61.3199905070864,42.5988564186473,51.1330557708566,73.3029439103905,100.44676329308
12045,60.1003868196952,41.8025897057375,50.1935777606832,72.2015374274107,98.6960602725678
12410,60.2576771360527,41.7797171585459,50.2437033809675,72.6373638908496,99.7309652831284
12775,59.749399037004,41.2927777149841,49.7870054992383,72.0938124643907,99.4308663059603
13140,59.2167072103564,40.831822490212,49.1838125263164,71.6980880038627,99.4697745890749
13505,58.6347113802259,40.3585566799442,48.5862441602041,71.2452944397705,99.2895433853608
13870,58.0574818813829,39.7384507371631,47.8976019400832,70.6981891457311,99.1435669683659
14235,61.1660137377137,41.8884508810567,50.5326310592503,74.023769762313,103.227652462503
14600,59.5029797047264,40.5975204490152,49.2691220636399,72.358221508662,100.733130206583
14965,61.6637152535188,42.5822902073215,51.2315702797961,74.1972069940213,102.39554044377
15330,62.2666229786664,43.2029376211172,52.0482428404764,74.6924525869927,101.875298643306
15695,61.1963524955242,42.5403063095404,51.1793942507665,73.257580151551,100.095080215146
16060,58.5099442806673,40.4859970763322,48.7204741185142,70.615538719984,97.5168783750351
16425,59.4149995554237,40.896865749982,49.2804426820319,71.740702986467,99.0339980211371
16790,57.9326979746412,39.6389250216843,47.9319290856784,70.5553573200125,98.2420375806494
