"w","fished_biomass","climate_biomass","ratio","log10_w","size_category"
3.16227766016838e-08,280189672622735456,278881650892241344,1.00469023948442,-7.5,"Small (<1g)"
4.53623270600988e-08,273212445419616928,271877231068767008,1.00491109294295,-7.34330467449793,"Small (<1g)"
6.50714749759769e-08,262233321098528832,260873854213658048,1.00521120404714,-7.18660934899586,"Small (<1g)"
9.33439073780173e-08,247633579412091552,246256234302274560,1.0055931380325,-7.02991402349378,"Small (<1g)"
1.33900223528244e-07,230054350589213408,228670515031525920,1.00605165715176,-6.87321869799171,"Small (<1g)"
1.92077558830971e-07,210348326273912672,208974750450610464,1.00657292720934,-6.71652337248964,"Small (<1g)"
2.75531941876727e-07,189494401248399008,188151891927956448,1.0071352422061,-6.55982804698757,"Small (<1g)"
3.95245813495413e-07,168452051214755424,167163164689611072,1.00771035010935,-6.40313272148549,"Small (<1g)"
5.66973295442978e-07,148097493584076928,146883144526480800,1.00826745002982,-6.24643739598342,"Small (<1g)"
8.13313403379543e-07,129113360929886672,127990236515822304,1.0087750788235,-6.08974207048135,"Small (<1g)"
1.16668403509199e-06,111956801584459472,110935371919435216,1.00920742994188,-5.93304674497928,"Small (<1g)"
1.67358810525261e-06,96861263491881232,95945674439404592,1.00954278614254,-5.7763514194772,"Small (<1g)"
2.40073324207457e-06,83865733753569680,83054457034519056,1.00976800942439,-5.61965609397513,"Small (<1g)"
3.44381038650601e-06,72860812700847600,72148115630461104,1.00987824926762,-5.46296076847306,"Small (<1g)"
4.94008654120945e-06,63638060035548568,63015700740837040,1.00987625762143,-5.30626544297099,"Small (<1g)"
7.08646885155566e-06,56036324576016936,55495361071960336,1.00974790493489,-5.14957011746891,"Small (<1g)"
1.01654172179288e-05,49570702589254352,49101830378146328,1.00954897622954,-4.99287479196684,"Small (<1g)"
1.45821154906901e-05,44066273705092368,43661279238989120,1.00927582684617,-4.83617946646477,"Small (<1g)"
2.0917792907584e-05,39353576342144312,39004606285138288,1.00894689346317,-4.6794841409627,"Small (<1g)"
3.00062127750894e-05,37242735254989568,36926406784967840,1.00856645684114,-4.52278881546062,"Small (<1g)"
4.30433941612213e-05,37064413530360664,36765391124686776,1.00813325784186,-4.36609348995855,"Small (<1g)"
6.17450057694841e-05,31828050646237084,31584247727014276,1.00771913016039,-4.20939816445648,"Small (<1g)"
8.85721447336123e-05,26411616248449552,26217871268884016,1.00738980589151,-4.05270283895441,"Small (<1g)"
0.000127055212400501,21325970670225456,21173208977090800,1.00721485785645,-3.89600751345233,"Small (<1g)"
0.000182258508549024,16687620559584464,16567221555022672,1.00726730213403,-3.73931218795026,"Small (<1g)"
0.000261446683775594,12614142365165674,12518860682691238,1.00761105062909,-3.58261686244819,"Small (<1g)"
0.000375040753934783,9189595748209494,9114091903428352,1.0082842970623,-3.42592153694612,"Small (<1g)"
0.000537989486348578,6436409586690299,6377202065124794,1.0092842473801,-3.26922621144404,"Small (<1g)"
0.000771736629646219,4313968067566168,4268888096223784,1.01056012018264,-3.11253088594197,"Small (<1g)"
0.00110704287100476,2738023624003396,2705507933826392,1.01201833111279,-2.9558355604399,"Small (<1g)"
0.00158803388508885,1608519170487629,1587066632978931,1.01351709944808,-2.79914023493783,"Small (<1g)"
0.00227800719036431,828605424140182,816525876497818,1.01479383322691,-2.64244490943575,"Small (<1g)"
0.00326776198422312,312591140829532,308099561716181,1.01457833658812,-2.48574958393368,"Small (<1g)"
0.0046875481476536,62435705313027.6,62364468503304.1,1.00114226596383,-2.32905425843161,"Small (<1g)"
0.00672420688613729,59392488785372.4,59247772789483.6,1.00244255588143,-2.17235893292954,"Small (<1g)"
0.00964575868307804,59341798449960.2,59113777388438.9,1.00385732517181,-2.01566360742746,"Small (<1g)"
