"Year","Species","n","min_t","q05_t","q25_t","median_t","q75_t","q95_t","max_t","ObsBiomass_t"
1841,"mesozooplankton",2111,5.65571873374334e-88,8127300.81240413,12233473.4198272,16838711.2500766,19847106.3377385,24111610.8514073,28263062.5172994,NA
1841,"other krill",2111,1171.00755172559,1300014.03629954,5003535.02514702,11180744.1860937,30456813.6827182,77983708.5392472,126548904.151754,NA
1841,"other macrozooplankton",2111,1443086.84217806,7468723.77587329,14306784.0631378,17830963.1043203,21706565.5307049,26917177.293973,36889170.2396202,NA
1841,"antarctic krill",2111,68472.1020951363,1544467.68590515,7058564.69244126,13332850.5351514,24202884.9203719,36031178.6604375,664533440.149034,NA
1841,"salps",2111,106830.819645507,450321.261205205,819523.108294416,1064448.59237071,1572828.39573248,2078846.58200607,2882077.68964274,NA
1841,"mesopelagic fishes",2111,8473.81536775268,506502.714653571,1320483.82258647,1816473.28957688,2688952.69911304,3648079.25281067,9168371.20499784,NA
1841,"bathypelagic fishes",2111,328308.646068812,1031998.83735144,1727824.3021822,2445417.63022186,3360069.75659849,4629411.16303158,13708158.707355,NA
1841,"shelf and coastal fishes",2111,1509954.01659243,2880167.14515118,4283268.79408822,4989104.35016986,5637917.52540384,6332608.47007144,23586677.9691172,NA
1841,"flying birds",2111,3944.91939911523,5422.84760717402,5942.32280582445,6013.33033397104,6097.1396217494,6255.30131095749,6560.01225558363,NA
1841,"small divers",2111,11122.6090292091,22254.8128897661,35042.543058318,37417.9404547608,40117.155231674,42404.9957940086,47452.6811601029,NA
1841,"squids",2111,51933.9982302502,98866.8072135539,126501.984449502,144799.766773748,170485.670253282,305018.451480218,434794.185702428,NA
1841,"toothfishes",2111,1456.06630992214,197388.256430794,713764.311927157,1079970.51029402,1394167.27906076,1850319.35206518,4181034.87708745,NA
1841,"leopard seals",2111,93.1296298259286,1952.44633459088,2698.39556104644,3374.68736082895,3838.31628937892,4709.79813784195,18926.5073374559,NA
1841,"medium divers",2111,35327.943459812,165404.864878888,274903.762576185,409125.828547153,591544.880772393,807438.996107014,1290774.9699862,NA
1841,"large divers",2111,627.12581885408,6273.72151323492,11040.3046570082,18171.9375109476,36697.3517256274,166079.270949244,2347345.67647232,NA
1841,"minke whales",2111,248.744625624293,8070.8215974627,14253.922691239,25845.9429452391,59579.568903995,15240979.1671829,160766190.827755,NA
1841,"orca",2111,5279.15377226589,7269.13632085861,8480.00096393982,8981.66587763809,9954.41242857043,17172.1328058137,263635.713916324,NA
1841,"sperm whales",2111,11433.2886480513,14912.8584163055,20080.8564291601,23675.2906324402,98449.8399482942,2393071.39002521,11942150.9044231,NA
1841,"baleen whales",2111,113966.658486964,179467.313471679,805815.673579874,811216.64393007,3002093.73369197,17212777.2516244,100762146.937964,NA
