"w","bl_median","bl_q25","bl_q75"
3.16227766016838e-08,1,0.685905037817723,1.21890403185019
4.53623270600988e-08,1,0.727254114225489,1.2625090753987
6.50714749759769e-08,1,0.747470324331228,1.2969044981885
9.33439073780173e-08,1,0.752118698686543,1.29137560389832
1.33900223528244e-07,1,0.76357608649708,1.28671139921109
1.92077558830971e-07,1,0.777428721216467,1.27993817333974
2.75531941876727e-07,1,0.794968932430667,1.28479999468541
3.95245813495413e-07,1,0.810893692245311,1.28980960283165
5.66973295442978e-07,1,0.81378785401229,1.28887445309252
8.13313403379543e-07,1,0.818435516493996,1.30493252879789
1.16668403509199e-06,1,0.820910862623843,1.31979667347068
1.67358810525261e-06,1,0.811760371950555,1.33205264346616
2.40073324207457e-06,1,0.798919636004517,1.334751132025
3.44381038650601e-06,1,0.789926075264448,1.35374148882883
4.94008654120945e-06,1,0.786179613068053,1.38604737757495
7.08646885155566e-06,1,0.77604204215902,1.40528956429039
1.01654172179288e-05,1,0.767122499787499,1.42697034652395
1.45821154906901e-05,1,0.763657030254429,1.43851217388348
2.0917792907584e-05,1,0.757462686782181,1.44323926898032
3.00062127750894e-05,1,0.750408370689321,1.43493523646839
4.30433941612213e-05,1,0.752054195957576,1.39864523274008
6.17450057694841e-05,1,0.761471390417163,1.33569239806868
8.85721447336123e-05,1,0.779178611772457,1.29875841720972
0.000127055212400501,1,0.793006084030323,1.25695946986467
0.000182258508549024,1,0.792004457360986,1.21844485293977
0.000261446683775594,1,0.77388339968358,1.17078943274712
0.000375040753934783,1,0.688890120872709,1.18043283331963
0.000537989486348578,1,0.651192190705919,1.47249747032734
0.000771736629646219,1,0.603817128866002,1.8462622699935
0.00110704287100476,1,0.566173561348217,2.30905667515636
0.00158803388508885,1,0.553709104475708,2.93091209959785
0.00227800719036431,1,0.59085565478511,3.49024156421842
0.00326776198422312,1,0.729863729146238,2.75073095071769
0.0046875481476536,1,0.719904444231201,1.29255044133629
0.00672420688613729,1,0.727293599443338,1.2700757826793
0.00964575868307804,1,0.73819641481855,1.24220406259391
0.0138366742944791,1,0.749369264300228,1.23353793920975
0.0198484703818451,1,0.755754951763602,1.22806485362953
0.0284722880740333,1,0.747305562101121,1.25503188041044
0.0408430056611436,1,0.73415722821845,1.27920127812312
0.0585885864563713,1,0.715757378176227,1.30573557484201
0.0840443157253079,1,0.714166871405063,1.39433193282124
0.12056011986217,1,0.709693555369736,1.52770264633952
0.172941410442158,1,0.712485040845318,1.75215127603617
0.248081467403285,1,0.669258163390412,2.03646429533536
0.355868581802455,1,0.631384315278243,2.40033291219167
0.510487336437021,1,0.81877710757483,1.15563386911568
0.732285270429473,1,0.795071874790788,1.23642495105366
1.05045057734576,1,0.776940797946708,1.36886135418588
1.50685321691489,1,0.660711432046631,1.32749845776496
2.16155492347296,1,0.607784289654127,1.46697636614315
3.10071321794452,1,0.513506856862739,1.74526288690489
4.44791957656499,1,0.37496811429371,2.40499409395416
6.38046383815689,1,0.905081631647067,1.12158943705613
9.15266521555844,1,0.894123867991562,1.11098306045042
13.1293402287023,1,0.858256122805045,1.11168285078194
18.8338118767848,1,0.787030075763236,1.20156001641645
27.0167779668531,1,0.671263601288545,2.02028256621646
38.7551015421336,1,0.890480982181593,1.12824705806819
55.5935240458296,1,0.902571050452696,1.10922351044652
79.747950407875,1,0.916550202206211,1.09241354760596
114.397057992117,1,0.93198264713277,1.0809388544401
164.100604596346,1,0.858484574948647,1.11870667932213
235.399484056154,1,0.757426158149022,1.41868006696321
337.676495648558,1,0.739364752493162,1.29009087535495
484.391102940098,1,0.640931865486145,1.47185860507141
694.850674036028,1,0.679045595128589,1.54459720917444
996.751295136877,1,0.861748410547984,1.10891595874573
1429.82252371756,1,0.860417496890197,1.11304082086924
2051.05572403526,1,0.860718901146282,1.12013198294911
2942.20402414699,1,0.844826857130651,1.1696452153562
4220.54087476266,1,0.959432215102723,1.03473569874802
6054.29301617067,1,0.93344961401321,1.09094150157753
8684.77880283868,1,0.902206371712587,1.08807677715428
12458.1652478298,1,0.908963786547628,1.07889155552327
17871.0229547244,1,0.915305714740064,1.07849704184775
25635.6738809449,1,0.848399313558452,1.21838659700978
36773.9315760001,1,0.801829535603828,1.145928764437
52751.5699347979,1,0.799590027294233,1.14720237968077
75671.2163026369,1,0.800308129896148,1.15123411476165
108549.05330397,1,0.793708885470132,1.15188983423349
155711.742838438,1,0.712041387623942,1.21862761415604
223365.806700198,1,0.538376181044068,1.42281848084716
320414.393245838,1,0.956814005541303,1.04489256142265
459628.91507784,1,0.861136891150472,1.12048094101926
659329.743072884,1,0.936050150481375,1.05107904827135
945797.132947857,1,0.932242674880182,1.06012354234909
1356729.65779355,1,0.669802844472248,1.38483886745718
1946205.26983358,1,0.861229595199985,1.11677184781979
2791797.85786357,1,0.587508364496284,1.80418003497543
4004785.82602855,1,0.947250783783144,1.07062557786008
5744796.12382558,1,0.925376420960098,1.06873054906301
8240810.85430961,1,0.528652971567395,1.97867078383858
11821300.8908807,1,0.949240828309966,1.09393553648905
16957452.0303007,1,0.920363163085515,1.06934257514209
24325172.1628858,1,0.916148365171472,1.07782572277364
34894039.487579,1,0.853411572954827,1.09662166131277
50054897.1907571,1,0.857325532267946,3.97204824395547
71802885.8100286,1,0.917902582496158,1.06294737788671
103000000.000001,1,0.992522564172222,3.66080610555508
