"w","ratio_median","ratio_mean","ratio_q25","ratio_q75","ratio_q05","ratio_q95"
3.16227766016838e-08,1.00086123214842,683313721.806295,1.00011722863555,1.00342171326672,0.994699797112937,1.02203325847173
4.53623270600988e-08,1.00097759833867,688661252.958019,1.00013013143158,1.00378761309513,0.993426720732394,1.02306039297197
6.50714749759769e-08,1.00112879933676,695132785.248063,1.00015367252181,1.004242906485,0.992419891130721,1.025238840265
9.33439073780173e-08,1.00131857295638,702727900.089796,1.00019470927364,1.00483360535592,0.991490323793041,1.02787543380697
1.33900223528244e-07,1.00153324654608,711398406.521329,1.00024333155922,1.00565365357247,0.989810178552372,1.03011489666675
1.92077558830971e-07,1.00180969310099,721049122.671069,1.00030689286774,1.0063643781658,0.988106936352916,1.03284377107236
2.75531941876727e-07,1.00205745649556,1.18935473582905,1.00037199639759,1.0072151976943,0.986748283559492,1.03414087317967
3.95245813495413e-07,1.00243434358061,1.18810802915803,1.00048390177709,1.00823618923804,0.985629441121449,1.03855405255821
5.66973295442978e-07,1.00279734345054,1.18725547326863,1.00058679944227,1.00927372756391,0.984243003967775,1.04174977241281
8.13313403379543e-07,1.00315210750753,1.0050168331949,1.00071631288706,1.01013169029403,0.984713711812053,1.04304560676174
1.16668403509199e-06,1.00339575177919,1.0054714396864,1.0007783782403,1.01088174273821,0.983977743992231,1.04557165362434
1.67358810525261e-06,1.00363127265166,1.00584481794399,1.00083245643487,1.01149651087705,0.983344738752086,1.04679763276192
2.40073324207457e-06,1.00375319040993,1.00611102864717,1.00086424990625,1.01199266482605,0.981199339065167,1.04882456986968
3.44381038650601e-06,1.00389551463652,1.00625215903127,1.00089467804917,1.01227755939679,0.980304151573171,1.05050336365203
4.94008654120945e-06,1.00390393258409,1.00625889413143,1.00090137517997,1.01235576404637,0.979323596377742,1.05161269851532
7.08646885155566e-06,1.00384613163331,1.00620734530924,1.00086988723476,1.01224359555795,0.980604600647633,1.0522399565358
1.01654172179288e-05,1.00370258689809,1.00595279220957,1.00083518524973,1.01191440062024,0.97998996073015,1.05277993801895
1.45821154906901e-05,1.00356042664416,1.0055812319023,1.00078466293784,1.01157555925144,0.979598337660142,1.05234357066519
2.0917792907584e-05,1.0033129835129,1.00511229247784,1.0007264719116,1.01102797312736,0.97906391609008,1.05007879898544
3.00062127750894e-05,1.00304613604491,1.00454071395137,1.00062710175942,1.01040666821895,0.978966667090509,1.04556370907626
4.30433941612213e-05,1.00276532582643,1.00384805768772,1.00053406035907,1.00977939023371,0.978716142447423,1.04140175803244
6.17450057694841e-05,1.00246855507849,1.00313526462228,1.00042172334286,1.00891882733246,0.977871218624848,1.03841594561765
8.85721447336123e-05,1.00218234910134,1.00246504121366,1.00032881411952,1.00821851437466,0.978105983899889,1.03495193187765
0.000127055212400501,1.00194986996951,1.00190994980684,1.00026015922336,1.00742993890619,0.978180908719738,1.03364894321514
0.000182258508549024,1.00179578833016,1.00155690169766,1.00019698482264,1.00698083219359,0.978226988128051,1.03267707596109
0.000261446683775594,1.00177017605541,1.00150540297054,1.00017617295246,1.00695423374426,0.978307945812977,1.03284674647444
0.000375040753934783,1.00188213097273,1.00186310798145,1.00021343643722,1.00708659827491,0.978097789737474,1.03446630192238
0.000537989486348578,1.00219423637799,1.00273656653037,1.00029628024211,1.00818968152241,0.980397568908841,1.03860304270114
0.000771736629646219,1.00269013497062,1.00420932458666,1.00049120968084,1.00956574602775,0.981332673087097,1.04356034139462
0.00110704287100476,1.00340493061625,1.00628240976724,1.00075718386115,1.01146066873954,0.983065094765541,1.05226172568014
0.00158803388508885,1.0040709970903,1.00868106917821,1.0010055658497,1.01333166397788,0.986368479689869,1.0615785837517
0.00227800719036431,1.00434225448369,1.01038799325932,1.00109971895879,1.01402065589889,0.989286709603114,1.07012421125417
0.00326776198422312,1.00355343502972,1.00932676171564,1.00080635155831,1.01084455660439,0.991525420314124,1.05948775413019
0.0046875481476536,1.00048107327351,1.00075166332863,0.999945438922748,1.00204119827955,0.990400739462946,1.01307544027314
0.00672420688613729,1.00112531879275,1.00285336469905,1.00010015482734,1.00360176055773,0.993227029652484,1.01954739383616
0.00964575868307804,1.00184757179994,1.00503439288992,1.00032453930537,1.00538395018058,0.996035144943501,1.0272561771046
0.0138366742944791,1.00258667388027,1.00737079164581,1.00055863742794,1.00738918798306,0.997710400525075,1.03698474048645
0.0198484703818451,1.00332930167352,1.00943483689264,1.00079686960059,1.00927172880225,0.99891069708377,1.04542234424335
0.0284722880740333,1.00390717565801,1.01113183514137,1.00090670381112,1.01096060475797,0.999251650954638,1.05299043400958
0.0408430056611436,1.00435282310893,1.01234459492474,1.00103764371999,1.01218515874559,0.999277962059665,1.0575734556708
0.0585885864563713,1.00452928487519,1.01291715277368,1.00105477254612,1.01260259963334,0.999254771697918,1.05937323321963
0.0840443157253079,1.00435876944363,1.01264577648449,1.00102747400632,1.01256116982664,0.998905689016642,1.05913402751976
0.12056011986217,1.00379220047674,1.01124297059947,1.00079382748834,1.01131417373509,0.998181155605269,1.05491099009641
0.172941410442158,1.00267988889764,1.00825721418891,1.00031530392349,1.00870473197996,0.995993173349636,1.04519821295269
0.248081467403285,1.00045586910017,1.00282902666096,0.999453924447706,1.00410586151159,0.98697273077534,1.02943798647558
0.355868581802455,0.998616827209675,0.993171056472931,0.993856712306026,1.00016928678885,0.957803765863657,1.0106104871158
0.510487336437021,0.996905309721209,0.987141639677113,0.987512561322742,0.999655448190085,0.924878665149532,1.00383471183044
