"year","median","mean","q25","q75","relative","relative_q25","relative_q75"
1888,32974049676898.4,38286198685047.9,18653150115622.9,50474326160426.9,0.996764961516234,0.563861783412715,1.52577679313996
1889,33153516422018.3,38332074388980.7,18920816888683.5,50487955512965.5,1.00219002046549,0.571953020714873,1.52618879170221
1890,32834649136299.9,37876061640799,18807617790045.6,50006889305107.9,0.992551054645634,0.568531151205271,1.51164675198127
1891,33112726674822.9,37985894931717.9,19053405362460.8,50019684482377.5,1.0009569965818,0.575961007184753,1.51203353445123
1892,33558313464222.2,38399702424336.2,19522564930998.4,50423138336891.6,1.01442653712474,0.590143123844993,1.52422944819882
1893,33430805089669.7,38129278569292.4,19592572008335.9,50181737129211.3,1.01057211580558,0.592259351679665,1.51693218662977
1894,32999405646165.8,37610478611023.8,19240553543149.2,49619886189255.5,0.997531441277703,0.581618266482581,1.49994812382794
1895,32974866474995.4,37780454455493.9,19058063720078.7,49707847539288.7,0.996789652317992,0.576101823605458,1.50260708724129
1896,32838636130838.2,37766414228871.1,18923158352378.4,49708550729299.6,0.992671576586265,0.572023800282216,1.50262834381035
1897,32610456448565.4,37618049506889.3,18645548504617.3,49630376117251.5,0.985773985466942,0.56363199606249,1.50026522144797
1898,32501988988664.5,37698250877772.1,18507157409783.3,49790810762115.8,0.982495147576139,0.559448603495667,1.50511496341722
1899,32493946768175.2,37758729164543.1,18377959355146.4,49897952368670.2,0.982252041143198,0.555543105225965,1.50835372239224
1900,33622136722730.3,39035984669731.9,19321281894637.1,51259472661158.8,1.0163558357227,0.584058585246959,1.54951080607604
1901,33262149369492.9,38563080275598.5,19043201912947.9,50960844424794.7,1.00547386084209,0.57565256945688,1.54048364182283
1902,33827997039442.8,38904698099538.7,19692568798358.8,51258422761767.2,1.0225787398754,0.59528213163953,1.54947906890888
1903,34130132136385,39011885158435.3,20127836725569,51319644701250.4,1.03171191221022,0.608439745671359,1.55132973283251
1904,33448667150353.3,38305228542170.3,19817258081525.6,50615446280638.2,1.01111206392855,0.599051335293772,1.53004268078706
1905,32584280966677.1,37334567081405.9,18889650974536.5,49133970718576.3,0.984982732846998,0.571010913466301,1.48525949685681
1906,32781808154589,37782644561197.8,18950256336045.6,49793506906983,0.99095373676634,0.572842938996203,1.50519646456012
1907,32461119255803.3,37631703342569.2,18359013928362.6,49553177146337.3,0.981259705824163,0.554970408278395,1.49793159151697
1908,32942866925050.5,38344512213062.3,18886211691980.3,50439924344085.9,0.995822345284676,0.570906948185169,1.52473686854843
1909,33121110088903.2,38402383026799.2,19210392911102.5,50448515373470.7,1.00121041687731,0.580706547675339,1.52499656479921
1910,32866235274875.6,37960274604662.9,19100165999362.7,50034450392140,0.993505864761779,0.577374523719684,1.51247988974033
1911,33088833376809.1,38088714933125.8,19247395459901.2,50050826881651.5,1.00023473157315,0.581825089209993,1.51297493087411
1912,33554909802581.9,38530189179997.5,19789835009678.6,50485679985485.8,1.01432364862008,0.598222369563992,1.52612000530555
1913,33431363129840.1,38294077828182.4,19839483123322.2,50339924972738.3,1.0105889846735,0.59972317096904,1.5217140105583
