"year","median","mean","q25","q75"
1841,11.4598890777292,30.9328501833139,3.29452450844441,34.6546112484635
1842,12.1399096087936,31.8547756940942,3.48903663934207,36.0980878079182
1843,12.2591064192625,31.9647028734844,3.57833506447081,36.3841115513221
1844,12.0400900581348,31.425491906504,3.50762661847703,35.6597693130406
1845,11.5921041071223,30.7113728500272,3.35005365127524,34.6948442087374
1846,11.6847810935738,31.0300788102105,3.35836921115146,35.0245731912312
1847,11.3651363852271,30.9191410451959,3.28697404112161,34.7565249720969
1848,11.7033416452948,31.5413761327703,3.37058674356102,35.5151482556152
1849,11.8112556541795,31.61694253189,3.41337145573676,35.7761605385241
1850,11.7363967745441,31.3294715492244,3.38343999025361,35.3601354204253
1851,11.8579761260058,31.4072774333165,3.41107992791143,35.6532231613165
1852,12.0982834302479,31.7317803030602,3.51324693056464,36.1421654506798
1853,12.1527844796711,31.5649931174475,3.54585047474465,36.0197030344853
1854,11.984808561832,31.1804739691109,3.48379495704214,35.4759766562624
1855,11.9360182158752,31.3040343501759,3.45553789148013,35.594632009972
1856,11.8721990673316,31.316752841694,3.44106746036556,35.6430411623164
1857,11.7007510894002,31.2403621542795,3.38916685598554,35.5122954787376
1858,11.7017984973872,31.3449863145138,3.38709597821297,35.5871312277337
1859,11.6627636997453,31.4126807653191,3.38565615048954,35.3531898000119
1860,12.1954827032253,32.4197400095368,3.56230136627981,36.7881190668993
1861,12.0502115596828,32.1239434450557,3.49783402701755,36.3983705003291
1862,12.3682369037834,32.461113147302,3.59032362494555,36.8941332573824
1863,12.596668367136,32.5287484283848,3.67585666763547,37.2511629451545
1864,12.3373191564819,32.0018648853521,3.66823739813849,36.6659279568482
1865,11.872164591947,31.2552392087247,3.50830668327887,35.6515157458912
1866,11.9684161570896,31.5612465468753,3.53463625955541,35.9903939929963
1867,11.7426976102557,31.4367265781362,3.44200178254627,35.6058131538487
1868,11.9894334824104,32.0588150758857,3.55443024842622,36.3938013610749
1869,12.0922566716412,32.1274207183919,3.58902113890017,36.7818357526143
1870,11.9939527823103,31.8284583053679,3.58254658557881,36.3371545863833
1871,12.1340698987365,31.9040193635397,3.63603979911836,36.4992137285587
1872,12.3782551904841,32.2309548772919,3.6993416038328,36.9830380460746
1873,12.4632756188895,32.0581620014858,3.67314167095865,36.983952651816
1874,12.2294807475123,31.6660087441302,3.64352916242026,36.323955852883
1875,12.1853533419492,31.7921755383073,3.68992221300816,36.4356316503822
1876,12.1446239746926,31.8048820725046,3.66396145207508,36.4567170050402
1877,12.0327034940981,31.7273421196756,3.56314646622249,36.2762192118054
1878,12.0044705322452,31.833960121813,3.56159412671371,36.1885582532336
