"year","median","mean","q25","q75","q05","q95","relative","relative_q25","relative_q75"
1878,2121549101634.69,8351319923947.59,970696673906.567,7802220895106.75,289710839023.1,34560096551747,0.961625402855328,0.439983491014417,3.53647898398498
1879,2118948568283.05,8331938429258.6,969585029721.669,7783548082118.49,289606600274.756,34450330798445,0.960446670329186,0.439479620853547,3.52801523864982
1880,2116353628233.39,8312614273496.59,968477760221.969,7768567817716.14,289517496247.698,34340801097152.9,0.959270473054883,0.438977733587352,3.52122519887196
1881,2113245172768.29,8293343550660.91,967379362150.545,7754304405794.66,289421389615.867,34231623992668.8,0.957861516865001,0.438479867435154,3.51476008372354
1882,2109353306136.82,8274126820932.65,966318801363.198,7744682721085.65,289339949798.611,34122797640420.4,0.95609746727762,0.437999151625372,3.51039890423101
1883,2102755305792.69,8254965279216.92,965260475795.918,7735073620514.79,289259179436.131,34014321724179,0.953106820144319,0.437519448964141,3.50604342869645
1884,2093275988600.32,8235860366783.31,964262640369.382,7725477274643.27,289177171146.31,33931024833847.6,0.948810170961474,0.437067164407876,3.50169373442941
1885,2086671334655.3,8216806053271.43,963129481634.749,7715890713376.02,289084227793.147,33852335647754.9,0.945816507979219,0.436553542439923,3.4973484751877
1886,2082716286044.44,8197806203588.57,961940609676.051,7706318866126.9,289004401891.051,33767503505605.8,0.944023820168786,0.436014667579405,3.49300988530547
1887,2079140256798.98,8178861665713.37,960820408857.601,7696758016503.39,288915529105.393,33678743267244.8,0.942402928829937,0.435506918990182,3.48867628026952
1888,2075122319046.78,8159965921844.66,959770782485.517,7687209822165.88,288835280549.047,33605620723459.2,0.940581735529897,0.435031159375604,3.48434841144043
1889,2069506828540.31,8141122933191.55,958802503198.026,7666247702172.01,288758751181.921,33532226009461.2,0.938036426389345,0.434592271602895,3.47484700180147
1890,2063143907065.49,8122329928579.47,957817598300.317,7643804156014.69,288677090831.205,33452790936198.2,0.93515233244033,0.434145848011612,3.46467411252052
1891,2058918742169.67,8103591587825.09,956636077491.42,7621427136253.21,288596288852.913,33396428005690.4,0.933237210187471,0.43361030517503,3.45453137737182
1892,2054946898204.91,8084905547405.21,955457503942.719,7599118292379.97,288516630887.992,33353925346681.2,0.931436909619482,0.433076098230355,3.44441954401368
1893,2050983208041.25,8066270631612.19,954313042281.671,7576877424741.75,288436305856.011,33311474957808.1,0.929640304889719,0.432557353033738,3.43433852195014
1894,2047039916209.39,8047690997779.72,953197951903.118,7558329813385.18,288353495964.058,33269091372246.3,0.927852946023755,0.432051920831547,3.4259315262181
1895,2043112449406,8029164661884.39,952120693762.077,7544445041161.11,288268082371.268,33226768747771.7,0.926072760100129,0.431563636684336,3.4196380354508
1896,2039185047523.32,8010687655425,951095494575.985,7530593090175.46,288188564730.674,33184488572250,0.924292603602833,0.431098949074904,3.41335942142454
1897,2035280426042.29,7992263588711.6,950196109471.686,7516773791978.99,288095820819.001,33123718348538.5,0.922522772679855,0.430691288671203,3.40709560778708
1898,2031375563808.04,7973885295063.38,949288663986.14,7502986197368.45,287996075871.748,33055987882336.8,0.9207528326317,0.43027997477329,3.40084616429716
1899,2027485798896.53,7955560025337.7,948359439150.615,7493583554055.29,287895992361.917,32949109437642.1,0.918989735681855,0.42985878904343,3.39658426875255
1900,2023603713172.53,7937288877420.36,947410424861.229,7484283269748.27,287811107652.958,32839572831054.1,0.917230119444176,0.429428633433247,3.39236876903279
1901,2019734363853.22,7919068007358,946514239757.222,7474996389006.54,287719183160.685,32730393852864.1,0.915476276181677,0.429022423479865,3.3881593446892
1902,2015865192091.57,7900897881966.69,945611471926.411,7465716024766.74,287641976057.244,32621575152513,0.913722513399968,0.428613229802321,3.38395287405231
1903,2012824338843.52,7882779815170.86,944712451502.802,7456449482936.44,287565417775.083,32513112461413.3,0.912344198975179,0.428205734695862,3.37975266863931
1904,2009946224579.28,7864715299846.64,943822092029.651,7447200026168.94,287487600172.19,32405003982300.4,0.911039648547058,0.427802165301029,3.37556020729897
1905,2007073079195.7,7846698256827.41,942932346582.879,7437961691204.09,287398795845.214,32297248191565.5,0.909737350342028,0.427398874223282,3.3713727870901
1906,2002921925208.79,7828732508411.04,941927375447.869,7428732232398.5,287323169039.179,32189847232166.5,0.907855774694356,0.426943355295242,3.36718939013962
1907,1997722263716.44,7810819059003.63,940971810003.494,7415600358421.02,287238469540.101,32082795467395.1,0.905498946575957,0.426510230271318,3.36123716231039
1908,1992479978774.72,7792951174679.82,940031423402.512,7402474280204.52,287162431240.65,31976096745113.7,0.903122798710664,0.426083985296213,3.35528756150071
1909,1987091435419.82,7775132940571.56,939091468113.068,7389375300262.89,287090115405.691,31877488413661.8,0.900680356925808,0.425657935819828,3.34935024340911
1910,1982200314471.63,7757361594474.71,938116472555.574,7376302628551.47,287012636272.497,31779038926044.8,0.898463379647936,0.425216003792408,3.34342484993544
1911,1977059110177.15,7739641887688.2,937094336618.322,7363261672339.44,286935994365.506,31674124167173.1,0.896133048171264,0.424752704648553,3.33751383200927
1912,1971933723508.67,7721971424210.54,936074026284.796,7350248611510.97,286860479603.052,31569552282780.2,0.893809886281648,0.424290232988218,3.33161545810319
1913,1966823292095.28,7704349029150.87,935055210498.209,7335752605845.49,286784270971.338,31474440498324.8,0.891493503095948,0.423828438754723,3.32504491619251
1914,1961732592380.27,7686778963328.88,934036599415.232,7315076739208.17,286705540218.094,31399312723717.2,0.889186063611993,0.423366737306349,3.31567325537675
1915,1957772916297.67,7669259221049,933081428271.016,7294462454751.51,286517637077.599,31317123405558.4,0.88739127832742,0.422933791005156,3.30632950765018
1916,1954465274379.47,7651785721091.46,932160123427.693,7273844352868.67,286260032239.334,31201238572180.3,0.885892037753806,0.422516195135972,3.29698402961532
1917,1951960011442.92,7634362269724.87,931243532020.152,7249304705131.01,286000802451.456,31085765300306.6,0.884756488037441,0.422100735705478,3.28586104941964
1918,1949197879967.3,7616981533624.36,930322427301.427,7224842169819.35,285735508343.415,30970702407004.5,0.883504508627236,0.421683230545907,3.2747730216404
1919,1945511339065.63,7599650883948.76,928451574039.979,7200457307731.55,285473777054.412,30856049059284.8,0.881833526147039,0.420835236964313,3.26372020046804
1920,1941830939363.23,7582371360693.5,927297208864.255,7176152775449.12,285222299437.036,30745179984011.8,0.88016532726172,0.420312002844352,3.25270379003978
1921,1938166909162.55,7565139186806.57,926381003938.101,7161268543546.33,284985823906.876,30643641777521.5,0.878504548109784,0.419896718592608,3.24595727849844
1922,1934497771445.73,7547954731965.94,925381353055.28,7148327190529.3,284772221065.75,30542435716216.3,0.876841453896058,0.41944361115231,3.24009140728249
1923,1930845601418.55,7530819431538.22,924383248013.447,7135415660292.82,284560935656.71,30441560424598,0.875186050553765,0.418991204388684,3.23423905370955
1924,1927218526987.77,7513734830453.58,923385836694.954,7112048277018.21,284351644991.873,30341014753538.9,0.873542022184121,0.418539112066042,3.22364742076652
1925,1923604344269.41,7496694803777.99,922386320134.807,7087255759843.9,284136096983.536,30240797406728.5,0.87190383718531,0.418086065509602,3.21240982353289
1926,1919992074778.12,7479703124921.65,921392646635.11,7062827596619.64,283930537371.533,30140907709913.5,0.870266519386675,0.41763566741195,3.20133737544133
1927,1916411312649.43,7462760960860.26,920451169479.068,7038246788891.92,283722296935.697,30041343879214.9,0.868643482794273,0.417208928125661,3.19019573883463
1928,1912815340732.85,7445861356516.14,919566115860.596,7013753480870.62,283519040785.118,29942105530403.5,0.867013552126976,0.416807763692674,3.17909376284214
1929,1909227183723.84,7429008523155.31,918700189275.367,6989341709935.61,283319814265.753,29843191404155.3,0.865387163689092,0.416415268887476,3.16802874481276
1930,1906495362185.33,7412199710283.68,917832407371.046,6969641865081.5,283118068523.028,29744600329211.7,0.864148922733237,0.416021933129802,3.15909948117733
1931,1865361139033.2,7296969765129.34,897869500298.701,6905497079640.36,280335543462.906,29486672099657.9,0.84550419097599,0.40697343241831,3.13002485118485
1932,1692082705224.88,6920993051107.57,840139858306.877,6557586195358.07,260829522577.229,28017597071983.1,0.766963023303427,0.38080656680379,2.97232878655079
1933,1607679629356.04,6715465295168.76,791094929000.128,6197002043079.63,246787558840.488,27294426944874.9,0.728706005461105,0.358576183417294,2.80888836444091
1934,1433267814668.67,6406996903239.16,698771876694.797,5525387055183.49,214149069172.607,25932502786699.2,0.649651115130149,0.316729312045078,2.50446833814896
1935,1327745266092.79,6208691532697.78,643825935666.196,5151367883893.28,203715295472.158,25675186583440.4,0.601821365063833,0.291824202549294,2.33493828296879
1936,1251129994601.35,6073139720160.37,603765274126.18,4970161248542.28,187073176994.602,25290945675933.2,0.567094291692748,0.273666079429549,2.25280353360796
1937,1194803320060.78,5960305856971.87,570805834092.317,4797829071900.73,160967952617.216,25126087431478,0.541563343078437,0.258726696326877,2.17469127183651
1938,1160280909178.04,5854877752898.93,542883735311.955,4672262760170.26,138452164341.437,24780392924476.2,0.525915518926228,0.246070567148654,2.11777637177135
1939,1140734631435.38,5797275109828.71,528098318309.171,4608256670644.9,130654710937.523,24516313871598.4,0.51705586199247,0.239368845010462,2.08876460787789
1940,1064042989095.61,5668896489154.5,504694825980.155,4171740661403.39,108544297872.526,24092236808862.4,0.482294172336645,0.228760845072223,1.89090688074999
1941,1023123866791.75,5597492827962.64,489694884751.572,4130144496763.7,99423584104.2855,23890237547874.4,0.463746938412333,0.221961886464276,1.87205276676882
1942,1022076095177.31,5583449202001.86,489357517349.421,4116169987526.12,99557455282.9529,23841851619434,0.463272019495741,0.221808969398272,1.86571860129278
1943,1020533337883.02,5569450334138.63,489023812842.877,4100995748116.57,99693897791.7887,23793587537563.2,0.462572740556837,0.221657712597148,1.85884063930076
1944,1017849033568.08,5555497578041.61,488695773802.316,4085774244538.03,99832842606.0638,23745446659819.9,0.461356037527786,0.221509023757334,1.85194125408291
1945,1015182752212.36,5541584545004.84,488335991324.118,4075721876563.02,99968854002.5676,23697419304291.8,0.460147503687658,0.221345946706574,1.8473848606456
1946,1014145519515.61,5527714674270.26,487969029102.495,4070415352627.94,100108889799.46,23649515156509.4,0.459677361700793,0.221179615324506,1.8449795954491
1947,1012303710812.47,5509982931124.48,485958667325.439,4046790473419.57,99564785700.5802,23590411430275.3,0.458842533020764,0.220268387320281,1.83427124843575
1948,964478904400.759,5427697931169.37,461748684235.927,4018495927323.45,90241046156.6376,23486102799368.7,0.437165189471796,0.209294832796545,1.82144630167052
1949,908922104990.737,5317800308859.67,421390189517.962,3846285116206.69,77684459573.4774,23358485461707.5,0.411983198834459,0.191001712117935,1.74338905072657
1950,896654257726.264,5295423119169.63,415925608987.181,3835327790983.18,77271345705.4501,23306679122677.5,0.406422604663541,0.188524805290609,1.73842247122381
1951,883861749345.199,5256528495118.78,407979378143.801,3797872993387.15,76219645450.9306,23183519258346.8,0.400624199613197,0.184923051539042,1.72144549680479
1952,862449835998.919,5208313677601.2,393543973170.834,3655369764458.08,72722900079.3383,22930225011752.5,0.390918914083083,0.17837997784265,1.65685367339542
1953,850206708479.867,5153485608330.84,377539681034.287,3553497464376.25,67484205575.9831,22744983614521.7,0.38536952452446,0.171125781434298,1.61067845570637
1954,840067056420.264,5106475667978.23,362031220216.369,3461372029125.33,64500975281.0943,22670928077160.2,0.380773568206921,0.164096328347303,1.56892115736332
1955,824521009197.957,5065079394185.45,348913044471.346,3383704690286.72,60867963464.2544,22607039346875.6,0.373727078492664,0.15815030945676,1.53371721796742
1956,820956489763.156,5034022667220.28,342040232516.849,3337469571737.56,58014059354.712,22555321915273.5,0.372111404156003,0.155035099651152,1.51276042537344
1957,809601590914.353,4991974430674.83,333072421630.361,3313923183026.19,55511381372.9661,22503726780563.8,0.36696461817238,0.150970298723469,1.50208765540884
1958,805417527873.251,4973300816272.32,328758900444.299,3305295895339.34,54996631468.2862,22471716938086,0.365068125979779,0.149015127596354,1.49817720196186
1959,801417758415.468,4938373669849.71,319445168874.939,3285109130529.81,53103160265.0936,22426066237112.3,0.363255167744117,0.144793532694039,1.4890272342202
1960,792255211959.412,4899148182138.16,311432578210.517,3245289045294.07,51271027460.4905,22374929726280.4,0.359102099865463,0.141161700312855,1.47097815608336
1961,787399854527.359,4869354753502.74,306399805847.095,3209943026599.02,49514011285.2763,22331004666554.2,0.356901332962163,0.138880517309489,1.45495701877347
1962,784853787999.577,4854179877359.04,306038792262.094,3199923014905.62,49480592966.5361,22300463281767,0.355747288378142,0.138716882240263,1.45041529132825
1963,780747164714.538,4835811611239.93,304551831398.348,3182600667942.19,49119477841.9263,22267136253788.1,0.353885896969474,0.138042893908563,1.44256366589838
1964,776233857926.035,4817621372818.35,302938263857.951,3166269155762.47,48839912742.1129,22235062455584.6,0.351840169884789,0.137311519115082,1.43516115187362
1965,772543064168.358,4767593157945.96,299314045915.132,3137206317439.87,48726518149.3542,22130050794282.6,0.350167259730907,0.135668785493402,1.42198796460751
1966,769083577305.077,4730315377547.91,298831471776.828,3132000964523.58,48799171413.2139,22074278833283.3,0.348599193054528,0.135450051196941,1.41962855676195
1967,767401671217.824,4716795858163.81,298269202568.939,3125808389903.98,48983960493.1035,21998669814407,0.347836842742922,0.135195193860322,1.41682167519664
1968,760932509686.654,4667291060125.82,294927181201.257,3107630234994.42,48728577601.5282,21557942473895,0.344904593822191,0.13368037026205,1.40858214139344
1969,758499494243.533,4653346569866.16,294393587015.005,3102612121438.97,48809349609.5151,21483949714802.8,0.343801791415288,0.133438510328702,1.40630760272468
1970,756940640892.22,4640328881912.05,293980902268.634,3095873044498.62,48929787137.4194,21410340741209.9,0.343095216686099,0.133251454495219,1.40325301041162
1971,755141505058.807,4605114217213.49,293179006224.153,3091410906073.29,48942201727.1181,21351140086728.6,0.342279730153516,0.132887982536815,1.40123047619002
1972,754108106066.26,4593301680161.75,293130639160.385,3085202231446.45,49119275761.7184,21324038645617.9,0.341811325853209,0.132866059406615,1.39841629704393
1973,744021329668.038,3957071771536.31,283555199051.384,2846061183433.38,45941766692.5437,18126590294241,0.337239336258446,0.128525841004297,1.29002186655084
1974,729446902391.995,3370894086782.85,275599071310.181,2490151779445.06,43123179518.4209,15260579028262.2,0.33063324852288,0.124919601328578,1.12870034741817
1975,716768211241.527,3156980941087.76,271705585881.701,2385368796698.31,40980059958.1034,14352096752709,0.324886432917315,0.123154817996064,1.08120581716261
1976,699987589648.675,3048957805801.92,266713394876.026,2318904629504.72,40691446836.8143,13553224807609.7,0.317280353007613,0.12089202912954,1.05107989101566
1977,695120474347.809,2972730460564.1,265002934931.063,2220027914146.45,40809568660.0392,13280212733019.1,0.315074256665873,0.120116736334113,1.00626246908272
1978,687311281108.756,2866334027078.31,260966258933.322,2079076793392.16,40422979076.3186,12940835722677.3,0.311534617357646,0.118287049630405,0.94237416304549
1979,678173593250.29,2745105197715.71,256843410419.788,1938450321636.91,38685351747.8875,12549816253712.5,0.307392817028211,0.116418303882459,0.878633009258587
1980,672164004300.348,2684574395154.77,254981004288.418,1881326551479.76,38712493195.4067,12532894510921,0.304668876587459,0.11557413909505,0.852740764555101
1981,664836450540.577,2604386891082.07,250007621082.554,1801334181622.65,36090286808.925,12221385711951.6,0.301347547926833,0.113319875158756,0.816482968386289
1982,655950032120.658,2559841903554.47,246877688369.189,1788486841473.33,36238841553.1628,12111550855980.6,0.297319639411112,0.111901184069268,0.810659709977051
1983,650160798770.711,2546656236153.53,246944407014.16,1779594918138.33,35959062049.079,12023327305923.9,0.294695578601925,0.111931425341459,0.806629306272235
1984,648445765772.549,2532342499538.1,247005008994.209,1770423992492.62,36202583727.0741,11968730250798.4,0.293918212998415,0.111958894139345,0.802472440394455
1985,646749230927.584,2517858882173.29,245707339208.975,1767223342248.97,36591185962.8297,11914653159005.1,0.293149231972951,0.111370704957658,0.801021695475297
1986,645281198228.048,2505789307914.71,245429646697.207,1749567810494.84,36112346861.8382,11884332541976,0.292483823128532,0.11124483647161,0.793019048813661
1987,642984297131.292,2496799252942.33,245439340410.522,1731801471863.01,36426066190.4589,11869543424289.5,0.291442716683819,0.111249230299198,0.784966177196908
