"w","dw","n","n_density","biomass","biomass_density","period","scenario"
3.16227766016838e-08,1.37395504584151e-08,574585959789.093,41819851495736262656,18170.0034448745,1322459821365.26,"pre_whaling","unfished"
4.53623270600988e-08,1.97091479158781e-08,397451507631.694,20165839199547478016,18029.3252797183,914769393211.234,"pre_whaling","unfished"
6.50714749759769e-08,2.82724324020403e-08,270367482809.824,9562936749308919808,17593.2108919773,622274399379.505,"pre_whaling","unfished"
9.33439073780173e-08,4.0556316150227e-08,180912579630.368,4460774468771752448,16887.0870765353,416386118847.255,"pre_whaling","unfished"
1.33900223528244e-07,5.81773353027263e-08,119176754533.391,2048508305051332352,15957.7940713917,274295719945.838,"pre_whaling","unfished"
1.92077558830971e-07,8.34543830457565e-08,77400936192.0662,927464003294214656,14866.9828750038,178145021656.352,"pre_whaling","unfished"
2.75531941876727e-07,1.19713871618686e-07,49659697648.6006,414819911653823168,13682.8329261301,114296135787.11,"pre_whaling","unfished"
3.95245813495413e-07,1.71727481947565e-07,31547501449.4223,183706772449240064,12469.0178741247,72609332721.3167,"pre_whaling","unfished"
5.66973295442978e-07,2.46340107936565e-07,19896647478.3901,80769013397987296,11280.86778909,45793873695.9349,"pre_whaling","unfished"
8.13313403379543e-07,3.53370631712445e-07,12490852178.3372,35347737070865740,10158.9774962742,28748788338.8711,"pre_whaling","unfished"
1.16668403509199e-06,5.06904070160624e-07,7824329012.76348,15435522169479064,9128.5197444982,18008377288.4397,"pre_whaling","unfished"
1.67358810525261e-06,7.27145136821956e-07,4899862683.09818,6738493369443974,8200.35190380426,11277462350.425,"pre_whaling","unfished"
2.40073324207457e-06,1.04307714443145e-06,3071346079.27545,2944505203351529,7373.48263043195,7068971523.14755,"pre_whaling","unfished"
3.44381038650601e-06,1.49627615470344e-06,1927538417.76678,1288223709044418,6638.0768234946,4436398189.35046,"pre_whaling","unfished"
4.94008654120945e-06,2.14638231034622e-06,1210188456.32457,563827073346206,5978.43570541606,2785354536.6071,"pre_whaling","unfished"
7.08646885155566e-06,3.07894836637309e-06,758820695.787624,246454505075540,5377.35922461479,1746492173.54338,"pre_whaling","unfished"
1.01654172179288e-05,4.4166982727613e-06,473419169.86397,107188478955795,4812.50338063274,1089615609.54083,"pre_whaling","unfished"
1.45821154906901e-05,6.33567741689399e-06,292712184.22509,46200613598883.2,4268.3628759024,673702683.23966,"pre_whaling","unfished"
2.0917792907584e-05,9.08841986750539e-06,178813141.672384,19674832839942.8,3740.37626665741,411554078.837258,"pre_whaling","unfished"
3.00062127750894e-05,1.30371813861319e-05,113346531.082556,8694097882470.7,3401.10012898146,260876950.94887,"pre_whaling","unfished"
4.30433941612213e-05,1.87016116082627e-05,73318670.9811614,3920446671492.63,3155.88445441903,168749331.369105,"pre_whaling","unfished"
6.17450057694841e-05,2.68271389641283e-05,39678105.894703,1479028604122.05,2449.92487739063,91322629.6947481,"pre_whaling","unfished"
8.85721447336123e-05,3.84830676668889e-05,20068784.203299,521496476762.593,1777.53525908223,46190061.4178853,"pre_whaling","unfished"
0.000127055212400501,5.52032961485229e-05,9519333.74959813,172441401397.24,1209.48097146645,21909578.8811664,"pre_whaling","unfished"
