"w","n_unfished","n_density_unfished","biomass_unfished","biomass_density_unfished","n_mean","n_median","n_q05","n_q95","n_density_mean","biomass_mean","biomass_median","biomass_q05","biomass_q95","biomass_density_mean","period","n_ratio","n_ratio_median","biomass_ratio","biomass_ratio_median","n_diff","biomass_diff","log_n_ratio","log_biomass_ratio","period_label"
1.16668403509199e-06,7824329012.76348,15435522169479064,9128.5197444982,18008377288.4397,4950127998.81388,4580333231.81213,2702789855.23163,7545388638.37728,9765413793669734,5775.23530787801,5343.80165695651,3153.30177430733,8803.08446295925,11393152369.1416,"pre_whaling",0.632658467037744,0.585396297157295,0.632658467037744,0.585396297157295,-2874201013.94959,-3353.28443662019,-0.198830675305951,-0.198830675305951,"Pre-Whaling (1841-1860)"
1.67358810525261e-06,4899862683.09818,6738493369443974,8200.35190380426,11277462350.425,2982174704.73543,2749179662.93699,1623005495.65835,4621526884.97452,4101209722407355,4990.93211363044,4600.99438309373,2716.24269229343,7734.53242279851,6863735808.56731,"pre_whaling",0.608624138595207,0.561072797492906,0.608624138595207,0.561072797492906,-1917687978.36275,-3209.41979017382,-0.215650827116187,-0.215650827116187,"Pre-Whaling (1841-1860)"
2.40073324207457e-06,3071346079.27545,2944505203351529,7373.48263043195,7068971523.14755,1798227190.22424,1648247114.0562,957742583.396043,2833749754.16155,1723963754573883,4317.06379237368,3957.00163786819,2299.28445730925,6803.07723453626,4138777093.7372,"pre_whaling",0.585485042652196,0.536653008652491,0.585485042652196,0.536653008652491,-1273118889.05121,-3056.41883805827,-0.232484195342412,-0.232484195342411,"Pre-Whaling (1841-1860)"
3.44381038650601e-06,1927538417.76678,1288223709044418,6638.0768234946,4436398189.35046,1088219435.73254,990335427.490448,573777159.806236,1748404664.77203,727285155425221,3747.62139557343,3410.52743131648,1975.97974248063,6021.17414435749,2504632172.20501,"pre_whaling",0.564564330185095,0.513782458685227,0.564564330185095,0.513782458685227,-839318982.034239,-2890.45542792117,-0.248286564540409,-0.248286564540409,"Pre-Whaling (1841-1860)"
4.94008654120945e-06,1210188456.32457,563827073346206,5978.43570541606,2785354536.6071,662238122.993618,598015191.196508,342612929.162537,1079696801.32783,308536890097085,3271.51363847658,2954.24679746866,1692.53752020019,5333.79563682648,1524198938.23523,"pre_whaling",0.547219005050569,0.494150467285667,0.547219005050569,0.494150467285667,-547950333.330956,-2706.92206693949,-0.261838827871893,-0.261838827871893,"Pre-Whaling (1841-1860)"
7.08646885155566e-06,758820695.787624,246454505075540,5377.35922461479,1746492173.54338,406456494.670611,363907003.170262,212208103.520117,672432863.943364,132011468301888,2880.34128899578,2578.81564282903,1503.80611564301,4765.17454509702,935495158.169455,"pre_whaling",0.535642342027488,0.479569159342105,0.535642342027488,0.479569159342105,-352364201.117013,-2497.01793561901,-0.271125099729374,-0.271125099729374,"Pre-Whaling (1841-1860)"
1.01654172179288e-05,473419169.86397,107188478955795,4812.50338063274,1089615609.54083,250701904.772326,225523637.658538,132099019.333736,420373217.196906,56762289223707.4,2548.48945934014,2292.54186930403,1342.84164560667,4273.26914004953,577012352.203727,"pre_whaling",0.529555879294793,0.476372001842128,0.529555879294793,0.476372001842128,-222717265.091644,-2264.0139212926,-0.27608820592677,-0.27608820592677,"Pre-Whaling (1841-1860)"
1.45821154906901e-05,292712184.22509,46200613598883.2,4268.3628759024,673702683.23966,155460740.973935,140046790.572575,80961964.9747032,263385846.476519,24537351058846.7,2266.94647915017,2042.17847422977,1180.59672361433,3840.72283193377,357806486.975708,"pre_whaling",0.531104440990365,0.478445374398496,0.531104440990365,0.478445374398496,-137251443.251155,-2001.41639675223,-0.274820067081059,-0.274820067081059,"Pre-Whaling (1841-1860)"
2.0917792907584e-05,178813141.672384,19674832839942.8,3740.37626665741,411554078.837258,96893560.8023923,87425623.8863039,49943111.2732573,164567199.773592,10661210883183.8,2026.79943894284,1828.75109527004,1044.69965877442,3442.382604245,223009001.39852,"pre_whaling",0.541870468222731,0.488921692604018,0.541870468222731,0.488921692604018,-81919580.8699916,-1713.57682771457,-0.266104517261082,-0.266104517261082,"Pre-Whaling (1841-1860)"
3.00062127750894e-05,113346531.082556,8694097882470.7,3401.10012898146,260876950.94887,64035309.821294,58690888.3429026,32513509.3325608,107416865.411982,4911744948905.18,1921.45713161652,1761.09128357615,975.607279097674,3223.17331918508,147382864.03382,"pre_whaling",0.564951650568414,0.517800481252973,0.564951650568414,0.517800481252973,-49311221.2612619,-1479.64299736494,-0.247988718180263,-0.247988718180263,"Pre-Whaling (1841-1860)"
4.30433941612213e-05,73318670.9811614,3920446671492.63,3155.88445441903,168749331.369105,44543101.1606993,41562271.5997936,23273140.7286044,72723247.3801422,2381778752212.95,1917.28626042314,1788.98123870565,1001.75496975089,3130.25540166747,102519841.636324,"pre_whaling",0.607527394654279,0.566871590054771,0.607527394654279,0.566871590054771,-28775569.8204621,-1238.5981939959,-0.216434134060605,-0.216434134060605,"Pre-Whaling (1841-1860)"
6.17450057694841e-05,39678105.894703,1479028604122.05,2449.92487739063,91322629.6947481,26752258.4075975,25478156.8806281,14501004.8147683,41995565.2827151,997208775910.436,1651.81834972384,1573.1489435902,895.364625951184,2593.01642067399,61572661.62197,"pre_whaling",0.674232244820157,0.642121298537829,0.674232244820157,0.642121298537829,-12925847.4871055,-798.106527666798,-0.17119048140182,-0.17119048140182,"Pre-Whaling (1841-1860)"
8.85721447336123e-05,20068784.203299,521496476762.593,1777.53525908223,46190061.4178853,15533365.0427483,14939977.9288534,8894048.96471051,23418459.8985944,403641548984.759,1375.82345676634,1323.26588743137,787.764992170174,2074.2232195766,35751397.6971775,"pre_whaling",0.77400628186509,0.744438615588755,0.77400628186509,0.744438615588754,-4535419.16055069,-401.711802315894,-0.111255514551896,-0.111255514551896,"Pre-Whaling (1841-1860)"
0.000127055212400501,9519333.74959813,172441401397.24,1209.48097146645,21909578.8811664,8777191.79535418,8614132.01456755,5293528.34006918,12516717.6745712,158997603544.169,1115.18796783866,1094.47037275684,672.570367595563,1590.31422269975,20201474.2894751,"pre_whaling",0.922038456286368,0.904909129268759,0.922038456286367,0.904909129268759,-742141.954243951,-94.2930036277885,-0.0352509650584423,-0.0352509650584424,"Pre-Whaling (1841-1860)"
0.000182258508549024,4200941.42216886,53050110198.2631,765.657318106314,9668833.96309681,4804773.74368625,4833289.89820377,2866545.81768837,6464544.33506739,60675394147.4098,875.710896439767,880.908208231685,522.452365419325,1178.21820895843,11058606.8429311,"pre_whaling",1.14373738189514,1.15052542096825,1.14373738189514,1.15052542096825,603832.321517382,110.053578333453,0.0583263158145765,0.0583263158145766,"Pre-Whaling (1841-1860)"
0.000261446683775594,1711727.64087839,15068811589.1929,447.525515234676,3939690.81843372,2538537.30253748,2624792.50112322,1449139.57300224,3448664.95813671,22347445592.7144,663.692159389064,686.243295017711,378.872735689416,901.642016757939,5842665.54107069,"pre_whaling",1.48302641256339,1.5334171385912,1.48302641256339,1.5334171385912,826809.661659083,216.166644154388,0.171148885841858,0.171148885841858,"Pre-Whaling (1841-1860)"
0.000375040753934783,639533.097648767,3924750368.87508,239.850975108441,1471941.33734873,1290784.27519487,1350608.99184765,625139.052856739,1898191.26483409,7921413416.81031,484.096707736245,506.533414573641,234.452621697468,711.899083075797,2970852.86006965,"pre_whaling",2.01832286701097,2.11186723066116,2.01832286701097,2.11186723066116,651251.177546098,244.245732627804,0.304990640664693,0.304990640664693,"Pre-Whaling (1841-1860)"
0.000537989486348578,217772.492911969,931658414.471697,117.15931160256,501222.431853959,629856.80182271,597383.092405218,241994.290880995,1043431.8803933,2694607484.55301,338.856337285757,321.385823036408,130.190384250355,561.355381372524,1449670.49652571,"pre_whaling",2.89226978761417,2.74315219712666,2.89226978761417,2.74315219712666,412084.308910741,221.697025683198,0.461238801004006,0.461238801004006,"Pre-Whaling (1841-1860)"
