"decade","start_year","end_year","metric_name","metric_category","comparison","n_sims","diff_median","diff_mean","diff_sd","diff_q05","diff_q25","diff_q75","diff_q95","z_median","value_median","value_q25","value_q75","n_valid","prop_outside_b0_50","prop_outside_b0_90","prop_outside_b0_98","prop_below_b0_q05","prop_above_b0_q95","b0_median","b0_sd"
"1901-1910",1901,1910,"htl_indicator","structural","absolute",2111,0.000953609391495192,0.00195436858081867,0.00410376091341791,-0.00237893144730959,-0.000146537791772955,0.00357676473202129,0.00901557380185374,0.0132189702458479,0.184673985178176,0.145335959483727,0.232254393305888,2111,0.496920890573188,0.0909521553765988,0.0151586925627665,0.0383704405495026,0.0525817148270962,0.184168323519962,0.0721394612257883
"1911-1920",1911,1920,"htl_indicator","structural","absolute",2111,0.000858416551143215,0.00235677340710895,0.00540898668106778,-0.00270556086871609,-2.57124063379327e-05,0.0042155999946961,0.0110990926468222,0.0118994034132923,0.185332092390646,0.146303011807007,0.232325326577819,2111,0.494078635717669,0.0843202273803884,0.0127901468498342,0.0341070582662245,0.0502131691141639,0.184168323519962,0.0721394612257883
"1921-1930",1921,1930,"htl_indicator","structural","absolute",2111,0.00124759991769058,0.00292478503907456,0.00765783811466866,-0.00309425056235624,-4.09163704917365e-05,0.00480359222188204,0.0125898268978226,0.0172942782839164,0.185687757979426,0.146631262244681,0.23274037413562,2111,0.490288962576978,0.0843202273803884,0.0137375651350071,0.0322122216958787,0.0521080056845097,0.184168323519962,0.0721394612257883
"1931-1940",1931,1940,"htl_indicator","structural","absolute",2111,0.00321112670789075,0.00751136121497412,0.0195766597306725,-0.00562626388769588,0.000579499035845213,0.0105402274756432,0.02922192401754,0.0445127625480913,0.189954760685676,0.151152303771254,0.234856142945425,2111,0.473235433443865,0.0677404073898626,0.0127901468498342,0.0170535291331123,0.0506868782567504,0.184168323519962,0.0721394612257883
"1941-1950",1941,1950,"htl_indicator","structural","absolute",2111,0.00478533567111325,0.0107929487504035,0.0316341217086908,-0.0127831038075868,0.000963982590259538,0.0142882313137879,0.0529300305840608,0.0663345080459597,0.19193447424525,0.15541599111199,0.235497369472928,2111,0.453813358597821,0.0672666982472762,0.0156324017053529,0.0104216011369019,0.0568450971103742,0.184168323519962,0.0721394612257883
"1951-1960",1951,1960,"htl_indicator","structural","absolute",2111,0.00521227758706089,0.0116149258707539,0.0356198576234519,-0.0171233286635065,0.00101995318026818,0.0158077415015428,0.0599894140086792,0.0722527933878942,0.192836958235868,0.156913010454189,0.234702736086672,2111,0.436759829464709,0.0625296068214116,0.0127901468498342,0.00663192799621033,0.0558976788252013,0.184168323519962,0.0721394612257883
"1961-1970",1961,1970,"htl_indicator","structural","absolute",2111,0.00576089568351651,0.013156802403293,0.0379799251484406,-0.0178694284368728,0.0012508853088011,0.0172761380629329,0.0662514808552611,0.0798577586473174,0.193767893169597,0.158009625576978,0.23549014297046,2111,0.435338702036949,0.063950734249171,0.0156324017053529,0.00521080056845097,0.05873993368072,0.184168323519962,0.0721394612257883
"1971-1980",1971,1980,"htl_indicator","structural","absolute",2111,0.00583223634297828,0.0165359148771267,0.0447789862806819,-0.0171821755400698,0.000980092932030219,0.0211663185594659,0.0862511978402192,0.0808466856263875,0.196590621661356,0.162181741614116,0.235822381318436,2111,0.413548081477973,0.05873993368072,0.0132638559924207,0.00284225485551871,0.0558976788252013,0.184168323519962,0.0721394612257883
"1981-1990",1981,1990,"htl_indicator","structural","absolute",2111,0.00515451235862657,0.0190166330645438,0.0548424673710488,-0.0196620417720794,-0.00037786441175236,0.0214835298851293,0.107052199578437,0.0714520495584731,0.197833393522447,0.162262912598613,0.239338137366865,2111,0.427759355755566,0.0677404073898626,0.0189483657034581,0.00189483657034581,0.0658455708195168,0.184168323519962,0.0721394612257883
"1991-2000",1991,2000,"htl_indicator","structural","absolute",2111,0.00123296679762272,0.016643305208613,0.0597709828111474,-0.0215831555079524,-0.00475714600696454,0.0191591425390544,0.105498859000542,0.0170914334079052,0.195927639501767,0.161839775839677,0.233494363490353,2111,0.394599715774514,0.0577925153955471,0.0156324017053529,0.000947418285172904,0.0568450971103742,0.184168323519962,0.0721394612257883
"2001-2010",2001,2010,"htl_indicator","structural","absolute",2111,0.0096741712379616,0.0254515142643264,0.0642309400253731,-0.01491432566015,0.00339686420995369,0.0255579426460128,0.118031366608278,0.134103735647298,0.202276199673313,0.166367507886666,0.244611526223176,2111,0.436759829464709,0.0843202273803884,0.024159166271909,0.000947418285172904,0.0833728090952155,0.184168323519962,0.0721394612257883
"1841-1850",1841,1850,"large_fish_indicator","structural","absolute",2111,-0.000242525653056491,-0.000340993883099908,0.000421425703352849,-0.0010092225500718,-0.00046070719272806,-0.000123141049589548,3.34022377160292e-05,-0.00470582947877094,0.929811551752866,0.910217389188033,0.942088264317153,2111,0.501657981999053,0.100426338228328,0.0208432022738039,0.0516342965419233,0.0487920416864045,0.930062637309673,0.0515372803350779
"1851-1860",1851,1860,"large_fish_indicator","structural","absolute",2111,0.000242525653056602,0.00034099388309991,0.000421425703352847,-3.34022377159737e-05,0.000123141049589492,0.00046070719272806,0.00100922255007185,0.00470582947877309,0.930338970633885,0.910932906414839,0.942369397338199,2111,0.498342018000947,0.0990052108005685,0.0203694931312174,0.0478446234012316,0.0511605873993368,0.930062637309673,0.0515372803350779
"1861-1870",1861,1870,"large_fish_indicator","structural","absolute",2111,-0.00042321310185045,-0.000164232953621957,0.00119953639082198,-0.00110348870733568,-0.000705253941364892,-8.80413836618077e-05,0.00182896886860295,-0.00821178570345317,0.929473192919656,0.909808820984869,0.941791044177791,2111,0.498815727143534,0.0918995736617717,0.019895783988631,0.0473709142586452,0.0445286594031265,0.930062637309673,0.0515372803350779
"1871-1880",1871,1880,"large_fish_indicator","structural","absolute",2111,0.000662579478804215,0.00123039318836195,0.00174954994527357,6.17226421376627e-05,0.000321138079596051,0.00146335402830006,0.00420140835675847,0.0128563143902113,0.930803079891874,0.911646777847716,0.942708324053159,2111,0.501657981999053,0.101373756513501,0.0189483657034581,0.0459497868308858,0.0554239696826149,0.930062637309673,0.0515372803350779
"1881-1890",1881,1890,"large_fish_indicator","structural","absolute",2111,-0.000107353727212156,0.000651592609641427,0.00248287219976973,-0.00100795360312422,-0.000507426599603233,0.00081696842304213,0.0048951797077465,-0.00208303050751182,0.92997708799612,0.910605649253123,0.942082748540851,2111,0.496920890573188,0.0918995736617717,0.0194220748460445,0.0459497868308858,0.0459497868308858,0.930062637309673,0.0515372803350779
