"decade","start_year","end_year","metric_name","metric_category","comparison","n_sims","diff_median","diff_mean","diff_sd","diff_q05","diff_q25","diff_q75","diff_q95","z_median","value_median","value_q25","value_q75","n_valid","prop_outside_b0_50","prop_outside_b0_90","prop_outside_b0_98","prop_below_b0_q05","prop_above_b0_q95","b0_median","b0_sd"
"1841-1850",1841,1850,"spectrum_slope","structural","absolute",2111,0.000186720443710486,0.000190884313714532,0.000131213765128036,-3.69109787657917e-05,0.000128760816851869,0.000249661605114637,0.000430151239214527,0.0158995119871488,-1.15979043883123,-1.16802258995102,-1.15101080002143,2111,0.503079109426812,0.10279488394126,0.0213169114163903,0.0487920416864045,0.0540028422548555,-1.15995027326598,0.0117437845803952
"1851-1860",1851,1860,"spectrum_slope","structural","absolute",2111,-0.000186720443710708,-0.000190884313714532,0.000131213765128041,-0.000430151239214416,-0.000249661605114526,-0.000128760816851869,3.69109787659028e-05,-0.0158995119871677,-1.16013527390861,-1.16827986719383,-1.15139070369894,2111,0.493131217432496,0.0971103742302226,0.019895783988631,0.0511605873993368,0.0459497868308858,-1.15995027326598,0.0117437845803952
"1861-1870",1861,1870,"spectrum_slope","structural","absolute",2111,0.000181123831624275,0.000275257078192361,0.000366919843563344,-0.000176491916393462,3.27825907235901e-05,0.000450412059085026,0.000967871260086239,0.015422952488982,-1.15971186385995,-1.16798736688031,-1.15086229332634,2111,0.507816200852676,0.104689720511606,0.0203694931312174,0.0487920416864045,0.0558976788252013,-1.15995027326598,0.0117437845803952
"1871-1880",1871,1880,"spectrum_slope","structural","absolute",2111,-0.000229788377896112,-0.000145665885736157,0.000477163261174269,-0.00074823709988614,-0.00041812197901181,1.50615109122398e-05,0.000850173489847728,-0.0195668079845159,-1.16003858160341,-1.16826462780354,-1.15142370531583,2111,0.498815727143534,0.0966366650876362,0.0184746565608716,0.0502131691141639,0.0464234959734723,-1.15995027326598,0.0117437845803952
"1881-1890",1881,1890,"spectrum_slope","structural","absolute",2111,0.000146997122628445,0.00029538946653442,0.000682431126776166,-0.000533816079420601,-9.87931775157103e-05,0.000552203280640651,0.00169171450727112,0.0125170145639284,-1.15963122907965,-1.16794226835674,-1.15100356835979,2111,0.504026527711985,0.104689720511606,0.0184746565608716,0.0487920416864045,0.0558976788252013,-1.15995027326598,0.0117437845803952
"1891-1900",1891,1900,"spectrum_slope","structural","absolute",2111,-0.000301903351842991,-0.000130253971252978,0.000861460304189054,-0.00116250294316589,-0.000596220648339862,0.000120604400329016,0.00160926137698914,-0.0257075008295862,-1.16005174229254,-1.16818151979434,-1.15148277902462,2111,0.493604926575083,0.098531501657982,0.0161061108479394,0.0506868782567504,0.0478446234012316,-1.15995027326598,0.0117437845803952
"1901-1910",1901,1910,"spectrum_slope","structural","absolute",2111,8.56690396322524e-05,0.000321416083099767,0.001297186829068,-0.000950102164058775,-0.000242673055448117,0.000615427890853226,0.00237388972035679,0.00729484086205619,-1.15956480906583,-1.16789261871731,-1.15093735032764,2111,0.501657981999053,0.105637138796779,0.0184746565608716,0.0497394599715775,0.0558976788252013,-1.15995027326598,0.0117437845803952
"1911-1920",1911,1920,"spectrum_slope","structural","absolute",2111,-0.000367198525182522,-5.32420032095879e-06,0.00527905836611623,-0.00160880304599509,-0.000766510795793707,0.000224489869939282,0.00234584008832528,-0.031267477930029,-1.1599333340262,-1.16813612416273,-1.15141660112564,2111,0.495026054002842,0.0975840833728091,0.0161061108479394,0.0516342965419233,0.0459497868308858,-1.15995027326598,0.0117437845803952
"1921-1930",1921,1930,"spectrum_slope","structural","absolute",2111,1.72905389808076e-05,0.000505939853445777,0.00642249985971463,-0.00138746702092596,-0.000408658598814005,0.000693050064747625,0.00308623470352065,0.00147231404513942,-1.1596426363182,-1.16788158380642,-1.15085290447704,2111,0.503552818569398,0.105637138796779,0.019895783988631,0.049265750828991,0.0563713879677878,-1.15995027326598,0.0117437845803952
"1931-1940",1931,1940,"spectrum_slope","structural","absolute",2111,-0.0017433129054838,-0.00133326386409014,0.0105216493696018,-0.00707195294808438,-0.00280383435936649,-0.000706733493859857,0.00217574235783513,-0.148445579323214,-1.16175278949986,-1.16975799609517,-1.15313682412685,2111,0.490762671719564,0.101847465656087,0.0213169114163903,0.0663192799621033,0.0355281856939839,-1.15995027326598,0.0117437845803952
"1941-1950",1941,1950,"spectrum_slope","structural","absolute",2111,-0.00391823763225863,-0.00297214217333236,0.0149159914612639,-0.0121447566450911,-0.00578507796256411,-0.00148257057906864,0.00319119005733148,-0.333643520573397,-1.16384843648484,-1.17214743371937,-1.15484593850316,2111,0.520606347702511,0.126480341070583,0.0270014211274278,0.0947418285172904,0.0317385125532923,-1.15995027326598,0.0117437845803952
"1951-1960",1951,1960,"spectrum_slope","structural","absolute",2111,-0.0085909101429924,-0.00712529031842231,0.0184294383039519,-0.0185101810073411,-0.0118167556482345,-0.00428486912366965,0.00116004594628105,-0.731528246638129,-1.1685724939078,-1.17680788102242,-1.1593753954385,2111,0.593557555660824,0.224064424443392,0.0525817148270962,0.204642349597347,0.0194220748460445,-1.15995027326598,0.0117437845803952
"1961-1970",1961,1970,"spectrum_slope","structural","absolute",2111,-0.00989278866774579,-0.00814338461344802,0.0193359098992303,-0.0203403725471086,-0.0130938239353358,-0.00500422166034387,0.00113460315890423,-0.842385059094201,-1.16964859896588,-1.17812181000364,-1.16002307058528,2111,0.625769777356703,0.268593083846518,0.0653718616769304,0.249171009000474,0.0194220748460445,-1.15995027326598,0.0117437845803952
