"decade","start_year","end_year","metric_name","metric_category","comparison","n_sims","diff_median","diff_mean","diff_sd","diff_q05","diff_q25","diff_q75","diff_q95","z_median","value_median","value_q25","value_q75","n_valid","prop_outside_b0_90","prop_outside_b0_98","prop_below_b0_q05","prop_above_b0_q95","b0_median","b0_sd"
"2001-2010",2001,2010,"mean_weight","structural","climate",170,1.4855991276015,-59.7321191281965,248.555170514744,-201.300531134564,-10.4295941430582,4.28419567634408,11.3329235819886,0.00285517961643862,260.637150980992,235.512522502781,281.206785215838,170,0.0882352941176471,0,NA,NA,266.404833750776,520.317222443103
"1841-1850",1841,1850,"mean_max_weight","structural","climate",170,14870.3430750851,28590.9063586415,35240.040054462,4200.37350934132,7496.3381415676,28235.7479773625,98484.0946578054,0.00190675727495505,2032330.8164431,1294776.95966107,4654236.15186196,170,0.105882352941176,0.0235294117647059,NA,NA,2019474.97310744,7798760.37207496
"1851-1860",1851,1860,"mean_max_weight","structural","climate",170,-14870.3430750851,-28590.9063586417,35240.0400544622,-98484.0946578083,-28235.7479773626,-7496.33814156766,-4200.37350934138,-0.00190675727495505,2006619.12977178,1280011.51741089,4599192.98124842,170,0.105882352941176,0.0235294117647059,NA,NA,2019474.97310744,7798760.37207496
"1861-1870",1861,1870,"mean_max_weight","structural","climate",170,-39353.4806978552,-83264.9860777808,100801.696091213,-325683.854101137,-80673.2454361065,-20847.3648738358,-12998.4280405038,-0.00504612000116946,1980272.41128847,1269363.48728803,4540329.66167842,170,0.111764705882353,0.0235294117647059,NA,NA,2019474.97310744,7798760.37207496
"1871-1880",1871,1880,"mean_max_weight","structural","climate",170,-68317.2422016343,-133858.635796122,162855.351304832,-463721.915059253,-132585.878382481,-34131.392323593,-21531.9390867714,-0.00876001299466233,1958942.85224788,1255882.41031947,4491793.84062149,170,0.117647058823529,0.0235294117647059,NA,NA,2019474.97310744,7798760.37207496
"1881-1890",1881,1890,"mean_max_weight","structural","climate",170,-91351.2459007478,-187597.381353778,227797.473447513,-695408.704647161,-188088.630368297,-46632.896312414,-30612.5141010306,-0.0117135597893031,1933341.32864846,1244339.63381119,4434422.28364767,170,0.111764705882353,0.0352941176470588,NA,NA,2019474.97310744,7798760.37207496
"1891-1900",1891,1900,"mean_max_weight","structural","climate",170,-120915.5924138,-237650.553269335,290454.934105888,-824989.245198625,-237135.311972377,-59977.6529023985,-38334.9973559112,-0.0155044630999002,1912557.62678646,1230010.49423431,4386967.20782048,170,0.111764705882353,0.0411764705882353,NA,NA,2019474.97310744,7798760.37207496
"1901-1910",1901,1910,"mean_max_weight","structural","climate",170,-143651.057308657,-290565.807407258,354638.369932309,-1054225.14713588,-296631.804387572,-72002.4300727575,-47724.0180063061,-0.0184197296051086,1890152.97551138,1218709.33837383,4330958.42536329,170,0.111764705882353,0.0411764705882353,NA,NA,2019474.97310744,7798760.37207496
"1911-1920",1911,1920,"mean_max_weight","structural","climate",170,-172082.734042322,-340065.140405722,417464.701391108,-1183102.96608664,-346053.097326612,-85234.4572619305,-54659.3227471671,-0.0220653957593695,1869693.60291223,1202731.79934841,4287209.96905282,170,0.105882352941176,0.0411764705882353,NA,NA,2019474.97310744,7798760.37207496
"1921-1930",1921,1930,"mean_max_weight","structural","climate",170,-194708.36119191,-392186.189664955,480916.283119464,-1409879.3089516,-400617.344978673,-96958.6614839391,-64128.5517329135,-0.0249665782640409,1854428.22396577,1189120.52164299,4232404.30076066,170,0.105882352941176,0.0411764705882353,NA,NA,2019474.97310744,7798760.37207496
"1931-1940",1931,1940,"mean_max_weight","structural","climate",170,-221858.617883874,-441209.478992345,543817.2953864,-1538126.28531317,-449500.70684904,-109872.782210733,-70519.3273054862,-0.0284479336842152,1565123.89759866,908023.658742901,3212221.79864818,170,0.105882352941176,0.0411764705882353,NA,NA,2019474.97310744,7798760.37207496
"1941-1950",1941,1950,"mean_max_weight","structural","climate",170,-244522.196584202,-492693.449414356,606620.968136614,-1761842.42317486,-501327.180643869,-121299.584833235,-79787.2203119152,-0.0313539825457085,1128578.23027092,697762.662121883,2775827.48862863,170,0.105882352941176,0.0470588235294118,NA,NA,2019474.97310744,7798760.37207496
"1951-1960",1951,1960,"mean_max_weight","structural","climate",170,-270278.380730668,-541554.394297139,669730.802629105,-1889380.2544143,-551417.260347618,-133901.011840805,-85928.4668192029,-0.0346565823074208,939535.760422452,544449.493427698,2499107.02836297,170,0.105882352941176,0.0470588235294118,NA,NA,2019474.97310744,7798760.37207496
"1961-1970",1961,1970,"mean_max_weight","structural","climate",170,-293112.213532595,-593071.75114515,732480.355965747,-2110008.73144897,-599321.468104363,-145036.950107612,-94944.8828538509,-0.037584462087352,870527.684818304,445800.590244269,2386965.00941265,170,0.105882352941176,0.0470588235294118,NA,NA,2019474.97310744,7798760.37207496
"1971-1980",1971,1980,"mean_max_weight","structural","climate",170,-317376.95489594,-643489.338408381,798171.330692791,-2236760.82825671,-650811.064307973,-157332.757367002,-100899.953398836,-0.0406958208425498,838065.263439946,432362.32995551,2074944.45187585,170,0.1,0.0470588235294118,NA,NA,2019474.97310744,7798760.37207496
"1981-1990",1981,1990,"mean_max_weight","structural","climate",170,-337075.626775927,-703755.138526302,871852.190078734,-2624285.75196595,-682423.240829378,-165018.183069883,-114060.385036217,-0.0432216930248164,751984.504051988,404533.665770026,1736129.02568603,170,0.105882352941176,0.0588235294117647,NA,NA,2019474.97310744,7798760.37207496
"1991-2000",1991,2000,"mean_max_weight","structural","climate",170,-391140.96140181,-835080.036900319,1066104.44205814,-3129665.19104878,-802702.808727644,-210314.832149843,-122919.521846049,-0.0501542479497599,707651.538909791,389070.825712764,1692750.38912093,170,0.111764705882353,0.0647058823529412,NA,NA,2019474.97310744,7798760.37207496
"2001-2010",2001,2010,"mean_max_weight","structural","climate",170,-375540.642257187,-785580.948269288,989922.54308319,-2894445.45072101,-769102.404748078,-184564.242962996,-124687.744457366,-0.0481538891234415,711828.636734031,401378.5615225,1700111.94143848,170,0.111764705882353,0.0705882352941176,NA,NA,2019474.97310744,7798760.37207496
"1841-1850",1841,1850,"predator_prey_ratio","structural","climate",170,3.1374374752717e-05,0.000889049177521665,0.0031930316665436,4.43362888100582e-06,9.96332252743216e-06,0.000227999149020863,0.00421834335916305,0.000161093604539007,0.00491682019661107,0.00359901185833452,0.0207206512413096,170,0.1,0.0235294117647059,NA,NA,0.00489835224617119,0.194758661229906
"1851-1860",1851,1860,"predator_prey_ratio","structural","climate",170,-3.10519647982238e-05,-0.000877924330567777,0.00313811298237858,-0.00420604467547831,-0.000227090145742181,-9.94122600235937e-06,-4.42682919282309e-06,-0.000159438171335384,0.00487999127136387,0.00357680812368488,0.0203367012633229,170,0.0941176470588235,0.0235294117647059,NA,NA,0.00489835224617119,0.194758661229906
"1861-1870",1861,1870,"predator_prey_ratio","structural","climate",170,-5.3276512930448e-05,-0.0021089066356513,0.00776096628810262,-0.0100029790282103,-0.00054417120885061,-9.52408834208811e-06,7.40680568359723e-06,-0.00027355144358667,0.00489027838433338,0.00358710586501358,0.020082234454512,170,0.0941176470588235,0.0235294117647059,NA,NA,0.00489835224617119,0.194758661229906
"1871-1880",1871,1880,"predator_prey_ratio","structural","climate",170,-0.000131713922331089,-0.00404475129675044,0.0144052585644334,-0.0200152102196733,-0.000937412863502878,-3.92029941999067e-05,-1.61582389409855e-05,-0.000676293015670327,0.0048275765648262,0.00355489407379841,0.0196451208587048,170,0.1,0.0176470588235294,NA,NA,0.00489835224617119,0.194758661229906
