"decade","start_year","end_year","scenario","n_sims","total_biomass_median","total_biomass_mean","total_biomass_sd","total_biomass_q05","total_biomass_q25","total_biomass_q75","total_biomass_q95","whale_biomass_median","whale_biomass_mean","whale_biomass_sd","whale_biomass_q05","whale_biomass_q25","whale_biomass_q75","whale_biomass_q95","baleen_biomass_median","baleen_biomass_mean","baleen_biomass_sd","baleen_biomass_q05","baleen_biomass_q25","baleen_biomass_q75","baleen_biomass_q95","seal_biomass_median","seal_biomass_mean","seal_biomass_sd","seal_biomass_q05","seal_biomass_q25","seal_biomass_q75","seal_biomass_q95","fish_biomass_median","fish_biomass_mean","fish_biomass_sd","fish_biomass_q05","fish_biomass_q25","fish_biomass_q75","fish_biomass_q95","krill_biomass_median","krill_biomass_mean","krill_biomass_sd","krill_biomass_q05","krill_biomass_q25","krill_biomass_q75","krill_biomass_q95","ltl_biomass_median","ltl_biomass_mean","ltl_biomass_sd","ltl_biomass_q05","ltl_biomass_q25","ltl_biomass_q75","ltl_biomass_q95","apex_biomass_median","apex_biomass_mean","apex_biomass_sd","apex_biomass_q05","apex_biomass_q25","apex_biomass_q75","apex_biomass_q95","spectrum_slope_median","spectrum_slope_mean","spectrum_slope_sd","spectrum_slope_q05","spectrum_slope_q25","spectrum_slope_q75","spectrum_slope_q95","mean_tl_median","mean_tl_mean","mean_tl_sd","mean_tl_q05","mean_tl_q25","mean_tl_q75","mean_tl_q95","htl_indicator_median","htl_indicator_mean","htl_indicator_sd","htl_indicator_q05","htl_indicator_q25","htl_indicator_q75","htl_indicator_q95","large_fish_indicator_median","large_fish_indicator_mean","large_fish_indicator_sd","large_fish_indicator_q05","large_fish_indicator_q25","large_fish_indicator_q75","large_fish_indicator_q95","mean_weight_median","mean_weight_mean","mean_weight_sd","mean_weight_q05","mean_weight_q25","mean_weight_q75","mean_weight_q95","mean_max_weight_median","mean_max_weight_mean","mean_max_weight_sd","mean_max_weight_q05","mean_max_weight_q25","mean_max_weight_q75","mean_max_weight_q95","predator_prey_ratio_median","predator_prey_ratio_mean","predator_prey_ratio_sd","predator_prey_ratio_q05","predator_prey_ratio_q25","predator_prey_ratio_q75","predator_prey_ratio_q95","exploitation_total_median","exploitation_total_mean","exploitation_total_sd","exploitation_total_q05","exploitation_total_q25","exploitation_total_q75","exploitation_total_q95","exploitation_whale_median","exploitation_whale_mean","exploitation_whale_sd","exploitation_whale_q05","exploitation_whale_q25","exploitation_whale_q75","exploitation_whale_q95","exploitation_krill_median","exploitation_krill_mean","exploitation_krill_sd","exploitation_krill_q05","exploitation_krill_q25","exploitation_krill_q75","exploitation_krill_q95"
"1881-1890",1881,1890,"Fishing",2111,88638805388194.9,94059765062318.3,29088890695090.8,61030594354883.8,73570328343163.1,106720041341021,147663901054849,2088095924131.65,8211406849106.08,17534723373312.9,291711122423.245,962730158276.854,7711153796389.29,33821485697889.8,1348975150799.25,7745127745330.13,17506202170723.7,210255415172.076,883950477938.458,7029900813788.7,33678007879212.7,475598114137.986,572607717967.981,379257790313.567,199624270517.945,326001666636.961,767101319062.707,1191214464740.78,10367199804539.2,10259325955335.9,2652731447200.76,5089624014077.13,8787824089357.43,12002564539412.3,14528703111036.3,13347157342355.5,16272036215363.4,11121277380476.1,1781869157693.39,7337685155928.1,24363213262568.2,36539844748211.8,70233126777012.2,74857317288007.4,21960576579366.6,48600598723424.4,57834649774474.6,86268301766989.8,119816083876685,39442673790.5338,469568340416.109,1528535924844.8,27658107516.0808,32572980411.1906,123066121913.722,2737635065608.05,-1.37069417766993,-1.36872345406198,0.0440158359218161,-1.44130749520298,-1.39052231083799,-1.3462771858109,-1.29207895585914,3.08002440528119,3.086489051973,0.186814364050285,2.78373414164581,2.95345641069913,3.21911615217818,3.38829535853833,0.107919007773949,0.106591904315217,0.0330329886320629,0.0446021409171746,0.0859446356548424,0.127693259977966,0.152957387843163,0.487213951714417,0.486823527849087,0.0422190611924938,0.422962459939832,0.463128711403618,0.512965226435357,0.552466991161169,259.615616796498,322.302837445908,355.257718600918,127.397284851311,225.875896813762,293.613790371894,689.600036431005,1677562.16837762,4550610.05785174,7031878.35773118,326508.253715138,1022339.4009193,4537419.8091211,19988270.0621608,0.000633947932018239,0.00658254055396621,0.0214942225065064,0.000305166520187758,0.000459432964297657,0.00176908186586225,0.0394571000911778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1891-1900",1891,1900,"Fishing",2111,88542869993271.9,93839331595773.5,28709642231824.5,60962762044412.2,73469338219184.9,106451430886366,146910639924460,2042798892082.79,8023930096172.3,17011456544595.3,290894596336.849,951871635214.608,7561055307023.73,33210670410144.5,1334783585015.37,7565544748666.76,16983170066610.9,210373678734.611,875467005514.991,6821625843220.07,32703386548144.7,473582501942.924,566351704362.137,366018049735.208,201853177683.895,326241707958.851,757193463901.482,1172583968547.73,10434492075716,10335451376075.6,2628450697421.05,5233329622074.65,8874110330372.27,12087143514132.3,14559422727445.7,13302407080142.1,16176894787666.5,11007926203039.2,1728744712329.11,7338178154745.85,24230796452459.8,36140376330451.4,70210034203895.3,74753298892393.9,21817904754570.5,48574430053787.4,57772261769749.1,86235730766114.8,119312965723285,39302058966.8157,461680451328.258,1501138494342.18,27715654796.886,32555705226.7047,121429582727.353,2689097472796,-1.36950209769965,-1.36753128930852,0.0437376903790675,-1.43942704999096,-1.38940724971699,-1.34528123529104,-1.29147990159661,3.08070566475339,3.0874582812691,0.184855436947769,2.78507310591551,2.95443389584155,3.22016122119797,3.38332390215351,0.108769419577882,0.107232616417769,0.032825739229672,0.0467175293451365,0.0868691239295502,0.128187517180211,0.153707997004828,0.487301911844785,0.486678098091715,0.0417417354631247,0.422816770467742,0.462945461375119,0.512606023169967,0.551664630437159,261.211654653631,320.360446475577,340.659039647888,128.532820059288,227.310970633978,294.501317918976,673.496768253933,1658093.44519056,4504510.90069458,6974906.75084275,326528.195757376,1011802.38754867,4483125.88170799,19786596.3225852,0.00063065954202192,0.00647616159039309,0.0211180589168721,0.000306518176494726,0.000458752359135991,0.0017510061014962,0.0387459759879017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1901-1910",1901,1910,"Fishing",2111,88384982506188.5,93767480111743.6,28656070015710.6,60828715839413.9,73369711634167.4,106409196342041,147192589427534,2014046817929.67,7841628546135.08,16505903199469.8,289781701809.131,942523978146.349,7460136658247.93,32245872621336.9,1311293839964.67,7390999926067.71,16477855270961.5,210588265021.195,866990529639.367,6614988053202.85,32023988136124.8,472746698788.982,560372985234.392,353496039722.819,204225700721.003,326632597803.103,747242845297.826,1152707957002.29,10400152784655.5,10321662621008.9,2620260939223.79,5266869915696.54,8859283033596.07,12056417982108.4,14550693309366.3,13488195999283.6,16317090811390.5,11192461046968.9,1721316758187.03,7330116116564.22,24418463704080.1,36524290201341.6,70264846637855.9,74883809910312.9,21961942085342.9,48420574789956.5,57921294543722.5,86311109279447.6,119749790566410,39103317955.8222,453930523798.631,1474232293429,27746597715.9973,32521558418.3827,119819676894.175,2641422524189.89,-1.37005329402724,-1.3678922716724,0.0436499741608774,-1.43832191609933,-1.39005752019948,-1.3461638528359,-1.29244784547428,3.07894811390415,3.08443568449322,0.184293189625934,2.78294238870756,2.95250911733644,3.21734416514645,3.37992627076727,0.108361868453634,0.106998519806412,0.0325495145645191,0.0475334753637006,0.086628930961215,0.127706097344336,0.153083697858169,0.487872489200363,0.487217175740146,0.0416704951203244,0.423412798336689,0.463342470067852,0.513319433768286,0.552407385179962,259.471692281652,315.872603682024,326.012765251605,128.767747106326,225.848489960206,293.217737154033,651.248631569048,1634882.51611648,4456994.41134574,6917014.10424571,325899.335291797,1002039.86485219,4430162.20898167,19613319.5906577,0.000626797157365715,0.00636748713509029,0.0207605435751379,0.000304813237401916,0.000457029604243353,0.00172510932676106,0.0380904986975012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1911-1920",1911,1920,"Fishing",2111,88444609925161.9,93717979227499.5,29533396956263.7,60788992197156.7,73291220740240.1,106366568545327,146564684998908,1968378024910.5,7664344180293.99,16017478770423.1,287243734223.338,933125396973.884,7294741577074.21,31266686788527.9,1294901299910.82,7221327883941.74,15989673130573.3,210899433849.655,858456212299.008,6519635141168.02,31157697728980,472249248427.812,554678307288.588,341744568823.941,205769750517.51,326886379175.167,737080660138.669,1122652274109.92,10478022749717.2,10404617006028.5,2611589581443.7,5377827100083.05,8957734670033.38,12132995740417.4,14585876964541.4,13573695848446.8,16388335184346.4,13340927149546.8,1728855881262.4,7329552060345.97,24309479768580.5,36123586716473.2,70284337087123.2,74933120071559.6,22771921904849.2,48418937331196.6,57811846817617.2,86260101147056.3,119425088436198,38861546881.0282,446324534162.536,1447808250279.97,27744650528.2337,32473036676.6822,118242112136.889,2594609269867.74,-1.36906514044722,-1.36681525785982,0.0435580693699118,-1.43675235318103,-1.38890355989309,-1.34489810722734,-1.29173001271172,3.08022651698139,3.08499059741216,0.182239794328808,2.78441976886371,2.95428381767543,3.21772093135811,3.3752175340359,0.109068263571068,0.107627825688174,0.0323603531277154,0.0487313528675421,0.0874272258578933,0.128243562721527,0.153586497543765,0.48773410065551,0.487025585920462,0.0412838123831152,0.424366700896174,0.463207240741702,0.512616292281165,0.551629545144821,261.152420781009,313.892667444314,311.742807440693,130.04762110623,227.537702013282,294.273268127663,636.438719721975,1609497.11672749,4410069.22933051,6860489.83015547,325211.102549138,991977.785869718,4371537.36442117,19420864.5898251,0.000624032513901059,0.00626377505477502,0.0203963608493575,0.000305849075506178,0.000456245032476256,0.00167777397141207,0.0374038998539405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1921-1930",1921,1930,"Fishing",2111,88321902617789.1,93821139914819.3,30562462033186.1,60715265415951.4,73225172396276.2,106281618317189,148199838561732,1922343813767.41,7491934983728.56,15545601572221.6,285667188869.649,922402883104.206,7075227380641.82,30192206428642.9,1260912717243.36,7056399035797.67,15518042103093.6,211185408086.631,850191554001.583,6351142637781.73,30110247431930.3,471457258003.05,549229011442.879,330642829635.705,206942357307.026,326839790248.345,729758872104.731,1084442085984.41,10455763224119.6,10401732840209.3,2659371572671.24,5438939280024.3,8933131401949.38,12148160459150.3,14574122524719.2,13624665810806.2,16700990473005.5,15401028266715.1,1685147032784.94,7323694586988.92,24511841020239.6,36656401402250.7,70362026404973.5,75217250941633.7,23852350266786.1,48324382734918.8,57938460265737.3,86360141809511.4,120014129369160,38647681807.3755,438851412405.811,1421857969256.83,27732458277.7966,32431406135.1759,116676695980.431,2548627732927.29,-1.36970897463398,-1.3672659054586,0.0436149613489653,-1.43771916562107,-1.38957349466856,-1.34539581317126,-1.29305533847395,3.07779356370836,3.08154656462189,0.181890869801256,2.78179535477965,2.95131538496945,3.2154894266339,3.36752060806148,0.10861634189798,0.107370936437888,0.0320985641517195,0.0494703029941691,0.0870049607758278,0.127828816802872,0.152936086920806,0.48835234412607,0.487572297765935,0.0412055852686335,0.425165067686086,0.46344243483129,0.513431095771265,0.55247523639718,259.39534032277,309.612412697627,298.78215875464,129.413708415438,226.01577903464,293.15094526298,618.575991271126,1585094.63660857,4362028.58865494,6803408.08136999,325618.00624245,982632.992782389,4321621.926485,19248720.8691668,0.000622354386856679,0.00615867206357114,0.020049649741127,0.000303029699897672,0.000452833441229694,0.00165666388097232,0.0367712047273484,0.000961061925669938,0.00289598457290319,0.00452755616425801,2.84615637479663e-05,0.000297507616675796,0.00288669067233857,0.0167971590289928,0.000628765688654685,0.00203896086666021,0.00354165877864727,7.64558579180866e-06,0.000167335764137087,0.00211105973613041,0.0110930536262465,0,0,0,0,0,0,0
"1931-1940",1931,1940,"Fishing",2111,87138033450153.2,93143887383646,33731797796705.8,59981438652771.9,72688590156784,104934295171918,145599818099364,1422234033744.62,6293340949221.5,14565530078322.1,217369442608.83,673584832308.497,5220731286445.76,25799071257790.1,965751423929.353,5956208505809.93,14542704224859.4,181600218539.91,563786751670.941,4810052351032.23,25700638562594.6,470510457782.718,544091243005.224,320236784418.803,207790024705.638,326534850123.559,714130760067.633,1064541374450.28,10734122155869.8,10766366968044.3,2603906684525.1,6434500825082.4,9259948345816.41,12382342668062.6,14680957686831.3,13392085604256.9,16967970182583.7,21583042993353.8,1671166546560.67,7177811187218.84,24293428938364.1,36151298773064.1,70186044000208.7,75375248925303.5,27400649026797.2,48254926006325.1,57620006322795,86265465255306,120313133822493,33589826341.0361,340455593879.012,1082185149318.97,24154153100.7043,27763622187.8407,97049195836.0865,2047822136580.94,-1.36816047122349,-1.36535465089207,0.0434913375876734,-1.43633410647571,-1.38766006664783,-1.34349352717668,-1.29180612015908,3.07278932395183,3.07541480076617,0.179072742531655,2.78082757523674,2.94772243986101,3.20607175095546,3.35208118996364,0.110548685244563,0.109870799353138,0.0299286731951459,0.0572262728399409,0.0907714193742389,0.129835858047761,0.153899548433576,0.480860974236126,0.479272981058013,0.046805145037365,0.409322504324352,0.45623230538103,0.507941833473665,0.546267231853901,261.851675033952,308.582998661978,284.532408770076,134.226428691656,229.888188634201,294.489362477242,579.634580503389,1222866.86740235,3353847.42564118,5673169.28475858,214617.784878596,647569.816913426,3103251.72952059,16400354.8400162,0.000530299321242533,0.00479930385244223,0.0154111503100885,0.000260369485597364,0.000385072949411256,0.00135890048543422,0.0281929289309843,0.0400402615221975,0.0842463301139467,0.113225389076047,0.00307077360548255,0.0154000892582962,0.0984855061794135,0.394133802097296,0.0282254249646452,0.061661606201473,0.08396962266008,0.00104118174355017,0.00947499722337891,0.0769984578451918,0.242011298285556,0,0,0,0,0,0,0
"1941-1950",1941,1950,"Fishing",2111,85978152766933,93125180680736.1,38839480629814.1,59693541922104.8,72163273678922.4,104391201264852,144374200165483,990847759557.904,5495211244437.76,13947497624630.3,95407155954.5284,473582936979.086,4063161337934.79,23674722597573.1,829963461788.441,5336653896977.7,13935433415173.9,55611741517.2282,379184200324.708,3863858367678.05,23658976741816.5,470045437505.658,539295852417.502,310384974850.638,209554141431.767,326309828004.772,704097819433.681,1045933730468.25,11021406248956.2,11108645841507.5,2744127937334.09,6934769900150.73,9509668423491.45,12595201179155.6,14949519077372.3,13051460896823,17384037234988.2,28685630703209,1409224176144.23,6949328978396.13,24130610183352.3,35867269220911.1,69758497329317.7,75808005648015.7,32465200834030.4,47987528005708.7,57453309016608.2,85968961222402.6,120615574382810,23273394200.3071,161894095273.696,604584685165.738,13855419012.2829,16957638080.7152,48521893619.184,750666026440.894,-1.36344904075038,-1.35993391810886,0.0429558964017495,-1.42571191232403,-1.38390429188779,-1.3392278490761,-1.28580664099295,3.06904404674746,3.07043823552795,0.178681366345142,2.77595937173195,2.94236762732742,3.19766400302143,3.34509428769952,0.111658384076765,0.11128060230655,0.0281427288003717,0.0619187569121415,0.0934205828058139,0.129518780193428,0.153239584091076,0.482514779321729,0.482806509202883,0.0416288248574201,0.418607921242868,0.459127373843192,0.508553459183082,0.54740299845962,262.480525789641,307.002078734537,271.20865097298,146.03367996963,231.967509120365,293.281474259967,563.696524805889,961654.924480022,2769285.34191901,5156251.88325507,66090.6466371754,439011.287744507,2346145.68185963,13721708.9397721,0.000343141804601316,0.002284188404325,0.00819576574549643,0.000153866627102807,0.000238357341844573,0.000722302154627289,0.0105213977314733,0.0010050819843304,0.00255048628827786,0.0042693803149846,0.000104900545003619,0.000415437144102308,0.00253825189904173,0.0108833900598198,0.00652513901253183,0.0140408855931848,0.0194465065729921,0.00018803941389391,0.00207480399328164,0.0178233910648118,0.0525892922975117,0,0,0,0,0,0,0
"1951-1960",1951,1960,"Fishing",2111,85469823327126.5,92973373738995.1,41253432995374.9,59611408426876.6,71826524299093.7,103813069462559,143562557595668,827095206403.212,5065068494125.49,13432767350285.1,63788045418.1579,351130565326.572,3396505639168.44,22594990024895,784402318670.124,4984340846390.52,13427772591964,35679195686.3724,303531726359.319,3303629069130.58,22586050221392.7,468645736344.805,534574125405.033,301177532331.47,210578452797.137,325514169939.256,692449709290.344,1030555502416.38,11145112444478.9,11277257943642.3,2885626189859.59,7163261483803.93,9694413351744.34,12691688728690.4,14991917392350.1,13069426242516.4,17514672968206.1,31967397140738.7,1296514167449.39,6807827587727.43,23929539205374.4,35379884684405.1,69807116524950.1,75918741820862.1,34889447472532.1,48021321799496.3,57343511141020.8,85891843938885,120392869252784,16241332512.9008,84078881789.5274,462336093909.53,11409683853.7547,12961448103.669,29255570060.2874,244173293425.262,-1.36123314773675,-1.35717090431713,0.0431466609768266,-1.41709903315618,-1.38174124865284,-1.33745452571267,-1.27809099980733,3.06667425316125,3.0695044840757,0.177206401902341,2.77847057739581,2.94330507931557,3.19796560090428,3.34475209038962,0.112225076522142,0.112020312504791,0.0272949048622533,0.0656313861437563,0.0942534897725596,0.129664778824587,0.153709358468655,0.483416519182262,0.4841251704776,0.0393912134747529,0.425787765371438,0.460457148760045,0.508144734203104,0.54672205008748,263.016471859676,305.676343868187,260.864391929016,148.33524730169,233.448617886108,293.346940682466,556.707599223243,788805.623410906,2477060.59145398,4838143.71803069,33303.6793339017,324528.676574995,1965789.91012984,12127567.7109128,0.000247304298819217,0.00115256161504549,0.00543778984957013,0.000113597636862731,0.000179913255131436,0.000444212500058314,0.00322110027160731,0.00144919762805922,0.00299298196016296,0.00447411794476192,9.37185299881552e-05,0.000542564631864894,0.00313371354983422,0.0117397709833227,0.0102296462336301,0.0182542480350605,0.0210736599777889,0.000166738323073437,0.00291376819723712,0.026826854936634,0.0616874404098141,0,0,0,0,0,0,0
"1961-1970",1961,1970,"Fishing",2111,85214435295989.3,92900923057862.7,41937330725517.6,59455493326517.3,71525527745919.1,103575767142418,142443963539488,772425236314.901,4757516464010.3,12811247619377.5,49558908121.5217,300801184372.534,3136383406332.04,22115517764826.7,727891602481.209,4693179761151.11,12808484135687.3,31028493772.9816,262569595562.823,3079591045694.89,22106798608927.1,467628275613.722,529991114969.338,292501106649.603,210971715100.774,323299172407.282,683383122799.899,1011158984159.99,11174814182028.5,11338012475375,2961380474297.07,7311401983787.47,9740268883997.4,12738410059744.2,15034573682100,13146619468240.4,17697115914011.8,32912160254517.1,1169145180367.72,6752584817772.61,24006153033378.4,35731921559611.2,69699645048200,76098105506864.9,35686272333927.7,47884494017003.5,57267992028201.7,86039970282157.9,121045911739799,14613527965.1536,67703653360.5026,432541423552.244,11218393592.0978,12604189133.7213,23325785008.6478,153325076184.304,-1.36157650732763,-1.35673527090646,0.0438973192523544,-1.41668397246525,-1.38199033540153,-1.33738737062178,-1.27718437431697,3.06408905560621,3.06660560494175,0.177035532721215,2.77609801393514,2.93986941008469,3.19301902045019,3.3419912734795,0.112220648576968,0.112379560917477,0.026833740717122,0.0673854292386895,0.0956546719799555,0.129792558118216,0.153560829171296,0.483646832185184,0.485009927385814,0.0391588376214042,0.427313310051541,0.461416179665197,0.509588552552875,0.547179236011222,261.97507197406,302.151878224779,246.660821057567,152.245670104844,233.343523192406,292.65498378016,546.980650396907,722106.937769978,2310514.26686503,4639518.24205252,27933.6288489606,282014.815209255,1798055.7848663,11471277.1827622,0.00022626975417262,0.000912723467699409,0.00490156693654656,0.000111470118402156,0.000171303647688094,0.000350270012901852,0.00203075647823706,0.000257736750617453,0.000720718802734467,0.00114987564945431,2.94495713052648e-05,0.000118502482186509,0.000774945980691925,0.00327103051855172,0.00257033243851479,0.00360446354934995,0.00365469112820964,0.00020317305469425,0.00096716354827589,0.00549366754261861,0.00929791911715017,0,0,0,0,0,0,0
"1971-1980",1971,1980,"Fishing",2111,84409794778868.6,91583134384217.8,40908194710095.5,59337028866143.8,70814884574469.4,101944475083213,140984834922706,731718897502.942,3401717119824.77,8427405034333.95,43448410916.0039,276378946663.705,2571134851025.62,15561389734608.5,687409386731.74,3342022828817.55,8424023819831.59,23268623265.2422,240465470927.308,2475097722281.79,15544702332735.8,466234715886.516,525251399243.184,284138562839.425,212847099201.117,322747526205.885,675029104178.354,990433390678.024,11274626818830.8,11461661371254.5,2992878769872.86,7394527786628.62,9862721988695.93,12849300386084.8,15120208241985,12951569429208.3,17568979749518.5,33775413513017.5,1029403403506.54,6400332178101.1,23374572529525.4,35056341173023.7,69497844759804.7,76017463714964.5,36427180146713.5,47798099121396.4,57008118141761.5,85839056332342.8,120207053810704,14076790045.7662,63073785403.5495,419777539408.027,10863229148.4731,12344583425.5781,22070061521.4875,127960579228.179,-1.36076376914934,-1.35453079315257,0.0451823635225811,-1.41482844106656,-1.38027359286757,-1.33556984450942,-1.27579310088793,3.06566545019946,3.06257062395738,0.170093146725376,2.77734458708787,2.94335243605685,3.18544132260959,3.326548502768,0.114807610298976,0.114530786553786,0.026173191206034,0.0719906245818845,0.0980078113171702,0.131346449872979,0.154397006597135,0.484735563508551,0.485379351636812,0.0386084949717741,0.427979738829069,0.461578791063294,0.509408243969328,0.546988073703994,262.638637418947,277.856696383412,149.686369757187,154.318382296644,234.430030703523,290.723925655453,409.589713214319,677319.420866892,2232308.66344648,4593353.1905185,28740.3505735663,267218.861949267,1618430.95014584,11300665.5903072,0.000218838294579044,0.000849428485024501,0.00473871663355697,0.000110488049063857,0.000165599902919426,0.000335456130442516,0.00183357156247863,0.00436413672565297,0.016644191092232,0.03123377345344,0.000260959727527234,0.00162242704468549,0.014006493660978,0.0840718545894717,0.00578529355159433,0.0378687097497078,0.0826464803041868,0.000212379804424867,0.00165507142210343,0.0221160378409748,0.232467809116543,0.00659854563660949,0.0229636654930735,0.0476625486233788,0.000170401233883529,0.00225572786157426,0.0161728231658479,0.154723140655657
"1981-1990",1981,1990,"Fishing",2111,83613628676729.7,91549576363812.6,45315793363504.3,58723021916691.3,70018885902642.6,101778675112307,140259717625494,648088528396.484,2521378159318.99,6398173951835.2,37600605730.2296,247276417519.911,1765651974171.72,11904616547856.4,607540971284.898,2466073926337.2,6392832242331.8,18366831694.86,209804908281.067,1589742880113.59,11837424379130.2,467272701921.413,521628589708.684,274060880299.459,218368328356.038,326502773617.615,663009140824.618,970293974097.404,11174530966942.2,11360202491219.5,3097714378099.55,7295991418469.04,9705276318071.58,12746200473815.9,15127616802788.3,12878706039638.1,18194082346741.8,39908827307965.6,648564562253.634,5842124571652.79,24011214137632.8,35895554692975.8,69752792889249.5,76971490065735.8,41872903482663.9,47026478130190.7,56905731745939.9,86295286254644,123058540669661,12608878967.7515,58711370471.4489,410335364875.198,7319316461.05772,10573665871.6228,19156231353.2854,117212846547.408,-1.36040386594597,-1.35269826814005,0.0495531705426942,-1.41654842900678,-1.38192708747792,-1.33210486526012,-1.26186309991971,3.05556993935296,3.05245727878007,0.174088326259717,2.76080584511411,2.92628841916837,3.1780836694443,3.32602508938999,0.114495315128157,0.114018165301193,0.025995972501296,0.072196091985314,0.0973104590865901,0.13055868754304,0.153892052640906,0.488534170402296,0.489193859665026,0.0390176284826842,0.430159183118282,0.465349130007522,0.513300506056808,0.552202751343235,257.665840603187,260.11324754264,102.722073098268,150.698374857952,230.425237223144,282.540385605892,328.753493723656,621839.191196951,2181310.05824474,4575268.75005198,28960.5648237757,239893.760635144,1513441.44892467,11112267.2673998,0.000189143925751701,0.00078641593835707,0.00459830169625223,8.89587217491112e-05,0.000137533468796303,0.000289838649264932,0.0017250570833256,0.000688783496335347,0.00201494911437856,0.00384613070641104,3.77878744629444e-05,0.000270240940108102,0.0018234799360186,0.0084903089438903,0.000416350939497339,0.00431101053483838,0.0129810175532354,1.30852062775849e-05,0.000125271853680945,0.00169244590309012,0.021349838983653,0.0010011980393,0.00348428497177812,0.00723195269317707,2.58545911701959e-05,0.000342262282508667,0.00245387607116525,0.0234767622019918
"1991-2000",1991,2000,"Fishing",2111,85720917560892.7,94722959594035,56559470114512.5,60710727000594.3,72727559214087.3,103255537352118,140553364045172,632457882619.982,2428546216166.73,6064749001074.66,40144526326.8191,244350146065.048,1650229710698.48,11634767865254,595142613142.956,2373863284747.36,6059153317619.18,21136013443.9474,204269738822.818,1526618357326.02,11577083642384.9,469041985008.46,520181539295.714,263324139179.11,227907668717.011,330147255444.896,651677825893.766,954811065212.7,11484031140465.4,11694889256871.5,3430357806094.45,7510673370628.76,10017489582337.7,13004588416825.9,15423928397359.6,13843056052743.5,20582660152429.8,53101232447149.3,659551279758.793,6939112662086.59,24948346413667.1,36246285727771.8,71696203717407,79904172458216.5,52954272610974.2,49037011717307,59220979564914.4,87829307652268.3,121601704520418,12763168962.8005,58133368558.0883,402997260687.889,7685556166.74299,10820758232.7652,19379391620.4146,115661194135.175,-1.36452013907467,-1.35762800599218,0.0488106594403935,-1.4179151636311,-1.38326123696937,-1.33960814417466,-1.27331264094484,3.05343830687279,3.05060147460916,0.166534794178978,2.77677790284694,2.93370556876313,3.16554543727782,3.31411861354486,0.113878465330097,0.113129323079283,0.0249546176532811,0.0718455070839946,0.0977677499010901,0.129026473333485,0.150990901942486,0.478097854648018,0.479543259496726,0.0377657476695218,0.423383926751569,0.456472036112469,0.502888973658415,0.53987750928649,257.784244379186,258.60711991832,92.9428709990965,152.357489389758,230.762847561592,281.603033851163,321.672156911728,598393.234966815,2102812.37883888,4428044.79561651,30796.6186366797,229940.447434073,1458111.81703592,10824421.2113037,0.000186387747891189,0.000758616322022848,0.00445421184984625,9.14128265181072e-05,0.000138489330623206,0.00028394536528638,0.00165732483696036,6.43199492965125e-05,0.000296452351586322,0.000878270422085776,1.09747611416855e-05,3.17066497833492e-05,0.000167805024655831,0.0012418073816106,0.000503685271785551,0.00287216325237548,0.00771792945389543,1.61528170596228e-05,0.000141958874304163,0.00158220370477319,0.013485773000494,3.38698620571906e-05,0.000117877060760677,0.000244678481910712,8.74577838919946e-07,1.15779424400603e-05,8.30079699109053e-05,0.00079431459794213
"2001-2010",2001,2010,"Fishing",2111,83283048815809.4,93240613500100.8,58624080613304.4,58573473572668.2,70138700982623.9,101684271523942,140280516576056,617450828775.359,2337565644886.25,5732608273258.66,41523052258.3767,238675411947.771,1568872032685.59,11295793009478.3,582179545766.415,2283482268052.73,5726741180705.1,23374219764.541,198762725451.108,1465274030091.2,11274703185128.6,468715505243.191,518247965615.026,252991924292.404,234117448560.032,333404999049.838,644005312818.222,938157170014.471,11308048982630.8,11573459027391.3,3701788823444.93,7352960829715.53,9807214117258.54,12849078428873,15255080831375.1,13491778054537.2,20593083097693,54689762922203.8,654197407988.542,6656465660078.85,24696489108402.2,36408056773909,69522835834976.9,78635829685387.6,54840513849496.7,47053603622502.2,56957496113146.6,86488241925900,123564458805950,12953601383.5213,57575731089.3374,395789245023.006,8059634925.60813,11046217101.9084,19627684901.4925,114135684382.484,-1.36145671014085,-1.35404875452625,0.0498779074460666,-1.4165122954049,-1.38104537644257,-1.33488071187054,-1.26776390407727,3.05019438204041,3.04566469932825,0.174205027797814,2.75152844776479,2.92271752947764,3.16750247327496,3.31894214807801,0.115569788038583,0.115267170575721,0.0262771990649417,0.0731259696535241,0.0984093218556804,0.131961569774856,0.155359709334882,0.491957054666807,0.493748925274351,0.0386564804054955,0.433936827853092,0.47008879690594,0.517945658643732,0.556536489591011,260.642243995664,261.039775750284,87.702739110168,152.936773553991,233.395187905163,285.602093853009,328.036987626266,604971.007722076,2131845.28010908,4499390.60176979,34202.2437002056,234538.925447397,1463252.33992962,10918113.9934271,0.000195102460347581,0.000771587439535462,0.0044573890501939,9.36756139568193e-05,0.00014452663307747,0.000295097493099374,0.00167888351335477,0.000124857839127724,0.000738266749457358,0.00251337427911674,3.40991482342114e-05,8.00274821099483e-05,0.000262903490540024,0.0034883453184407,0.000946743437190589,0.00395182072096684,0.00970288930694598,6.4576726791551e-05,0.000331083207994528,0.00236693129233512,0.0195536681117047,0,0,0,0,0,0,0
