"decade","start_year","end_year","metric_name","metric_category","comparison","n_sims","ratio_median","ratio_mean","ratio_sd","ratio_q05","ratio_q25","ratio_q75","ratio_q95","n_valid","prop_below_075","prop_below_040","prop_below_020","prop_below_054"
"1841-1850",1841,1850,"total_biomass","biomass","absolute",170,1.00019347405421,1.00068968105485,0.00198812269080915,0.999006735083691,0.999581939703375,1.00113082703532,1.0032373429508,170,0,0,0,NA
"1851-1860",1851,1860,"total_biomass","biomass","absolute",170,0.99980652594579,0.999310318945152,0.00198812269080913,0.996762657049205,0.998869172964683,1.00041806029663,1.00099326491631,170,0,0,0,NA
"1861-1870",1861,1870,"total_biomass","biomass","absolute",170,0.999068080481407,0.997622650606038,0.00590838176906948,0.989726038330772,0.997140208018691,1.0006800841758,1.00217114927168,170,0,0,0,NA
"1871-1880",1871,1880,"total_biomass","biomass","absolute",170,0.998314160946515,0.995314718423958,0.00907869918782346,0.98478891686553,0.99532709344637,0.999713092681921,1.00065538667371,170,0,0,0,NA
"1881-1890",1881,1890,"total_biomass","biomass","absolute",170,0.997595795910045,0.993729343714567,0.0127245497707439,0.977879496407834,0.992944874141392,1.00003677223539,1.0018124438917,170,0,0,0,NA
"1891-1900",1891,1900,"total_biomass","biomass","absolute",170,0.997054494305788,0.99156862465319,0.0157216141161068,0.972940810820956,0.991252482710669,0.999312287351067,1.00042623338964,170,0,0,0,NA
"1901-1910",1901,1910,"total_biomass","biomass","absolute",170,0.996724598747118,0.99011200195032,0.0190899547668287,0.96646127930068,0.989098287985431,0.999528186798199,1.00157127196834,170,0,0,0,NA
"1911-1920",1911,1920,"total_biomass","biomass","absolute",170,0.995789598077528,0.988089277268892,0.0218577221389243,0.961588488795153,0.987269093249901,0.998894055928451,1.00022290278465,170,0,0,0,NA
"1921-1930",1921,1930,"total_biomass","biomass","absolute",170,0.99563239732756,0.986760713479196,0.0249498192004046,0.955521861743786,0.985319910547452,0.99902081742785,1.00134583705045,170,0,0,0,NA
"1931-1940",1931,1940,"total_biomass","biomass","absolute",170,0.988381074048049,0.97562319530185,0.0346178430015251,0.902979882406512,0.970197621911947,0.996414779312898,0.998545737614593,170,0,0,0,NA
"1941-1950",1941,1950,"total_biomass","biomass","absolute",170,0.983928123608852,0.966954129745688,0.0440973195837723,0.861076971703889,0.956406881506241,0.994939103133526,0.998462349485114,170,0.00588235294117647,0,0,NA
"1951-1960",1951,1960,"total_biomass","biomass","absolute",170,0.981995982818866,0.961430369097502,0.0500010623932437,0.841428214704174,0.949773255093209,0.993155991540455,0.997145441484421,170,0.00588235294117647,0,0,NA
"1961-1970",1961,1970,"total_biomass","biomass","absolute",170,0.979616964552997,0.95863238540683,0.0542928282575797,0.826067469892248,0.946185606611805,0.993334279877369,0.997357429672511,170,0.00588235294117647,0,0,NA
"1971-1980",1971,1980,"total_biomass","biomass","absolute",170,0.977266055383335,0.94579834601125,0.0773222088535476,0.800409209706802,0.933768073034589,0.990452946016133,0.995462182250984,170,0.0411764705882353,0,0,NA
"1981-1990",1981,1990,"total_biomass","biomass","absolute",170,0.974606825068023,0.945404843346677,0.130853609337708,0.788550552877684,0.931569454441923,0.988232317915301,1.00316331305731,170,0.0470588235294118,0,0,NA
"1991-2000",1991,2000,"total_biomass","biomass","absolute",170,0.992874574859858,0.991417805864731,0.44041650433809,0.801106221707922,0.950485720380884,1.01252774875817,1.0232623378016,170,0.0470588235294118,0,0,NA
"2001-2010",2001,2010,"total_biomass","biomass","absolute",170,0.970029962573906,0.967714014367017,0.428660656387022,0.797030553338009,0.929387912492268,0.9866198983965,1.00045815440599,170,0.0470588235294118,0,0,NA
"1841-1850",1841,1850,"whale_biomass","biomass","absolute",170,1.00631801580092,1.00838661946391,0.00444403700376992,1.00488471709962,1.00540834418411,1.00850103628426,1.01730919928384,170,0,0,0,0
"1851-1860",1851,1860,"whale_biomass","biomass","absolute",170,0.993681984199083,0.991613380536092,0.00444403700376994,0.982690800716161,0.991498963715738,0.994591655815891,0.995115282900378,170,0,0,0,0
"1861-1870",1861,1870,"whale_biomass","biomass","absolute",170,0.981207111681976,0.975229754497966,0.0129640840866656,0.949178878175174,0.97479590337212,0.98389920560823,0.985473174241247,170,0,0,0,0
