"decade","start_year","end_year","metric_name","metric_category","comparison","n_sims","ratio_median","ratio_mean","ratio_sd","ratio_q05","ratio_q25","ratio_q75","ratio_q95","n_valid","prop_below_075","prop_below_040","prop_below_020","prop_below_054"
"1931-1940",1931,1940,"ltl_biomass","biomass","climate",2111,0.998955343226234,1.01528038560803,0.324652060365202,0.987492311477753,0.996233966607031,1.00034702935569,1.01025016140689,2111,0,0,0,NA
"1941-1950",1941,1950,"ltl_biomass","biomass","climate",2111,0.999564516747153,1.02813363301643,0.450951852637836,0.987099735637209,0.996548538838318,1.00191067325783,1.01173033344185,2111,0,0,0,NA
"1951-1960",1951,1960,"ltl_biomass","biomass","climate",2111,0.998764288032505,1.03160822620296,0.488572883648876,0.984752650793369,0.995520671638522,1.00026551371404,1.0132050430441,2111,0,0,0,NA
"1961-1970",1961,1970,"ltl_biomass","biomass","climate",2111,0.999320331471916,1.03528807804879,0.508473293187059,0.984712786187599,0.995878876142548,1.00183495593785,1.01456295328285,2111,0,0,0,NA
"1971-1980",1971,1980,"ltl_biomass","biomass","climate",2111,0.998602206885065,1.03916971822815,0.536701693003874,0.982028137654638,0.994755076559611,1.00021597643495,1.01587808974845,2111,0,0,0,NA
"1981-1990",1981,1990,"ltl_biomass","biomass","climate",2111,1.00064069427496,1.04864814594611,0.578056990896387,0.981368799191149,0.994955883767295,1.0076519613192,1.0231440393664,2111,0,0,0,NA
"1991-2000",1991,2000,"ltl_biomass","biomass","climate",2111,1.02143368685525,1.08644441454981,0.739469672408671,0.992892372495215,1.01136955697311,1.03097940050417,1.04940662721136,2111,0,0,0,NA
"2001-2010",2001,2010,"ltl_biomass","biomass","climate",2111,0.993840309274117,1.05959659891118,0.714096485668308,0.973219551435393,0.987451914032902,1.0010519490042,1.01812413113868,2111,0,0,0,NA
"1841-1850",1841,1850,"apex_biomass","biomass","climate",2111,1.0025786445219,1.00362615709841,0.00357580464317561,0.998891361097715,1.00071179122166,1.00704762892649,1.0089511221606,2111,0,0,0,NA
"1851-1860",1851,1860,"apex_biomass","biomass","climate",2111,0.9974213554781,0.996373842901595,0.00357580464317561,0.991048877839403,0.992952371073506,0.999288208778337,1.00110863890229,2111,0,0,0,NA
"1861-1870",1861,1870,"apex_biomass","biomass","climate",2111,0.992248693404204,0.989187871454832,0.0104982472147264,0.973465165194502,0.97911036460351,0.997762858777798,1.00304854243147,2111,0,0,0,NA
"1871-1880",1871,1880,"apex_biomass","biomass","climate",2111,0.987309164187765,0.982239530032735,0.0173248746643715,0.956199218161999,0.96553848958528,0.996388244117039,1.00521572383718,2111,0,0,0,NA
"1881-1890",1881,1890,"apex_biomass","biomass","climate",2111,0.982398940271797,0.975338943554574,0.0239349826560915,0.939240274591937,0.952202746074997,0.994926430833633,1.00704096304191,2111,0,0,0,NA
"1891-1900",1891,1900,"apex_biomass","biomass","climate",2111,0.977717964308334,0.968663787210917,0.0304630847878,0.922587776757755,0.939123412160662,0.993568331095138,1.00899650355143,2111,0,0,0,NA
"1901-1910",1901,1910,"apex_biomass","biomass","climate",2111,0.973012118105732,0.962028968531818,0.0367889149709098,0.906231238816488,0.92625533616014,0.992104395992056,1.01067917079086,2111,0,0,0,NA
"1911-1920",1911,1920,"apex_biomass","biomass","climate",2111,0.968548050408642,0.955612235301398,0.0430463683107503,0.890170334864592,0.91363250708847,0.990835737263704,1.01244445055433,2111,0.00142112742775936,0,0,NA
"1921-1930",1921,1930,"apex_biomass","biomass","climate",2111,0.96405722510955,0.949231399467743,0.0491156335903281,0.874394780290257,0.901234416823381,0.989363194086343,1.01410021919523,2111,0.00142112742775936,0,0,NA
