"w","n_valid","ratio_median","ratio_mean","ratio_sd","ratio_q05","ratio_q25","ratio_q75","ratio_q95"
3.16227766016838e-08,212,1.0018152313848,1.00807103356401,0.0264966730123939,1.00003609900479,1.00049541648655,1.0054587021224,1.0260653491502
4.53623270600988e-08,212,1.00212173743766,1.00875885241034,0.0288882367014509,1.00003576922377,1.00059784884345,1.00579051463917,1.02907555465136
6.50714749759769e-08,212,1.00266479563839,1.00962730376802,0.0315175598294082,1.00002647189432,1.00066123104768,1.00651551939017,1.03251156582466
9.33439073780173e-08,212,1.00317536840471,1.01067174817854,0.0343180598957091,1.00003229567897,1.0008122110771,1.0075654425123,1.03645266385641
1.33900223528244e-07,212,1.00391497407043,1.01187317723914,0.0372054982915655,1.00005121220636,1.00099505867409,1.00843704764808,1.03915417366659
1.92077558830971e-07,212,1.00461069766607,1.01319744962434,0.0400804734549216,1.00008250404208,1.00115734599274,1.00959538236143,1.04237025537021
2.75531941876727e-07,212,1.00539407441093,1.01459637662904,0.0428304753301486,1.00012373946211,1.00151220679854,1.01099577885004,1.04816558459493
3.95245813495413e-07,212,1.00612805092006,1.01601045646276,0.0453452760447884,1.00014751586997,1.00171103392389,1.012248295741,1.05207058920255
5.66973295442978e-07,212,1.00685855793291,1.01737441431356,0.0475144246814011,1.00015454440411,1.00195073616596,1.01358505620226,1.05638157974705
8.13313403379543e-07,212,1.00747583998356,1.01862205406138,0.0492448716498958,1.00015903232511,1.00222456775356,1.01491247603819,1.06058101886396
1.16668403509199e-06,212,1.00800171876738,1.01969267342103,0.0504697243291903,1.0001606738258,1.00241328070533,1.0159826901694,1.06399209322867
1.67358810525261e-06,212,1.00852914606065,1.02053620868863,0.051155103203565,1.00015931502003,1.00258980613157,1.01688012897122,1.06644534157611
2.40073324207457e-06,212,1.00895425081005,1.02111734463587,0.0513035567131998,1.00015496937717,1.00295563125852,1.01833228981466,1.06735182357761
3.44381038650601e-06,212,1.00928621460903,1.02141762363056,0.050952037702616,1.00014955438557,1.00310063843605,1.01956977629906,1.06717627225279
4.94008654120945e-06,212,1.00948109929908,1.02143564530895,0.0501655294620276,1.00014174684689,1.00298803198288,1.02044855790939,1.06623116598295
7.08646885155566e-06,212,1.0092753349073,1.02112162961224,0.0489039848756419,1.00013025029102,1.00295481249795,1.02088914065497,1.0655218672516
1.01654172179288e-05,212,1.00870407884378,1.02062094605837,0.0474919463359997,1.00011856233539,1.00281491407441,1.020945775415,1.06409903728842
1.45821154906901e-05,212,1.00798534749523,1.0199159350123,0.0459135000489996,1.00007637206567,1.00250300505231,1.02004744591827,1.06389353041609
2.0917792907584e-05,212,1.00788009825401,1.01904987695851,0.0442522270213672,1.00003565049969,1.00230959640583,1.01942385398444,1.06318052120141
3.00062127750894e-05,212,1.00704771383748,1.01802426980414,0.0425034373400615,0.999886573942219,1.00212077129019,1.01727897604848,1.06194810971012
4.30433941612213e-05,212,1.00604787331224,1.01680969540966,0.0406277450396526,0.999639833029535,1.00184766448664,1.01620503614691,1.06017193849104
6.17450057694841e-05,212,1.00551748602541,1.01556034469111,0.0388483930529548,0.999232361865429,1.00155409141853,1.01492568360011,1.05473751973487
8.85721447336123e-05,212,1.00504586434365,1.01439456599738,0.0372989834311192,0.999027974547113,1.00123327383242,1.01279087835672,1.05219558868513
0.000127055212400501,212,1.00422292848867,1.01343204434339,0.0360884774127184,0.99857568656282,1.00101803009045,1.01178728552961,1.04974204722482
0.000182258508549024,212,1.00383185002342,1.01281549482171,0.0353436958885576,0.998188044340032,1.00092049331347,1.01128122880573,1.04762727779101
0.000261446683775594,212,1.00396584388479,1.01271015145836,0.0352214054410091,0.997883242386982,1.00091341181934,1.01085319872669,1.04612857122678
0.000375040753934783,212,1.00437758246043,1.01329532288234,0.0359143645677743,0.998226172575451,1.00095970602268,1.01136143429132,1.04550339723815
0.000537989486348578,212,1.00571801160905,1.01474359219508,0.0376326692836489,0.999337990760804,1.0011723391603,1.01411480760895,1.05385791556437
0.000771736629646219,212,1.0069607387342,1.01716883911435,0.0404988387749327,1.0001088729817,1.00173880541033,1.01642845970821,1.06101761388472
0.00110704287100476,212,1.01002283294551,1.0204838504233,0.0441802204319596,1.00034484174972,1.00280758757757,1.01939360226181,1.06566962108727
0.00158803388508885,212,1.0118838702879,1.0239247784931,0.0464688035782395,1.00052128430269,1.00357404274483,1.02511501258505,1.07263535421635
0.00227800719036431,212,1.01211498563103,1.02504489256065,0.0409288021468639,1.00048226186518,1.00386953646129,1.03017206126649,1.07717832044342
