"w","fished_ratio_median","fished_ratio_q25","fished_ratio_q75","climate_ratio_median","climate_ratio_q25","climate_ratio_q75"
3.16227766016838e-08,0.999188946395926,0.684549252089316,1.22763575325562,1,0.685905037817723,1.21890403185019
4.53623270600988e-08,0.996899135351314,0.726269395384608,1.26898555188242,1,0.727254114225489,1.2625090753987
6.50714749759769e-08,0.999330887167241,0.749240756076581,1.3046712458748,1,0.747470324331228,1.2969044981885
9.33439073780173e-08,0.997845244763217,0.754343118831658,1.30538586394135,1,0.752118698686543,1.29137560389832
1.33900223528244e-07,0.99756485843508,0.766294928173154,1.2973957603605,1,0.76357608649708,1.28671139921109
1.92077558830971e-07,1.00050506252694,0.779712032870389,1.29203901151594,1,0.777428721216467,1.27993817333974
2.75531941876727e-07,1.00447676983861,0.796271864644422,1.29730555256603,1,0.794968932430667,1.28479999468541
3.95245813495413e-07,1.00263723436916,0.810933093927393,1.30142869351093,1,0.810893692245311,1.28980960283165
5.66973295442978e-07,1.0049236728758,0.814693864923538,1.30240886591929,1,0.81378785401229,1.28887445309252
8.13313403379543e-07,1.01018943463477,0.821097365445172,1.3149268182736,1,0.818435516493996,1.30493252879789
1.16668403509199e-06,1.00551700090348,0.820532115364883,1.32977419227329,1,0.820910862623843,1.31979667347068
1.67358810525261e-06,1.00657566717975,0.815771687628492,1.33776037637776,1,0.811760371950555,1.33205264346616
2.40073324207457e-06,1.00603155011579,0.802298743283584,1.34365262940967,1,0.798919636004517,1.334751132025
3.44381038650601e-06,1.00465572454122,0.793932170565014,1.36331853940988,1,0.789926075264448,1.35374148882883
4.94008654120945e-06,1.0068418010226,0.788709917498051,1.38983211788104,1,0.786179613068053,1.38604737757495
7.08646885155566e-06,1.00944823352314,0.779405175152249,1.4108093556472,1,0.77604204215902,1.40528956429039
1.01654172179288e-05,1.00702845692852,0.771102858438934,1.42913759119018,1,0.767122499787499,1.42697034652395
1.45821154906901e-05,1.0078718705498,0.763710586382332,1.44190262573555,1,0.763657030254429,1.43851217388348
2.0917792907584e-05,1.00871382858825,0.758102279856627,1.44647069370902,1,0.757462686782181,1.44323926898032
3.00062127750894e-05,1.00796403363037,0.750011244489415,1.43843308159098,1,0.750408370689321,1.43493523646839
4.30433941612213e-05,1.00404379547627,0.753300817274048,1.39779303278323,1,0.752054195957576,1.39864523274008
6.17450057694841e-05,1.00145298047685,0.764090009196625,1.33223026392374,1,0.761471390417163,1.33569239806868
8.85721447336123e-05,1.00061427016035,0.787259400816701,1.3019252265784,1,0.779178611772457,1.29875841720972
0.000127055212400501,1.00397367649586,0.795460796439533,1.26011603397054,1,0.793006084030323,1.25695946986467
0.000182258508549024,0.999289720976965,0.796805395142284,1.21811496021725,1,0.792004457360986,1.21844485293977
