"w","ratio_median","ratio_mean","ratio_q05","ratio_q25","ratio_q75","ratio_q95"
3.16227766016838e-08,1.00229223944763,0.987497196174754,0.949844132382996,0.995492099545138,1.00623806587511,1.01704565887566
4.53623270600988e-08,1.00195888202038,0.987061022389351,0.947981027953783,0.994389865077822,1.00640510104673,1.01836073850385
6.50714749759769e-08,1.00181341002795,0.986824563680763,0.946449350903189,0.993079129032272,1.00675398146374,1.02067799127945
9.33439073780173e-08,1.0019611590389,0.986830811263504,0.94234479808166,0.992461986681042,1.00718368994484,1.02314359561341
1.33900223528244e-07,1.00214047379165,0.987108214526807,0.939018352324957,0.992277336560511,1.00798317262967,1.02752937996917
1.92077558830971e-07,1.00279255725439,0.987666673856416,0.937855611365072,0.992550443931267,1.00908119063006,1.03181387115423
2.75531941876727e-07,1.00357766982528,0.988496217019334,0.93621821071391,0.992998999734189,1.01023161452023,1.03648073786435
3.95245813495413e-07,1.00423903827095,0.989561598229229,0.934532014441814,0.993745948649202,1.0117759305186,1.04279507495844
5.66973295442978e-07,1.00508545882904,0.99081101925837,0.933692021904772,0.993984731774896,1.01351414022822,1.04833662732127
8.13313403379543e-07,1.00590234797888,0.99217540609227,0.93288505465781,0.994774125856188,1.01538514321765,1.05329814811673
1.16668403509199e-06,1.00655918385375,0.993570271505382,0.932816975205308,0.995353256367429,1.01715357337772,1.05755976590239
1.67358810525261e-06,1.00737509403619,0.994907843183065,0.933354245863471,0.99603162725186,1.01902344840673,1.06222839717555
2.40073324207457e-06,1.00826136896421,0.996098393345538,0.932170895526746,0.996590127098347,1.02072510940367,1.06828426043352
3.44381038650601e-06,1.00896459682896,0.997056721527831,0.93003346938424,0.996828167503646,1.02207908084359,1.07110545983471
4.94008654120945e-06,1.00952044750817,0.997706504425154,0.929961135131245,0.996745532616526,1.02309390821322,1.07229974700113
7.08646885155566e-06,1.00949480754705,0.997903141697534,0.93194964518054,0.996541596775729,1.0234037081152,1.07328037945872
1.01654172179288e-05,1.00940776278712,0.997745441907677,0.932636398279551,0.99619335463236,1.02346181156892,1.07277799667306
1.45821154906901e-05,1.00916510222139,0.997130444405042,0.932922291430779,0.99567001796258,1.02330574310979,1.07007445577937
2.0917792907584e-05,1.00862994406662,0.996038574559216,0.933088369101408,0.99470894139023,1.02246339656563,1.06603490886757
3.00062127750894e-05,1.00700992041809,0.994369988315926,0.932377100415442,0.993544677106988,1.02080066717737,1.06130132407063
