"w","ratio_median","ratio_mean","ratio_q05","ratio_q25","ratio_q75","ratio_q95","climate_ratio_median","climate_ratio_mean","climate_ratio_q05","climate_ratio_q25","climate_ratio_q75","climate_ratio_q95"
3.16227766016838e-08,1.00086123214842,683313721.806295,0.994699797112937,1.00011722863555,1.00342171326672,1.02203325847173,1,0.969294235717852,0.532359860190783,0.685905037817723,1.21890403185019,1.28098400088319
4.53623270600988e-08,1.00097759833867,688661252.958019,0.993426720732394,1.00013013143158,1.00378761309513,1.02306039297197,1,1.00226117955296,0.578542415338497,0.727254114225489,1.2625090753987,1.35304786296899
6.50714749759769e-08,1.00112879933676,695132785.248063,0.992419891130721,1.00015367252181,1.004242906485,1.025238840265,1,1.02794861093263,0.613972926520524,0.747470324331228,1.2969044981885,1.41632743909416
9.33439073780173e-08,1.00131857295638,702727900.089796,0.991490323793041,1.00019470927364,1.00483360535592,1.02787543380697,1,1.0299791252755,0.625356282072563,0.752118698686543,1.29137560389832,1.44414916913466
1.33900223528244e-07,1.00153324654608,711398406.521329,0.989810178552372,1.00024333155922,1.00565365357247,1.03011489666675,1,1.03584831475226,0.620328919144134,0.76357608649708,1.28671139921109,1.4764368844111
1.92077558830971e-07,1.00180969310099,721049122.671069,0.988106936352916,1.00030689286774,1.0063643781658,1.03284377107236,1,1.03923357810693,0.59594380224427,0.777428721216467,1.27993817333974,1.50514601413638
2.75531941876727e-07,1.00205745649556,1.18935473582905,0.986748283559492,1.00037199639759,1.0072151976943,1.03414087317967,1,1.05031143758305,0.57644844136516,0.794968932430667,1.28479999468541,1.54158550885989
3.95245813495413e-07,1.00243434358061,1.18810802915803,0.985629441121449,1.00048390177709,1.00823618923804,1.03855405255821,1,1.0599956744624,0.559522905963053,0.810893692245311,1.28980960283165,1.57848511783262
5.66973295442978e-07,1.00279734345054,1.18725547326863,0.984243003967775,1.00058679944227,1.00927372756391,1.04174977241281,1,1.06020602502409,0.547660017601386,0.81378785401229,1.28887445309252,1.60098855420169
8.13313403379543e-07,1.00315210750753,1.0050168331949,0.984713711812053,1.00071631288706,1.01013169029403,1.04304560676174,1,1.07011589805059,0.542093083055584,0.818435516493996,1.30493252879789,1.64150756910375
1.16668403509199e-06,1.00339575177919,1.0054714396864,0.983977743992231,1.0007783782403,1.01088174273821,1.04557165362434,1,1.07663066855378,0.534513371658761,0.820910862623843,1.31979667347068,1.67618564135131
1.67358810525261e-06,1.00363127265166,1.00584481794399,0.983344738752086,1.00083245643487,1.01149651087705,1.04679763276192,1,1.08338473546575,0.524296122824457,0.811760371950555,1.33205264346616,1.71721803897828
2.40073324207457e-06,1.00375319040993,1.00611102864717,0.981199339065167,1.00086424990625,1.01199266482605,1.04882456986968,1,1.08641909241874,0.53116154547899,0.798919636004517,1.334751132025,1.7490274381752
3.44381038650601e-06,1.00389551463652,1.00625215903127,0.980304151573171,1.00089467804917,1.01227755939679,1.05050336365203,1,1.09500911229922,0.533978710844286,0.789926075264448,1.35374148882883,1.78988800847056
4.94008654120945e-06,1.00390393258409,1.00625889413143,0.979323596377742,1.00090137517997,1.01235576404637,1.05161269851532,1,1.10669281691138,0.545034539292089,0.786179613068053,1.38604737757495,1.83385487395021
7.08646885155566e-06,1.00384613163331,1.00620734530924,0.980604600647633,1.00086988723476,1.01224359555795,1.0522399565358,1,1.11310041164649,0.54948944725591,0.77604204215902,1.40528956429039,1.88317881118429
