"Year","signal_med","signal_mean","signal_q25","signal_q75","noise","snr_med","snr_mean","snr_q25","snr_q75","metric","window","align","baseline"
1933,-208168432639.953,-950022281837.879,-724465418569.703,-72774210546.7734,1686672488924.52,-0.123419593315765,-0.563252372986559,-0.429523469035562,-0.0431466162071434,"Biomass","10yr","trailing","base1901_1929"
1934,-438842421870.016,-1419300468842.21,-1488518885333.97,-169260105026.342,1686672488924.52,-0.260182355941454,-0.841479586678508,-0.882518031869429,-0.10035149451822,"Biomass","10yr","trailing","base1901_1929"
1935,-630130062108.891,-1734460875140.03,-1797421021476.62,-211348184198.969,1686672488924.52,-0.373593608863974,-1.02833293750228,-1.06566095865044,-0.125304815005154,"Biomass","10yr","trailing","base1901_1929"
1936,-720445332146.508,-1937892228069.64,-2034333334274.02,-237482144450.055,1686672488924.52,-0.427140026814506,-1.14894399523011,-1.20612231931949,-0.140799204356195,"Biomass","10yr","trailing","base1901_1929"
1937,-787503540065.512,-2095762513292.36,-2097178121338.1,-279176729490.859,1686672488924.52,-0.466897720355689,-1.24254265546757,-1.24338194587815,-0.16551922873235,"Biomass","10yr","trailing","base1901_1929"
1938,-853535875314.492,-2244086414212.94,-2222412369834.61,-313988384102.371,1686672488924.52,-0.506047191093238,-1.33048142360101,-1.31763124401922,-0.18615847840299,"Biomass","10yr","trailing","base1901_1929"
1939,-901519678997.035,-2316381406087.57,-2256472512508.3,-319886985357.93,1686672488924.52,-0.534495988353896,-1.37334391904653,-1.33782493479046,-0.189655660751247,"Biomass","10yr","trailing","base1901_1929"
1940,-1058864135431.86,-2548945377281.99,-2463032086750,-375486496860.551,1686672488924.52,-0.627782893469158,-1.51122722047081,-1.46029066278334,-0.222619684216214,"Biomass","10yr","trailing","base1901_1929"
1941,-1123730053432.18,-2700969694253.78,-2597411369982.87,-410600920577.188,1686672488924.52,-0.666240814865432,-1.60135990359101,-1.53996189956182,-0.243438440641788,"Biomass","10yr","trailing","base1901_1929"
1942,-1136090529683.82,-2685398452161.31,-2608915393947.11,-410543665098.363,1686672488924.52,-0.673569135172314,-1.5921279737441,-1.54678244358551,-0.243404494822905,"Biomass","10yr","trailing","base1901_1929"
1943,-1141085447240.01,-2696476900708.37,-2606046805365.75,-416488724258.074,1686672488924.52,-0.676530538520617,-1.59869620119775,-1.54508170523814,-0.24692922128803,"Biomass","10yr","trailing","base1901_1929"
1944,-1155394570333.79,-2706725339143.71,-2633139944069.31,-419048990633.012,1686672488924.52,-0.685014179054113,-1.60477232949333,-1.5611447755031,-0.248447160539277,"Biomass","10yr","trailing","base1901_1929"
1945,-1151668300067.85,-2689378809012,-2643592096303.33,-414786394444.805,1686672488924.52,-0.68280493553446,-1.59448786096395,-1.56734168231379,-0.245919938321451,"Biomass","10yr","trailing","base1901_1929"
1946,-1140639562646.28,-2667718152761.05,-2632125017286.15,-411007398005.191,1686672488924.52,-0.676266180978378,-1.5816456189797,-1.56054304233331,-0.243679434332426,"Biomass","10yr","trailing","base1901_1929"
1947,-1170119549711.98,-2708741151651.1,-2661989760760.2,-423020593185.789,1686672488924.52,-0.693744373845865,-1.60596747112315,-1.57824935086099,-0.250801857481841,"Biomass","10yr","trailing","base1901_1929"
1948,-1257002414730.36,-2857384768906.93,-2805349782272.32,-451115567153.482,1686672488924.52,-0.745255776082451,-1.69409579374174,-1.66324511764647,-0.267458899173206,"Biomass","10yr","trailing","base1901_1929"
1949,-1372667302753.39,-3053197715067.53,-3006250450577.93,-486740717743.738,1686672488924.52,-0.813831559930555,-1.81019002510343,-1.78235577465002,-0.288580457047771,"Biomass","10yr","trailing","base1901_1929"
1950,-1394139483449.14,-3072367281227.06,-3041868967298.82,-490610960328.262,1686672488924.52,-0.826562057900224,-1.82155534130169,-1.80347339941403,-0.290875059354939,"Biomass","10yr","trailing","base1901_1929"
1951,-1411487666478.99,-3097457446666.21,-3089833267269.27,-498826347142.371,1686672488924.52,-0.836847506405354,-1.83643088210993,-1.83191063324893,-0.295745825237501,"Biomass","10yr","trailing","base1901_1929"
1952,-1443828978924.35,-3158472313184.55,-3157155888658.72,-517851858819.271,1686672488924.52,-0.856022131388999,-1.8726055792838,-1.87182509312868,-0.307025733934555,"Biomass","10yr","trailing","base1901_1929"
1953,-1478298467673.77,-3231359374313.64,-3255034433686.6,-542530029155.711,1686672488924.52,-0.876458516624286,-1.91581910271986,-1.92985565073284,-0.321657009714819,"Biomass","10yr","trailing","base1901_1929"
1954,-1511713042894.98,-3255527587700.81,-3308406265465.79,-546000809452.998,1686672488924.52,-0.896269461215264,-1.93014803352644,-1.96149892002765,-0.32371477749136,"Biomass","10yr","trailing","base1901_1929"
1955,-1520271133581.73,-3269532580029.28,-3377027038368.3,-557181269255.727,1686672488924.52,-0.90134341051066,-1.93845135999939,-2.00218303229788,-0.33034348571785,"Biomass","10yr","trailing","base1901_1929"
1956,-1534076136376.44,-3299831279145.96,-3443098968342.43,-570343423630.326,1686672488924.52,-0.909528166523082,-1.95641495359307,-2.04135597808789,-0.338147107618977,"Biomass","10yr","trailing","base1901_1929"
1957,-1552686209893.22,-3340580294924.29,-3532377364307.8,-584854660500.158,1686672488924.52,-0.920561768860811,-1.98057436571718,-2.09428765068681,-0.34675057804084,"Biomass","10yr","trailing","base1901_1929"
1958,-1548823511435.48,-3343731016276.18,-3543651964089.96,-584328126744.084,1686672488924.52,-0.918271639340642,-1.98244237588073,-2.10097217293769,-0.34643840495476,"Biomass","10yr","trailing","base1901_1929"
1959,-1566159405733.78,-3378649331657.53,-3614940185636.25,-595803867744.277,1686672488924.52,-0.928549802061702,-2.00314486294365,-2.14323777103951,-0.353242180480565,"Biomass","10yr","trailing","base1901_1929"
1960,-1601931319078.6,-3432027182453.5,-3719553288702.66,-611804517486.039,1686672488924.52,-0.949758373126754,-2.03479170081317,-2.20526113583224,-0.362728698964046,"Biomass","10yr","trailing","base1901_1929"
1961,-1634813201727.94,-3501163581304.37,-3802310616635.02,-633782170761.711,1686672488924.52,-0.969253493172441,-2.07578151911213,-2.25432657590776,-0.375758883199568,"Biomass","10yr","trailing","base1901_1929"
1962,-1619098362319.06,-3487473856366.8,-3825016999682.78,-635536625307.523,1686672488924.52,-0.959936426870553,-2.0676651094194,-2.26778881187642,-0.376799070051095,"Biomass","10yr","trailing","base1901_1929"
1963,-1608742365433.41,-3497652940232.58,-3781264494800.34,-646230643896.094,1686672488924.52,-0.953796528962893,-2.07370011854691,-2.24184868113395,-0.38313937539122,"Biomass","10yr","trailing","base1901_1929"
1964,-1604300000256.6,-3497040879966.65,-3799129538173.05,-653200962478.758,1686672488924.52,-0.951162724708673,-2.07333723821896,-2.25244056751973,-0.387271961076013,"Biomass","10yr","trailing","base1901_1929"
1965,-1581978786973.02,-3463971955869.7,-3699809278448.04,-645273644833.295,1686672488924.52,-0.937928849471987,-2.05373122441717,-2.19355524130661,-0.382571986601113,"Biomass","10yr","trailing","base1901_1929"
1966,-1546246799121.01,-3421243817233.73,-3651906296078.88,-633862993050.781,1686672488924.52,-0.916743949566019,-2.02839842334492,-2.16515436165528,-0.375806801387361,"Biomass","10yr","trailing","base1901_1929"
1967,-1543553119202.3,-3436928405545.28,-3669417016066.72,-640866731311.348,1686672488924.52,-0.915146911648819,-2.03769755427551,-2.17553617561313,-0.37995920104204,"Biomass","10yr","trailing","base1901_1929"
1968,-1538038155418.3,-3466165316551.53,-3743476902316.34,-644452333708.766,1686672488924.52,-0.911877181561795,-2.0550316313997,-2.21944504751086,-0.382085044927538,"Biomass","10yr","trailing","base1901_1929"
1969,-1533135039452.38,-3490261081028.44,-3736773329695.58,-648607299319.582,1686672488924.52,-0.908970205845925,-2.06931760845519,-2.21547061105993,-0.38454845477035,"Biomass","10yr","trailing","base1901_1929"
1970,-1530682596683.28,-3490644144808.59,-3772875504976.52,-651611832130.746,1686672488924.52,-0.907516193413044,-2.06954472058435,-2.23687498892108,-0.386329792185226,"Biomass","10yr","trailing","base1901_1929"
1971,-1512955620783.21,-3472585413957.22,-3714368304242.04,-645805795427.049,1686672488924.52,-0.897006164930055,-2.05883800012145,-2.20218704498492,-0.382887489816614,"Biomass","10yr","trailing","base1901_1929"
1972,-1507965824886.78,-3477696655735.76,-3729537072658.23,-650925208067.406,1686672488924.52,-0.894047798128441,-2.06186837016193,-2.21118035489885,-0.385922704224849,"Biomass","10yr","trailing","base1901_1929"
1973,-1630570057334.59,-3572075849502.27,-3842738076524.83,-687706003328.09,1686672488924.52,-0.966737803599499,-2.11782422074125,-2.27829534290626,-0.407729424558645,"Biomass","10yr","trailing","base1901_1929"
1974,-1645153273427.33,-3615988070692.97,-4327107318116.77,-736011295746.484,1686672488924.52,-0.975383949302652,-2.14385904462025,-2.56546979127874,-0.436368827131219,"Biomass","10yr","trailing","base1901_1929"
1975,-1640779951975.51,-3605921726947.29,-4420230244675.55,-733822038894.223,1686672488924.52,-0.972791079921943,-2.13789087723044,-2.62068082197395,-0.43507085324083,"Biomass","10yr","trailing","base1901_1929"
1976,-1688184061468.24,-3645636391184.3,-4491670491903.54,-778414641258.145,1686672488924.52,-1.0008961861616,-2.16143703956948,-2.66303655356803,-0.461509063774729,"Biomass","10yr","trailing","base1901_1929"
1977,-1738412294344.36,-3688997988588.1,-4514983211134.39,-807020905492.363,1686672488924.52,-1.03067566807403,-2.18714540778473,-2.67685827615135,-0.478469240941346,"Biomass","10yr","trailing","base1901_1929"
1978,-1872927117357.97,-3777343017516.36,-4754858864689.36,-875414150975.896,1686672488924.52,-1.11042726412892,-2.23952370262761,-2.81907655215343,-0.519018455997994,"Biomass","10yr","trailing","base1901_1929"
1979,-1996811310343.28,-3942200865926.2,-4915160410802.11,-999287533474.984,1686672488924.52,-1.18387613686432,-2.33726517258836,-2.9141166664408,-0.592460919376332,"Biomass","10yr","trailing","base1901_1929"
1980,-2223879672110.59,-4195033185349.44,-5401093477635.41,-1223607964872.7,1686672488924.52,-1.31850118307711,-2.48716523978188,-3.20221828072819,-0.725456763484013,"Biomass","10yr","trailing","base1901_1929"
1981,-2154208014867.02,-4123079251179.09,-5258202191197.44,-1066940672872.96,1686672488924.52,-1.27719401900047,-2.44450495176341,-3.11750041915385,-0.632571337873236,"Biomass","10yr","trailing","base1901_1929"
1982,-2077301250090.46,-4014839317262.75,-5044628617930.1,-1031716904967.33,1686672488924.52,-1.2315972802847,-2.38033129942302,-2.99087620806974,-0.611687753100896,"Biomass","10yr","trailing","base1901_1929"
1983,-2031310680373.03,-3961095326916.76,-4989950979001.99,-978911334123.406,1686672488924.52,-1.20433023821256,-2.34846738351824,-2.95845874748557,-0.580380210474409,"Biomass","10yr","trailing","base1901_1929"
1984,-2004892809282.8,-3957067510316.8,-5007295183561.7,-983620910552.648,1686672488924.52,-1.1886675228581,-2.34607935820425,-2.96874183722208,-0.583172439825494,"Biomass","10yr","trailing","base1901_1929"
1985,-1961693610616.82,-3938727998159.56,-5013802208901.08,-968314631211.266,1686672488924.52,-1.16305543814713,-2.33520616718604,-2.97259974406653,-0.57409760197648,"Biomass","10yr","trailing","base1901_1929"
1986,-1904355547707.96,-3838560684197.26,-4972412942815.29,-912614201929.93,1686672488924.52,-1.12906065653697,-2.27581863663696,-2.94806073820881,-0.541073746042924,"Biomass","10yr","trailing","base1901_1929"
1987,-1851327561393.05,-3791827280658.19,-4956481915264.5,-882157428588.699,1686672488924.52,-1.09762124748565,-2.24811118077583,-2.93861549756167,-0.523016432876779,"Biomass","10yr","trailing","base1901_1929"
1988,-1831242713362.25,-3767311808601.98,-4936516173413.43,-868002576597.406,1686672488924.52,-1.08571327592467,-2.23357636609355,-2.92677814206902,-0.514624257108075,"Biomass","10yr","trailing","base1901_1929"
1989,-1816726491144.82,-3750603295990.22,-4948908072948.15,-841052918696.66,1686672488924.52,-1.07710684977332,-2.2236701675153,-2.93412509271658,-0.498646254219126,"Biomass","10yr","trailing","base1901_1929"
1990,-1776871573364.16,-3751296446346.07,-4962552585028.49,-826973928094.828,1686672488924.52,-1.05347753344644,-2.2240811248057,-2.94221469646001,-0.49029905540354,"Biomass","10yr","trailing","base1901_1929"
1991,-1765827655176.92,-3741043964255.63,-4969907781899.92,-822177070389.18,1686672488924.52,-1.04692977846747,-2.21800259909442,-2.94657547006587,-0.487455078438749,"Biomass","10yr","trailing","base1901_1929"
1992,-1735539361785.11,-3670979328337.42,-4922353845905.7,-794598499165.172,1686672488924.52,-1.02897235425459,-2.17646244451297,-2.91838153419125,-0.471104203325114,"Biomass","10yr","trailing","base1901_1929"
1993,-1701418452979.04,-3645237973496.64,-4891269889612.6,-787808236252.707,1686672488924.52,-1.00874263625651,-2.16120082436453,-2.89995237470877,-0.467078369645457,"Biomass","10yr","trailing","base1901_1929"
1994,-1722949241966.12,-3658655015599.88,-4909027443735.4,-784207718149.035,1686672488924.52,-1.02150788210504,-2.16915556495071,-2.91048053251024,-0.464943682486382,"Biomass","10yr","trailing","base1901_1929"
