"","Year","Catch_kg","Species","geometry"
"1",1932,142075.116822411,"Sperm",c(63, -61)
"2",1933,3108915.82712272,"Sperm",c(71, 77, 77, 80, 78, 63, 70, 69, 67, 66, 65, -61, -61, -62, -62, -62, -61, -60, -61, -61, -61, -61)
"3",1934,5993267.00345761,"Sperm",c(61, 89, 89, 89, 86, 87, 84, 82, 82, 80, 76, 75, 75, 72, 76, 80, 78, 75, 84, 62, 61, -66, -64, -63, -62, -63, -64, -64, -62, -63, -64, -66, -65, -66, -63, -63, -59, -59, -59, -61, -63, -63)
"4",1935,3701390.97250668,"Sperm",c(88, 81, 82, 79, 74, 75, 76, 79, 78, 84, 88, -62, -63, -64, -65, -63, -63, -63, -58, -58, -58, -61)
"5",1936,4019223.6505982,"Sperm",c(89, 88, 78, 79, 84, 85, 86, 88, -62, -62, -61, -59, -60, -61, -61, -61)
"6",1937,3685440.06167288,"Sperm",c(90, 89, 89, 88, 87, 84, 83, 84, 80, 78, 79, 76, 77, 85, 87, -64, -64, -62, -62, -62, -64, -64, -63, -65, -64, -63, -58, -58, -61, -61)
"7",1938,1668498.79299997,"Sperm",c(89, 84, 84, 85, 86, 87, -62, -58, -60, -61, -61, -61)
"8",1939,12378212.3741241,"Sperm",c(88, 88, 87, 86, 85, 85, 82, 81, 69, 70, 73, 74, 73, 71, 70, 71, 72, 74, 76, 76, 78, 79, 80, 77, 75.8333333333333, 82.0833333333333, 83.3833333333333, 83.0833333333333, 83, 83, 84, 84, 85, 87, 89, 68, 69, 66.9833333333333, 63.3666666666667, 68, 67, 63, 61, 61, -63, -62, -62, -62, -63, -62, -62, -63, -63, -63, -63, -62, -62.3666666666667, -63, -62, -62, -62, -61, -61, -62, -62, -62, -60, -60, -58.9333333333333, -58.3166666666667, -58.35, -58.7333333333333, -61, -60, -60, -61, -60, -61, -61, -61, 
-62, -62.3, -61.7833333333333, -63, -63, -64, -64, -63)
"9",1940,10394602.3020694,"Sperm",c(89.6166666666667, 87.8833333333333, 88.0333333333333, 88.7833333333333, 89.9833333333333, 86.5, 86.9333333333333, 87.2, 86.85, 86.4, 86.4, 86.0833333333333, 85.6833333333333, 85.9, 86.1, 87.1333333333333, 85.8166666666667, 85.65, 85, 85.1166666666667, 84.0666666666667, 85.0833333333333, 84.7666666666667, 84.35, 84.2833333333333, 84.3166666666667, 84.3333333333333, 83.8166666666667, 83.3166666666667, 83.35, 82.9333333333333, 83.1833333333333, 83.5833333333333, 73.2333333333333, 74.0833333333333, 
