"","date","tos","date_tidy"
"125","May_1971",-1.12646406244835,1971-05-01
"126","Jun_1971",-1.43849594626252,1971-06-01
"127","Jul_1971",-1.61966224376266,1971-07-01
"128","Aug_1971",-1.68757310715902,1971-08-01
"129","Sep_1971",-1.71377647745811,1971-09-01
"130","Oct_1971",-1.7036826354497,1971-10-01
"131","Nov_1971",-1.61195816179215,1971-11-01
"132","Dec_1971",-0.820495072857655,1971-12-01
"133","Jan_1972",0.766235228720131,1972-01-01
"134","Feb_1972",1.29234066096502,1972-02-01
"135","Mar_1972",0.367744214933565,1972-03-01
"136","Apr_1972",-0.578968310446568,1972-04-01
"137","May_1972",-1.0653760600818,1972-05-01
"138","Jun_1972",-1.37795720959202,1972-06-01
"139","Jul_1972",-1.57635856510078,1972-07-01
"140","Aug_1972",-1.68871804542204,1972-08-01
"141","Sep_1972",-1.72366902904873,1972-09-01
"142","Oct_1972",-1.69931070771459,1972-10-01
"143","Nov_1972",-1.51487277585465,1972-11-01
"144","Dec_1972",-0.971929566310018,1972-12-01
"145","Jan_1973",0.628734359001857,1973-01-01
"146","Feb_1973",1.04333249766676,1973-02-01
"147","Mar_1973",-0.0615495936914829,1973-03-01
"148","Apr_1973",-0.807305288099328,1973-04-01
"149","May_1973",-1.18332501482356,1973-05-01
"150","Jun_1973",-1.41146184976007,1973-06-01
"151","Jul_1973",-1.60764399127454,1973-07-01
"152","Aug_1973",-1.6835407897158,1973-08-01
"153","Sep_1973",-1.73602250083993,1973-09-01
"154","Oct_1973",-1.74062213861297,1973-10-01
"155","Nov_1973",-1.58367688215029,1973-11-01
"156","Dec_1973",-1.08864124671806,1973-12-01
"157","Jan_1974",0.561536926232816,1974-01-01
"158","Feb_1974",0.460763201584517,1974-02-01
"159","Mar_1974",-0.135670566314297,1974-03-01
"160","Apr_1974",-0.783875860985691,1974-04-01
"161","May_1974",-1.25453745075409,1974-05-01
"162","Jun_1974",-1.56804960627647,1974-06-01
"163","Jul_1974",-1.67196421182924,1974-07-01
"164","Aug_1974",-1.72917263434173,1974-08-01
"165","Sep_1974",-1.76948683666773,1974-09-01
"166","Oct_1974",-1.75563672645028,1974-10-01
"167","Nov_1974",-1.64753717003447,1974-11-01
"168","Dec_1974",-0.713988107165678,1974-12-01
"169","Jan_1975",0.818591732707534,1975-01-01
"170","Feb_1975",1.15755075524368,1975-02-01
"171","Mar_1975",0.347433883715822,1975-03-01
"172","Apr_1975",-0.546222723729929,1975-04-01
"173","May_1975",-1.23778489567291,1975-05-01
"174","Jun_1975",-1.48832556446585,1975-06-01
"175","Jul_1975",-1.65280599548127,1975-07-01
"176","Aug_1975",-1.72981491626314,1975-08-01
"177","Sep_1975",-1.75547019708159,1975-09-01
"178","Oct_1975",-1.74419030771139,1975-10-01
"179","Nov_1975",-1.65856660530593,1975-11-01
"180","Dec_1975",-1.1174010755244,1975-12-01
"181","Jan_1976",0.210884620111435,1976-01-01
"182","Feb_1976",0.852020521816241,1976-02-01
"183","Mar_1976",0.242265549220202,1976-03-01
"184","Apr_1976",-0.816171361866108,1976-04-01
"185","May_1976",-1.34069150871084,1976-05-01
"186","Jun_1976",-1.59502619213354,1976-06-01
"187","Jul_1976",-1.70915137122196,1976-07-01
"188","Aug_1976",-1.75992879471327,1976-08-01
"189","Sep_1976",-1.77899234930902,1976-09-01
"190","Oct_1976",-1.76326759169876,1976-10-01
"191","Nov_1976",-1.70370044218444,1976-11-01
"192","Dec_1976",-1.0871585980991,1976-12-01
"193","Jan_1977",0.966666193213154,1977-01-01
"194","Feb_1977",1.54951167116862,1977-02-01
"195","Mar_1977",0.223102629435817,1977-03-01
"196","Apr_1977",-0.882850618654601,1977-04-01
"197","May_1977",-1.41816325317977,1977-05-01
"198","Jun_1977",-1.63250572299636,1977-06-01
"199","Jul_1977",-1.73377558081254,1977-07-01
"200","Aug_1977",-1.77039275676247,1977-08-01
"201","Sep_1977",-1.78351475084007,1977-09-01
"202","Oct_1977",-1.77071781114074,1977-10-01
"203","Nov_1977",-1.66460425208119,1977-11-01
"204","Dec_1977",-1.18877720351255,1977-12-01
"205","Jan_1978",-0.205606294428406,1978-01-01
"206","Feb_1978",0.382581697041922,1978-02-01
"207","Mar_1978",0.0899573522085977,1978-03-01
"208","Apr_1978",-0.549784377558094,1978-04-01
"209","May_1978",-1.03643377846994,1978-05-01
"210","Jun_1978",-1.35591775104453,1978-06-01
"211","Jul_1978",-1.55691678900617,1978-07-01
"212","Aug_1978",-1.64517552277775,1978-08-01
"213","Sep_1978",-1.72719671977388,1978-09-01
"214","Oct_1978",-1.71461009408944,1978-10-01
"215","Nov_1978",-1.58187270161315,1978-11-01
"216","Dec_1978",-0.933028635354778,1978-12-01
"217","Jan_1979",0.438128327463424,1979-01-01
"218","Feb_1979",0.729048674564041,1979-02-01
"219","Mar_1979",0.265653426960207,1979-03-01
"220","Apr_1979",-0.53768181466935,1979-04-01
"221","May_1979",-1.05997030599937,1979-05-01
"222","Jun_1979",-1.43340969584443,1979-06-01
"223","Jul_1979",-1.62973857531957,1979-07-01
"224","Aug_1979",-1.68180136027384,1979-08-01
"225","Sep_1979",-1.69908801796001,1979-09-01
"226","Oct_1979",-1.72358041099512,1979-10-01
"227","Nov_1979",-1.6363986398575,1979-11-01
"228","Dec_1979",-1.24289711303316,1979-12-01
"229","Jan_1980",0.0343082603968469,1980-01-01
"230","Feb_1980",0.574231074420186,1980-02-01
"231","Mar_1980",0.141402448921538,1980-03-01
"232","Apr_1980",-0.390000141407333,1980-04-01
"233","May_1980",-1.07670175572879,1980-05-01
"234","Jun_1980",-1.47465423780819,1980-06-01
"235","Jul_1980",-1.6928990562412,1980-07-01
"236","Aug_1980",-1.75604140775048,1980-08-01
"237","Sep_1980",-1.78212591979419,1980-09-01
"238","Oct_1980",-1.75332643407764,1980-10-01
"239","Nov_1980",-1.60160951799018,1980-11-01
"240","Dec_1980",-0.916249723118012,1980-12-01
"241","Jan_1981",0.353076205557475,1981-01-01
"242","Feb_1981",0.461120014161631,1981-02-01
"243","Mar_1981",0.0623971760479977,1981-03-01
"244","Apr_1981",-0.691222294785344,1981-04-01
"245","May_1981",-1.19825038253106,1981-05-01
"246","Jun_1981",-1.48081459538145,1981-06-01
"247","Jul_1981",-1.63159849551448,1981-07-01
"248","Aug_1981",-1.71409443331684,1981-08-01
"249","Sep_1981",-1.76104650183342,1981-09-01
"250","Oct_1981",-1.77178553108724,1981-10-01
"251","Nov_1981",-1.63455712528594,1981-11-01
"252","Dec_1981",-1.24435266006853,1981-12-01
"253","Jan_1982",-0.222684073913659,1982-01-01
"254","Feb_1982",0.300292266274381,1982-02-01
"255","Mar_1982",-0.0603847949012798,1982-03-01
"256","Apr_1982",-0.754591379580491,1982-04-01
"257","May_1982",-1.24181225775648,1982-05-01
"258","Jun_1982",-1.4665289459268,1982-06-01
"259","Jul_1982",-1.59299344221938,1982-07-01
"260","Aug_1982",-1.72366167633145,1982-08-01
"261","Sep_1982",-1.74666335107148,1982-09-01
"262","Oct_1982",-1.74784659994471,1982-10-01
"263","Nov_1982",-1.60893625556758,1982-11-01
"264","Dec_1982",-0.894051492630379,1982-12-01
"265","Jan_1983",0.278849871889596,1983-01-01
"266","Feb_1983",0.983648854227276,1983-02-01
"267","Mar_1983",0.130342385583077,1983-03-01
"268","Apr_1983",-0.585538776319062,1983-04-01
"269","May_1983",-1.18711415369806,1983-05-01
"270","Jun_1983",-1.50261415631093,1983-06-01
"271","Jul_1983",-1.64036471209487,1983-07-01
"272","Aug_1983",-1.69761306051706,1983-08-01
"273","Sep_1983",-1.76228362242743,1983-09-01
"274","Oct_1983",-1.75541824398932,1983-10-01
"275","Nov_1983",-1.68923367256624,1983-11-01
"276","Dec_1983",-1.25143395420717,1983-12-01
"277","Jan_1984",-0.174300580068551,1984-01-01
"278","Feb_1984",0.39089137224127,1984-02-01
"279","Mar_1984",-0.170861021825562,1984-03-01
"280","Apr_1984",-0.736196599568754,1984-04-01
"281","May_1984",-1.17197251728869,1984-05-01
"282","Jun_1984",-1.41560591187914,1984-06-01
"283","Jul_1984",-1.64497309161359,1984-07-01
"284","Aug_1984",-1.72792160966834,1984-08-01
"285","Sep_1984",-1.74036402266141,1984-09-01
"286","Oct_1984",-1.75226647748324,1984-10-01
"287","Nov_1984",-1.68523481370896,1984-11-01
"288","Dec_1984",-1.22173294343598,1984-12-01
"289","Jan_1985",-0.043820764143946,1985-01-01
"290","Feb_1985",0.616695941750634,1985-02-01
"291","Mar_1985",-0.0384711901169664,1985-03-01
"292","Apr_1985",-0.807290914298896,1985-04-01
"293","May_1985",-1.22488315205,1985-05-01
"294","Jun_1985",-1.48945949816221,1985-06-01
"295","Jul_1985",-1.63068074878239,1985-07-01
"296","Aug_1985",-1.70249264840376,1985-08-01
"297","Sep_1985",-1.75521528007086,1985-09-01
"298","Oct_1985",-1.7132181551719,1985-10-01
"299","Nov_1985",-1.65821476930993,1985-11-01
"300","Dec_1985",-1.38304429915002,1985-12-01
"301","Jan_1986",-0.639684953738133,1986-01-01
"302","Feb_1986",-0.0630180043518584,1986-02-01
"303","Mar_1986",-0.113847368410534,1986-03-01
"304","Apr_1986",-0.6941429037092,1986-04-01
"305","May_1986",-1.09873544082563,1986-05-01
"306","Jun_1986",-1.38140582419465,1986-06-01
"307","Jul_1986",-1.58480751984896,1986-07-01
"308","Aug_1986",-1.69526165494114,1986-08-01
"309","Sep_1986",-1.73025520916729,1986-09-01
"310","Oct_1986",-1.70859459525388,1986-10-01
"311","Nov_1986",-1.6507937247558,1986-11-01
"312","Dec_1986",-1.19598033186574,1986-12-01
"313","Jan_1987",0.132981634718605,1987-01-01
"314","Feb_1987",0.864680156184883,1987-02-01
"315","Mar_1987",0.224744545620881,1987-03-01
"316","Apr_1987",-0.427527541737251,1987-04-01
"317","May_1987",-1.01599508882363,1987-05-01
"318","Jun_1987",-1.37186448503701,1987-06-01
