"Year","signal_med","signal_mean","signal_sd","signal_q25","signal_q75","noise","snr_med","snr_mean","snr_sd","snr_q25","snr_q75","metric","window","align","baseline"
1971,-1512955620783.21,-3472585413957.22,5058362867952.65,-3714368304242.04,-645805795427.049,1708886109621.95,-0.88534608144127,-2.03207539367585,2.96003510091828,-2.1735610602299,-0.377910377871769,"Biomass","6yr","trailing","base1841_2010"
1972,-1507965824886.78,-3477696655735.76,5065813277489.24,-3729537072658.23,-650925208067.406,1708886109621.95,-0.882426170121063,-2.03506637227282,2.96439490552704,-2.18243746710733,-0.380906137865096,"Biomass","6yr","trailing","base1841_2010"
1973,-1630570057334.59,-3572075849502.27,5092301461030.7,-3842738076524.83,-687706003328.09,1708886109621.95,-0.954171286286194,-2.09029485896664,2.97989516817902,-2.24868003484149,-0.402429395063799,"Biomass","6yr","trailing","base1841_2010"
1974,-1645153273427.33,-3615988070692.97,5070832035078.63,-4327107318116.77,-736011295746.484,1708886109621.95,-0.962705041701859,-2.11599125906227,2.9673317645495,-2.53212153446202,-0.430696517223906,"Biomass","6yr","trailing","base1841_2010"
1975,-1640779951975.51,-3605921726947.29,5024047473550.44,-4420230244675.55,-733822038894.223,1708886109621.95,-0.960145876742186,-2.11010067121735,2.93995453837581,-2.58661488310267,-0.429415415551925,"Biomass","6yr","trailing","base1841_2010"
1976,-1688184061468.24,-3645636391184.3,5033707960454.15,-4491670491903.54,-778414641258.145,1708886109621.95,-0.987885647828051,-2.13334075960791,2.94560762833267,-2.62842003724708,-0.455509958724136,"Biomass","6yr","trailing","base1841_2010"
1977,-1738412294344.36,-3688997988588.1,5028420517421.78,-4514983211134.39,-807020905492.363,1708886109621.95,-1.01727802956333,-2.15871494760069,2.94251354090191,-2.64206209279401,-0.472249672431884,"Biomass","6yr","trailing","base1841_2010"
1978,-1872927117357.97,-3777343017516.36,5043616434010.34,-4754858864689.36,-875414150975.896,1708886109621.95,-1.09599294348077,-2.21041238280766,2.95140583425195,-2.78243168922548,-0.512271792746657,"Biomass","6yr","trailing","base1841_2010"
1979,-1996811310343.28,-3942200865926.2,5080978104677.31,-4915160410802.11,-999287533474.984,1708886109621.95,-1.16848706247898,-2.30688332225856,2.97326900609038,-2.87623638762531,-0.584759585702322,"Biomass","6yr","trailing","base1841_2010"
1980,-2223879672110.59,-4195033185349.44,5168813857905.91,-5401093477635.41,-1223607964872.7,1708886109621.95,-1.30136213267166,-2.45483485513115,3.02466842512365,-3.16059300103403,-0.716026631607063,"Biomass","6yr","trailing","base1841_2010"
1981,-2154208014867.02,-4123079251179.09,5227114040248.57,-5258202191197.44,-1066940672872.96,1708886109621.95,-1.260591915832,-2.41272910345747,3.05878432203123,-3.07697637753091,-0.624348613325083,"Biomass","6yr","trailing","base1841_2010"
1982,-2077301250090.46,-4014839317262.75,5166437005335,-5044628617930.1,-1031716904967.33,1708886109621.95,-1.21558788405742,-2.34938963729475,3.0232775468448,-2.9519981404999,-0.603736491951224,"Biomass","6yr","trailing","base1841_2010"
1983,-2031310680373.03,-3961095326916.76,5135470071021.16,-4989950979001.99,-978911334123.406,1708886109621.95,-1.18867528323605,-2.31793991689303,3.00515642447188,-2.92000207088458,-0.57283591259336,"Biomass","6yr","trailing","base1841_2010"
1984,-2004892809282.8,-3957067510316.8,5181828437477.76,-5007295183561.7,-983620910552.648,1708886109621.95,-1.1732161657785,-2.31558293325481,3.03228425130339,-2.93015149187996,-0.575591846065301,"Biomass","6yr","trailing","base1841_2010"
1985,-1961693610616.82,-3938727998159.56,5181041757124.46,-5013802208901.08,-968314631211.266,1708886109621.95,-1.14793700971143,-2.30485108163874,3.03182390444419,-2.93395925022192,-0.566634971025355,"Biomass","6yr","trailing","base1841_2010"
1986,-1904355547707.96,-3838560684197.26,5099288382487.5,-4972412942815.29,-912614201929.93,1708886109621.95,-1.11438412249091,-2.24623552300185,2.98398375045344,-2.90973922417528,-0.534040388526432,"Biomass","6yr","trailing","base1841_2010"
