"sim_index","valid_sim_index","rmse","cor_raw","cor_log","rank","pass_corr"
446,446,1.53886830359134,0.919525806179777,0.931416189391214,1,TRUE
1512,1512,1.5500142020635,0.832213737786823,0.929800178636512,2,TRUE
1819,1819,1.55324172044129,0.984373489949948,0.934515716384681,3,TRUE
2082,2082,1.55648831423755,0.225982569196115,0.928916919289045,4,TRUE
2085,2085,1.55648831423755,0.225982569196115,0.928916919289045,5,TRUE
2088,2088,1.55648831423755,0.225982569196115,0.928916919289045,6,TRUE
2091,2091,1.55648831423755,0.225982569196115,0.928916919289045,7,TRUE
2095,2095,1.55648831423755,0.225982569196115,0.928916919289045,8,TRUE
2111,2111,1.55648831423755,0.225982569196115,0.928916919289045,9,TRUE
1776,1776,1.57508492717937,0.983608475002294,0.935142921690312,10,TRUE
173,173,1.61740950747679,0.747213236711678,0.9229622468825,11,TRUE
1767,1767,1.6223550621567,0.970300568036243,0.926572368578131,12,TRUE
71,71,1.62694918605854,0.632028662762869,0.922140583348681,13,TRUE
1806,1806,1.6273246427864,0.970287950847583,0.925764376453978,14,TRUE
1807,1807,1.62900750827492,0.929004180644131,0.932203362447964,15,TRUE
1857,1857,1.62937837486181,0.928823256640894,0.932239423020818,16,TRUE
325,325,1.63014340504478,0.976562349891254,0.921758846068623,17,TRUE
2080,2080,1.63051782512448,-0.0032402493357481,0.921995296939853,18,TRUE
2083,2083,1.63051782512448,-0.0032402493357481,0.921995296939853,19,TRUE
2086,2086,1.63051782512448,-0.0032402493357481,0.921995296939853,20,TRUE
2089,2089,1.63051782512448,-0.0032402493357481,0.921995296939853,21,TRUE
2093,2093,1.63051782512448,-0.0032402493357481,0.921995296939853,22,TRUE
2109,2109,1.63051782512448,-0.0032402493357481,0.921995296939853,23,TRUE
531,531,1.63186798831645,0.875748285106465,0.921640729775827,24,TRUE
136,136,1.63206680622676,0.780183196197924,0.924466109848178,25,TRUE
384,384,1.6382822908572,0.613106703339442,0.92091291202755,26,TRUE
892,892,1.6386509559184,0.603684661076939,0.921306618164249,27,TRUE
1366,1366,1.6422250926456,0.960420071627343,0.920582057143763,28,TRUE
479,479,1.64379513231046,0.84118377771721,0.921775072603874,29,TRUE
1952,1952,1.65384614332327,0.54079037029635,0.924579491021216,30,TRUE
2011,2011,1.65384614332327,0.54079037029635,0.924579491021216,31,TRUE
1994,1994,1.65398337528144,0.20564319054732,0.920730967421822,32,TRUE
2077,2077,1.65398337528144,0.20564319054732,0.920730967421822,33,TRUE
441,441,1.65569688864763,0.739646608240775,0.920870174846288,34,TRUE
1553,1553,1.65706892170178,0.382143159204754,0.923875851914109,35,TRUE
