"year","size_class","median","q05","q25","q75","q95"
1841,"1g-10g",0.749999090274189,0.232075269659619,0.450576838215282,1.29597208588244,1.83735783458291
1841,"10g-100g",0.0816553729603596,0.0431011669202554,0.0667300285315706,0.104252211471671,0.131374967392986
1841,"100g-1kg",0.229209999237394,0.0885287815079785,0.182846696022539,0.275746359549422,0.353530558436666
1841,"1kg-10kg",0.212096503932768,0.0984715925035667,0.181259630570411,0.244517249650566,0.278619709368329
1841,"10kg-100kg",0.0106794333800834,0.00574634032723802,0.00899354732806741,0.012456986474046,0.0175228491264098
1841,">100kg",0.202017225167069,0.074653248903237,0.141740362454881,0.494685522960298,2.01621758903759
1842,"1g-10g",0.763590459670684,0.236395177354852,0.461084504073219,1.30888179259759,1.85240622661052
1842,"10g-100g",0.0837844483969054,0.0438092695133663,0.0682448932867603,0.105724550842579,0.132512359851989
1842,"100g-1kg",0.227188820537796,0.0881296487500383,0.180993493597065,0.273001633841743,0.351334209096872
1842,"1kg-10kg",0.2121096346574,0.0984841715526398,0.181256710450242,0.244498918626709,0.278508404491006
1842,"10kg-100kg",0.0106629038322062,0.00574506334708421,0.00897954931592062,0.0124472433743427,0.0175020422594583
1842,">100kg",0.201579330096094,0.0745646741979612,0.141681623169501,0.49409664402593,2.01339145040962
1843,"1g-10g",0.792731574414787,0.246175495465587,0.482337014599723,1.33365923826777,1.87241156909416
1843,"10g-100g",0.0861969348659522,0.0452579120327761,0.0705987659938827,0.107963471627439,0.134493897378057
1843,"100g-1kg",0.227130801675931,0.0896526911769975,0.181768802496628,0.272665826818475,0.35166933995798
1843,"1kg-10kg",0.212082834610377,0.0984874603796003,0.181231947118675,0.244475436322878,0.278394165770501
1843,"10kg-100kg",0.0106472323249427,0.0057319151994618,0.00896486583446571,0.0124330153747511,0.0174883999957641
1843,">100kg",0.201198946660723,0.0745019917327815,0.141623060119134,0.493583333570155,2.01057350389983
1844,"1g-10g",0.804072811069141,0.253595717235111,0.49534678877733,1.34355178501521,1.87224440448585
