"Year","Species","min_yield_t","median_yield_t","max_yield_t","q05_yield_t","q95_yield_t","ObsYield_t"
1854,"antarctic krill",0,0,0,0,0,NA
1854,"baleen whales",0,0,0,0,0,NA
1854,"bathypelagic fishes",0,0,0,0,0,NA
1854,"minke whales",0,0,0,0,0,NA
1854,"orca",0,0,0,0,0,NA
1854,"shelf and coastal fishes",0,0,0,0,0,NA
1854,"sperm whales",0,0,0,0,0,NA
1854,"squids",0,0,0,0,0,NA
1854,"toothfishes",0,0,0,0,0,NA
1855,"antarctic krill",0,0,0,0,0,NA
1855,"baleen whales",0,0,0,0,0,NA
1855,"bathypelagic fishes",0,0,0,0,0,NA
1855,"minke whales",0,0,0,0,0,NA
1855,"orca",0,0,0,0,0,NA
1855,"shelf and coastal fishes",0,0,0,0,0,NA
1855,"sperm whales",0,0,0,0,0,NA
1855,"squids",0,0,0,0,0,NA
1855,"toothfishes",0,0,0,0,0,NA
1856,"antarctic krill",0,0,0,0,0,NA
1856,"baleen whales",0,0,0,0,0,NA
1856,"bathypelagic fishes",0,0,0,0,0,NA
1856,"minke whales",0,0,0,0,0,NA
1856,"orca",0,0,0,0,0,NA
1856,"shelf and coastal fishes",0,0,0,0,0,NA
1856,"sperm whales",0,0,0,0,0,NA
1856,"squids",0,0,0,0,0,NA
1856,"toothfishes",0,0,0,0,0,NA
1857,"antarctic krill",0,0,0,0,0,NA
1857,"baleen whales",0,0,0,0,0,NA
1857,"bathypelagic fishes",0,0,0,0,0,NA
1857,"minke whales",0,0,0,0,0,NA
1857,"orca",0,0,0,0,0,NA
1857,"shelf and coastal fishes",0,0,0,0,0,NA
1857,"sperm whales",0,0,0,0,0,NA
1857,"squids",0,0,0,0,0,NA
1857,"toothfishes",0,0,0,0,0,NA
1858,"antarctic krill",0,0,0,0,0,NA
1858,"baleen whales",0,0,0,0,0,NA
1858,"bathypelagic fishes",0,0,0,0,0,NA
1858,"minke whales",0,0,0,0,0,NA
1858,"orca",0,0,0,0,0,NA
1858,"shelf and coastal fishes",0,0,0,0,0,NA
1858,"sperm whales",0,0,0,0,0,NA
1858,"squids",0,0,0,0,0,NA
1858,"toothfishes",0,0,0,0,0,NA
1859,"antarctic krill",0,0,0,0,0,NA
1859,"baleen whales",0,0,0,0,0,NA
1859,"bathypelagic fishes",0,0,0,0,0,NA
1859,"minke whales",0,0,0,0,0,NA
1859,"orca",0,0,0,0,0,NA
1859,"shelf and coastal fishes",0,0,0,0,0,NA
1859,"sperm whales",0,0,0,0,0,NA
1859,"squids",0,0,0,0,0,NA
1859,"toothfishes",0,0,0,0,0,NA
1860,"antarctic krill",0,0,0,0,0,NA
1860,"baleen whales",0,0,0,0,0,NA
1860,"bathypelagic fishes",0,0,0,0,0,NA
1860,"minke whales",0,0,0,0,0,NA
1860,"orca",0,0,0,0,0,NA
1860,"shelf and coastal fishes",0,0,0,0,0,NA
1860,"sperm whales",0,0,0,0,0,NA
1860,"squids",0,0,0,0,0,NA
1860,"toothfishes",0,0,0,0,0,NA
1861,"antarctic krill",0,0,0,0,0,NA
1861,"baleen whales",0,0,0,0,0,NA
1861,"bathypelagic fishes",0,0,0,0,0,NA
1861,"minke whales",0,0,0,0,0,NA
1861,"orca",0,0,0,0,0,NA
1861,"shelf and coastal fishes",0,0,0,0,0,NA
1861,"sperm whales",0,0,0,0,0,NA
1861,"squids",0,0,0,0,0,NA
1861,"toothfishes",0,0,0,0,0,NA
1862,"antarctic krill",0,0,0,0,0,NA
1862,"baleen whales",0,0,0,0,0,NA
1862,"bathypelagic fishes",0,0,0,0,0,NA
1862,"minke whales",0,0,0,0,0,NA
1862,"orca",0,0,0,0,0,NA
1862,"shelf and coastal fishes",0,0,0,0,0,NA
1862,"sperm whales",0,0,0,0,0,NA
1862,"squids",0,0,0,0,0,NA
1862,"toothfishes",0,0,0,0,0,NA
1863,"antarctic krill",0,0,0,0,0,NA
1863,"baleen whales",0,0,0,0,0,NA
1863,"bathypelagic fishes",0,0,0,0,0,NA
1863,"minke whales",0,0,0,0,0,NA
1863,"orca",0,0,0,0,0,NA
1863,"shelf and coastal fishes",0,0,0,0,0,NA
1863,"sperm whales",0,0,0,0,0,NA
1863,"squids",0,0,0,0,0,NA
1863,"toothfishes",0,0,0,0,0,NA
1864,"antarctic krill",0,0,0,0,0,NA
1864,"baleen whales",0,0,0,0,0,NA
1864,"bathypelagic fishes",0,0,0,0,0,NA
1864,"minke whales",0,0,0,0,0,NA
1864,"orca",0,0,0,0,0,NA
1864,"shelf and coastal fishes",0,0,0,0,0,NA
1864,"sperm whales",0,0,0,0,0,NA
1864,"squids",0,0,0,0,0,NA
1864,"toothfishes",0,0,0,0,0,NA
1865,"antarctic krill",0,0,0,0,0,NA
1865,"baleen whales",0,0,0,0,0,NA
1865,"bathypelagic fishes",0,0,0,0,0,NA
1865,"minke whales",0,0,0,0,0,NA
1865,"orca",0,0,0,0,0,NA
