"sim_id","species","gamma","catchability","abundance_scaling"
1,"mesozooplankton",4.96367733251556e-13,0,2234.74353085812
1,"other krill",3.08855251693842e-12,0,3.34176560264529
1,"other macrozooplankton",1.51305250530236e-11,0,0.5
1,"antarctic krill",5.51926080732745e-12,0.043104923718053,11.3814143252512
1,"salps",7.32918782922745e-12,0,30700.5081729204
1,"mesopelagic fishes",4.81641711576908e-11,0,0.5
1,"bathypelagic fishes",3.93309424185337e-11,0.00227328476492891,9.93266549659182
1,"shelf and coastal fishes",3.45069257388196e-10,2.71304947610156e-05,0.5
1,"flying birds",3.45313274214385e-10,0,1.43303367662741
1,"small divers",6.66290980333534e-12,0,0.992728450617543
1,"squids",1.67602985991018e-09,8.71646039347181e-05,0.5
1,"toothfishes",5.06827559305377e-10,0.00040702360499654,0.544935295058217
1,"leopard seals",1.34310954884276e-10,0,0.5
1,"medium divers",3.02726622106308e-10,0,0.5
1,"large divers",3.38404791930817e-10,0,0.5
1,"minke whales",3.51636546287026e-09,0.747273428928148,0.5
1,"orca",4.24766638520934e-09,0.17791602682899,0.5
1,"sperm whales",1.09131047338419e-10,0.914176046682649,0.5
1,"baleen whales",3.11919162271451e-09,0.496898663931136,0.5
2,"mesozooplankton",4.96367733251556e-13,0,0.5
2,"other krill",4.73804777664147e-12,0,7.89002889014695
2,"other macrozooplankton",1.12625504113832e-12,0,0.5
2,"antarctic krill",4.92328656647416e-12,0.020159899257438,579.238000134051
2,"salps",2.8448944774177e-11,0,27.9732779380644
2,"mesopelagic fishes",2.76307706649843e-11,0,0.5
2,"bathypelagic fishes",7.67549989317749e-12,0.00423408471586449,6.88210687139025
2,"shelf and coastal fishes",1.00687414268568e-09,2.65414913340155e-05,0.5
2,"flying birds",3.45313274214385e-10,0,0.5
2,"small divers",1.13804255685161e-11,0,5.48982933397428
2,"squids",1.18472386856651e-09,4.22496139185947e-05,0.5
2,"toothfishes",2.34202112453642e-10,0.000710837048337352,0.564421370442572
2,"leopard seals",1.34310954884276e-10,0,1.67699444648907
2,"medium divers",3.02726622106308e-10,0,0.5
2,"large divers",6.3798214799565e-11,0,0.5
2,"minke whales",6.39854196009225e-10,0.315262774085331,0.5
2,"orca",3.34791440779851e-09,0.167875851429086,0.5
2,"sperm whales",1.36413809173023e-08,0.112354161036187,0.5
2,"baleen whales",8.47849698534441e-08,0.393691684301568,3.97960855045523
3,"mesozooplankton",4.96367733251556e-13,0,5.07904487006983
3,"other krill",1.70197275987156e-11,0,1.41149924177049
3,"other macrozooplankton",2.68969281969638e-12,0,22.4428287304283
3,"antarctic krill",1.69245887831531e-12,0.0968291022559281,4.67221359381903
3,"salps",7.32918782922745e-12,0,1.31879584120896
3,"mesopelagic fishes",6.78014843856141e-12,0,0.632531843769031
3,"bathypelagic fishes",1.91678742978351e-11,0.000331935505729358,1.390679700259
3,"shelf and coastal fishes",2.04492835494462e-10,2.15326885693289e-05,0.5
