"Year","Species","n","min_t","q05_t","q25_t","median_t","q75_t","q95_t","max_t","ObsYield_t"
1846,"small divers",2111,0,0,0,0,0,0,0,NA
1846,"squids",2111,0,0,0,0,0,0,0,NA
1846,"toothfishes",2111,0,0,0,0,0,0,0,NA
1846,"leopard seals",2111,0,0,0,0,0,0,0,NA
1846,"medium divers",2111,0,0,0,0,0,0,0,NA
1846,"large divers",2111,0,0,0,0,0,0,0,NA
1846,"minke whales",2111,0,0,0,0,0,0,0,NA
1846,"orca",2111,0,0,0,0,0,0,0,NA
1846,"sperm whales",2111,0,0,0,0,0,0,0,NA
1846,"baleen whales",2111,0,0,0,0,0,0,0,NA
1847,"mesozooplankton",2111,0,0,0,0,0,0,0,NA
1847,"other krill",2111,0,0,0,0,0,0,0,NA
1847,"other macrozooplankton",2111,0,0,0,0,0,0,0,NA
1847,"antarctic krill",2111,0,0,0,0,0,0,0,NA
1847,"salps",2111,0,0,0,0,0,0,0,NA
1847,"mesopelagic fishes",2111,0,0,0,0,0,0,0,NA
1847,"bathypelagic fishes",2111,0,0,0,0,0,0,0,NA
1847,"shelf and coastal fishes",2111,0,0,0,0,0,0,0,NA
1847,"flying birds",2111,0,0,0,0,0,0,0,NA
1847,"small divers",2111,0,0,0,0,0,0,0,NA
1847,"squids",2111,0,0,0,0,0,0,0,NA
1847,"toothfishes",2111,0,0,0,0,0,0,0,NA
1847,"leopard seals",2111,0,0,0,0,0,0,0,NA
1847,"medium divers",2111,0,0,0,0,0,0,0,NA
1847,"large divers",2111,0,0,0,0,0,0,0,NA
1847,"minke whales",2111,0,0,0,0,0,0,0,NA
1847,"orca",2111,0,0,0,0,0,0,0,NA
1847,"sperm whales",2111,0,0,0,0,0,0,0,NA
1847,"baleen whales",2111,0,0,0,0,0,0,0,NA
1848,"mesozooplankton",2111,0,0,0,0,0,0,0,NA
1848,"other krill",2111,0,0,0,0,0,0,0,NA
1848,"other macrozooplankton",2111,0,0,0,0,0,0,0,NA
1848,"antarctic krill",2111,0,0,0,0,0,0,0,NA
1848,"salps",2111,0,0,0,0,0,0,0,NA
1848,"mesopelagic fishes",2111,0,0,0,0,0,0,0,NA
1848,"bathypelagic fishes",2111,0,0,0,0,0,0,0,NA
1848,"shelf and coastal fishes",2111,0,0,0,0,0,0,0,NA
1848,"flying birds",2111,0,0,0,0,0,0,0,NA
1848,"small divers",2111,0,0,0,0,0,0,0,NA
1848,"squids",2111,0,0,0,0,0,0,0,NA
1848,"toothfishes",2111,0,0,0,0,0,0,0,NA
1848,"leopard seals",2111,0,0,0,0,0,0,0,NA
1848,"medium divers",2111,0,0,0,0,0,0,0,NA
1848,"large divers",2111,0,0,0,0,0,0,0,NA
1848,"minke whales",2111,0,0,0,0,0,0,0,NA
1848,"orca",2111,0,0,0,0,0,0,0,NA
1848,"sperm whales",2111,0,0,0,0,0,0,0,NA
1848,"baleen whales",2111,0,0,0,0,0,0,0,NA
1849,"mesozooplankton",2111,0,0,0,0,0,0,0,NA
1849,"other krill",2111,0,0,0,0,0,0,0,NA
1849,"other macrozooplankton",2111,0,0,0,0,0,0,0,NA
1849,"antarctic krill",2111,0,0,0,0,0,0,0,NA
1849,"salps",2111,0,0,0,0,0,0,0,NA
1849,"mesopelagic fishes",2111,0,0,0,0,0,0,0,NA
1849,"bathypelagic fishes",2111,0,0,0,0,0,0,0,NA
